id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,jump_target,characters/1/hide_char_id
treasurestory_drake_03_17,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_17,False,,14,idle,MaidCafe,black,black,1.0,none,sfx_scn_toyshopbell,black,,,,,,
treasurestory_drake_03_18,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_18,True,,14,idle,,S_20,S_20,1.0,,,,soda,2,shy,,,
treasurestory_drake_03_19,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_19,True,,12,idle,,S_20,1,1.5,,,,,2,idle,,,
treasurestory_drake_03_20,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_20,True,,12,idle,,1,1,1.0,bgm_story_girlstalk,,,,2,idle,,,
treasurestory_drake_03_21,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_21,True,,12,idle,,1,1,1.0,,,,,2,think,,,
treasurestory_drake_03_22,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_22,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_23,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_23,False,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_24,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_24,False,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_25,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_25,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_26,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_26,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_27,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_27,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_28,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_28,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_29,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_29,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_30,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_30,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_31,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_31,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_32,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_32,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_33,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_33,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_34,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_34,False,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_35,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_35,True,,12,idle,,1,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_36,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_36,True,,12,idle,,120,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_37,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_37,True,,12,idle,,120,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_38,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_38,True,,12,idle,,120,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_39,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_39,True,,12,idle,,S_20,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_40,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_40,True,,12,idle,,120,120,1.0,,,,,2,sad,,,
treasurestory_drake_03_41,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_41,True,,12,idle,,S_20,S_20,1.0,,,,,2,think,,,
treasurestory_drake_03_42,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_42,True,,12,idle,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_43,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_43,False,,12,idle,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_44,treasurestory_drake_03,Narration,soda,,Locale_NikkeEpisode:treasurestory_drake_03_44,False,,12,idle,,S_20,S_20,1.0,,,,,2,idle,soda,,
treasurestory_drake_03_45,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_45,False,,12,idle,,S_20,S_20,1.0,,,,,,,,,
treasurestory_drake_03_46,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_46,True,,12,idle,,S_20,12,1.5,,,,,,,,,
treasurestory_drake_03_47,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_47,True,,12,idle,,12,12,1.0,,,,,,,,,
treasurestory_drake_03_48,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_48,True,,12,idle,,12,12,1.0,,,,,,,,,
treasurestory_drake_03_49,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_49,False,,12,idle,,12,120,1.0,,,,,,,,,
treasurestory_drake_03_50,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_50,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_51,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_51,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_52,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_52,False,,12,idle,,120,1200,0.75,,sfx_scn_capopen,,,,,,,
treasurestory_drake_03_53,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_53,False,,12,idle,,1200,1200,1.0,,sfx_scn_write,,,,,,,
treasurestory_drake_03_54,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_54,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_55,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_55,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_56,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_56,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_57,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_57,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_58,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_58,False,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_59,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_59,True,,12,angry,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_60,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_60,True,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_61,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_61,True,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_62,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_62,True,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_63,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_63,True,,12,idle,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_64,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_64,True,,12,no,,1200,120,1.0,,,,,,,,,
treasurestory_drake_03_65,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_65,False,,12,no,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_66,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_66,True,,12,angry,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_67,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_67,False,,12,angry,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_68,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_68,False,,12,angry,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_69,treasurestory_drake_03,Choice,drake,,Locale_NikkeEpisode:treasurestory_drake_03_69,False,,12,angry,,120,120,1.0,,,,,,,,treasurestory_drake_03_71,
treasurestory_drake_03_70,treasurestory_drake_03,Choice,drake,,Locale_NikkeEpisode:treasurestory_drake_03_70,False,,12,angry,,120,120,1.0,,,,,,,,treasurestory_drake_03_71,
treasurestory_drake_03_71,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_71,False,,12,angry,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_72,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_72,False,,12,no,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_73,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_73,False,,12,no,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_74,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_74,True,,12,no,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_75,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_75,True,,12,angry,,120,1200,0.75,,,,,,,,,
treasurestory_drake_03_76,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_76,False,,12,angry,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_77,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_77,False,,12,idle,,black,black,1.0,,,,,,,,,
treasurestory_drake_03_78,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_78,True,,12,delight,,1200,120,1.0,,,,,,,,,
treasurestory_drake_03_79,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_79,False,,12,delight,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_80,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_80,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_81,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_81,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_82,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_82,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_83,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_83,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_84,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_84,True,,12,delight,,120,1200,1.0,,,,,,,,,
treasurestory_drake_03_85,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_85,False,,12,delight,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_86,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_86,True,,12,delight,,1200,1,1.5,,,,soda,2,idle,,,
treasurestory_drake_03_87,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_87,True,,12,delight,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_88,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_88,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_89,treasurestory_drake_03,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_03_89,False,,12,idle,,black,black,1.0,,sfx_scn_swallow,,,2,idle,,,
treasurestory_drake_03_90,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_90,True,,12,idle,,120,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_91,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_91,True,,12,idle,,120,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_92,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_92,True,,12,idle,,120,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_93,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_93,True,,12,idle,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_94,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_94,True,,12,angry,,S_20,120,1.0,,,,,2,idle,,,
treasurestory_drake_03_95,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_95,True,,12,angry,,120,1,1.5,,,,,2,sad,,,
treasurestory_drake_03_96,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_96,True,,12,angry,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_97,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_97,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_98,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_98,True,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_99,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_99,False,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_100,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_100,False,,12,idle,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_101,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_101,False,,12,idle,,1,1,1.0,,sfx_scn_toyshopbell,,,2,idle,,,drake
treasurestory_drake_03_102,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_102,False,,,,,1,1,1.0,,,,,2,idle,,,
treasurestory_drake_03_103,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_103,True,,,,,1,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_104,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_104,True,,,,,S_20,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_105,treasurestory_drake_03,Narration,soda,,Locale_NikkeEpisode:treasurestory_drake_03_105,False,,,,,S_20,S_20,1.0,,sfx_scn_swallow,,,2,sad,,,
treasurestory_drake_03_106,treasurestory_drake_03,Narration,soda,,Locale_NikkeEpisode:treasurestory_drake_03_106,False,,,,,S_20,S_20,1.0,,sfx_scn_glasstable,,,2,sad,,,
treasurestory_drake_03_107,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_107,False,,,,,S_20,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_108,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_108,False,,,,,S_20,S_20,1.0,,,,,2,sad,,,
treasurestory_drake_03_109,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_109,True,,,,,S_20,S_20,1.0,,,,,2,think,,,
treasurestory_drake_03_110,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_110,False,,,,,S_20,S_20,1.0,,,,,2,think,,,
treasurestory_drake_03_111,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_111,False,,,,,S_20,S_20,1.0,,,,,2,think,,,
treasurestory_drake_03_112,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_112,True,,,,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_113,treasurestory_drake_03,Speech,soda,drake,Locale_NikkeEpisode:treasurestory_drake_03_113,False,,,,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_114,treasurestory_drake_03,Self,soda,,Locale_NikkeEpisode:treasurestory_drake_03_114,False,,,,,S_20,S_20,1.0,,,,,2,idle,,,
treasurestory_drake_03_115,treasurestory_drake_03,Speech,soda,soda,Locale_NikkeEpisode:treasurestory_drake_03_115,True,,,,,S_20,S_200,1.0,,,,,2,shy,,,
treasurestory_drake_03_116,treasurestory_drake_03,Monologue,soda,,Locale_NikkeEpisode:treasurestory_drake_03_116,False,drake,12,angry,OutpostOut,black,black,1.0,,,,,2,shy,soda,,
treasurestory_drake_03_117,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_117,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_118,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_118,True,,12,delight,,120,1200,1.5,,,,,,,,,
treasurestory_drake_03_119,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_119,True,,12,delight,,1200,1200,1.0,,,,,,,,,
treasurestory_drake_03_120,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_120,True,,12,shy,,1200,120,1.5,,,,,,,,,
treasurestory_drake_03_121,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_121,True,,12,shy,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_122,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_122,False,,12,shy,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_123,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_123,False,,12,shy,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_124,treasurestory_drake_03,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_03_124,True,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_125,treasurestory_drake_03,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_03_125,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_126,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_126,False,,12,idle,,120,120,1.0,,,,,,,,,
treasurestory_drake_03_127,treasurestory_drake_03,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_03_127,False,,12,idle,,120,120,1.0,,,,,,,,,
