id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,play_sound,set_camera_shake,set_object,set_object_position,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
treasurestory_frima_07_13,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_13,True,,10,100,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_14,treasurestory_frima_07,Choice,Locale_NikkeEpisode:treasurestory_frima_07_14,False,,100,100,1.0,,,,treasurestory_frima_07_16,,,,,,,1,surprise,
treasurestory_frima_07_15,treasurestory_frima_07,Choice,Locale_NikkeEpisode:treasurestory_frima_07_15,False,,100,100,1.0,,,,treasurestory_frima_07_18,,,,,,,1,surprise,
treasurestory_frima_07_16,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_16,False,,100,100,1.0,,frima,frima,,,,,,,,1,idle,
treasurestory_frima_07_17,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_17,False,,100,100,1.0,,frima,frima,treasurestory_frima_07_20,,,,,,,1,idle,
treasurestory_frima_07_18,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_18,False,,100,100,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_19,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_19,False,,100,100,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_20,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_20,False,,100,100,1.0,,,,,,,,,,,1,idle,
treasurestory_frima_07_21,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_21,True,,100,100,1.0,,frima,frima,,,,,,,,1,idle,
treasurestory_frima_07_22,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_22,False,,100,100,1.0,,,,,,,,,,,1,idle,
treasurestory_frima_07_23,treasurestory_frima_07,Narration,Locale_NikkeEpisode:treasurestory_frima_07_23,False,,1,1,1.0,none,,,,black,,,,,,1,idle,
treasurestory_frima_07_24,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_24,False,,1,1,1.0,,,,,,,,,,,1,idle,
treasurestory_frima_07_25,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_25,False,,1,1,1.0,,,,,,,,,,,1,idle,
treasurestory_frima_07_26,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_26,False,,1,1,1.0,,,,,,,,,,,1,idle,
treasurestory_frima_07_27,treasurestory_frima_07,Narration,Locale_NikkeEpisode:treasurestory_frima_07_27,False,,1,1,1.0,,,,,,sfx_scn_blanket,,,,,1,idle,
treasurestory_frima_07_28,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_28,True,,1,10,1.0,,frima,frima,,,,,,,,1,idle,
treasurestory_frima_07_29,treasurestory_frima_07,Narration,Locale_NikkeEpisode:treasurestory_frima_07_29,False,,10,10,1.0,,,,,,sfx_scn_sofasheet,,,,,1,idle,
treasurestory_frima_07_30,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_30,True,,10,100,1.0,,frima,frima,,,,Low_2,,,,1,surprise,
treasurestory_frima_07_31,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_31,False,,100,100,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_32,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_32,True,,100,100,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_33,treasurestory_frima_07,Choice,Locale_NikkeEpisode:treasurestory_frima_07_33,False,,100,100,1.0,,,,treasurestory_frima_07_35,,,,,,,1,surprise,
treasurestory_frima_07_34,treasurestory_frima_07,Choice,Locale_NikkeEpisode:treasurestory_frima_07_34,False,,100,100,1.0,,,,treasurestory_frima_07_35,,,,,,,1,surprise,
treasurestory_frima_07_35,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_35,True,,100,100,1.0,,frima,frima,,,,,,,,1,delight,
treasurestory_frima_07_36,treasurestory_frima_07,Narration,Locale_NikkeEpisode:treasurestory_frima_07_36,False,,100,10,1.0,,,,,,sfx_scn_blanketsit,,,,,1,delight,
treasurestory_frima_07_37,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_37,False,,10,10,1.0,,,,,,,,,,,1,delight,
treasurestory_frima_07_38,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_38,False,,10,10,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_39,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_39,True,,10,10,1.0,,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_40,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_40,False,,10,10,1.0,,,,,,,,,,,1,surprise,
treasurestory_frima_07_41,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_41,False,,10,10,1.0,,,,,,,,,,,1,surprise,
treasurestory_frima_07_42,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_42,False,,10,10,1.0,bgm_story_impression,frima,frima,,,,,,,,1,surprise,
treasurestory_frima_07_43,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_43,False,,10,10,1.0,,,,,,,,,,,1,surprise,
treasurestory_frima_07_44,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_44,True,,10,10,1.0,,frima,frima,,,,,,,,1,delight,
treasurestory_frima_07_45,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_45,False,,black,black,1.0,,,,,,,,favoriteitem/FavoriteItemScene_c142_00,1,,1,delight,frima
treasurestory_frima_07_46,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_46,False,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_47,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_47,False,,treasurestory_frima_01,treasurestory_frima_01,1.0,,,,,,,,,,,,,
treasurestory_frima_07_48,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_48,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_49,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_49,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_50,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_50,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_51,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_51,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_52,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_52,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_53,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_53,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_54,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_54,False,,treasurestory_frima_01,treasurestory_frima_02,2.0,,,,,,,,,,,,,
treasurestory_frima_07_55,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_55,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_56,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_56,False,,treasurestory_frima_02,treasurestory_frima_02,1.0,,,,,,,,,,,,,
treasurestory_frima_07_57,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_57,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_58,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_58,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_59,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_59,False,,treasurestory_frima_02,treasurestory_frima_02,1.0,,,,,,,,,,,,,
treasurestory_frima_07_60,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_60,False,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_61,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_61,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_62,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_62,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_63,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_63,True,,treasurestory_frima_02,treasurestory_frima_02,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_64,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_64,True,,treasurestory_frima_02,treasurestory_frima_01,2.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_65,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_65,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_66,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_66,False,,treasurestory_frima_01,treasurestory_frima_01,1.0,,,,,,,,,,,,,
treasurestory_frima_07_67,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_67,True,,treasurestory_frima_01,treasurestory_frima_01,1.0,,frima,frima,,,,,,,,,,
treasurestory_frima_07_68,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_68,False,,black,black,1.0,,,,,,,,none,,frima,1,sleep_01,
treasurestory_frima_07_69,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_69,False,,10,10,1.0,,,,,,,,,,,1,sleep_01,
treasurestory_frima_07_70,treasurestory_frima_07,Speech,Locale_NikkeEpisode:treasurestory_frima_07_70,False,,10,10,1.0,,frima,frima,,,,,,,,1,sleep_01,
treasurestory_frima_07_71,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_71,False,,10,10,1.0,,,,,,,,,,,1,sleep_01,
treasurestory_frima_07_72,treasurestory_frima_07,Monologue,Locale_NikkeEpisode:treasurestory_frima_07_72,False,,10,10,1.0,,,,,,,,,,,1,sleep_01,
treasurestory_frima_07_73,treasurestory_frima_07,Self,Locale_NikkeEpisode:treasurestory_frima_07_73,False,,10,10,1.0,,,,,,,,,,,1,sleep_01,
