id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_cocoa_03_17,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_17,True,,L_140,L_140,1.0,,,,satou,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_18,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_18,True,,L_140,S_160,0.5,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_19,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_19,False,,S_160,XS_10,0.5,,sfx_scn_aim,,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_20,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_20,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_21,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_21,True,,XS_10,XS_10,0.3,,sfx_scn_strawblow,,,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_22,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_22,True,,XS_10,S_160,0.5,,,Low_2,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_23,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_23,True,,S_160,16,2.0,,,,outlaw,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_24,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_24,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_25,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_25,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,16,idle,
d_nikke_cocoa_03_26,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_26,False,,S_160,L_160,1.0,,sfx_scn_down,Low_2,,,,,1,serious,,,14,idle,,,16,idle,outlaw
d_nikke_cocoa_03_27,d_nikke_cocoa_03,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_cocoa_03_27,False,,L_160,L_160,1.0,,,,outlaw,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_28,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_28,True,,L_160,14,2.0,,,,satou,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_29,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_29,True,,14,14,1.0,,,Low_2,satou,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_30,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_30,True,,14,L_140,1.0,,,,satou,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_31,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_31,True,,1,1,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_32,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_32,True,,1,1,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_33,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_33,True,,1,XS_10,2.0,,,,cocoa,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_34,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_34,False,,XS_10,XS_10,1.0,,,,,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_35,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_35,False,,XS_10,XS_10,1.0,,,,satou,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_36,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_36,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_37,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_37,True,,L_140,L_140,1.0,,,,satou,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_38,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_38,False,,L_140,L_140,1.0,,,,,,,,1,serious,,,14,idle,,,,,
d_nikke_cocoa_03_39,d_nikke_cocoa_03,Speech,satou,Locale_NikkeEpisode:d_nikke_cocoa_03_39,True,,L_140,L_140,1.0,,sfx_scn_hit,Low_2,satou,,,,1,serious,,,14,idle,satou,,,,
d_nikke_cocoa_03_40,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_40,False,,L_140,L_140,1.0,,,,,,,,1,serious,,,,,,,,,
d_nikke_cocoa_03_41,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_41,True,,L_140,1,1.0,,,,cocoa,,,,1,serious,,,,,,,,,
d_nikke_cocoa_03_42,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_42,True,,1,1,1.0,,,,cocoa,,,,1,serious,,,,,,,,,
d_nikke_cocoa_03_43,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_43,True,,1,1,1.0,,,,cocoa,,,,1,delight,,,,,,,,,
d_nikke_cocoa_03_44,d_nikke_cocoa_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_03_44,False,RuinIndoor,13,13,1.0,none,,,,black,,,1,idle,cocoa,,,,,,,,
d_nikke_cocoa_03_45,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_45,True,,13,12,1.0,,,,mason,,,cocoa,1,idle,,mason,13,idle,,,,,
d_nikke_cocoa_03_46,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_46,True,,12,12,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_47,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_47,True,,12,12,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_48,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_48,True,,12,12,1.0,,,,cocoa,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_49,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_49,False,,12,12,3.0,,,,cocoa,,,,1,"expression_0,idle",,,13,idle,,,,,
d_nikke_cocoa_03_50,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_50,False,,12,12,1.0,,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_51,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_51,True,,12,12,1.0,bgm_story_crawlinganxiety,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_52,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_52,True,,12,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_53,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_53,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_54,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_54,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_55,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_55,False,,L_130,L_130,1.0,,,,,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_56,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_56,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_57,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_57,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_58,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_58,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_59,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_59,True,,XS_10,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_60,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_60,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_61,d_nikke_cocoa_03,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_03_61,True,,L_130,L_130,1.0,,,,mason,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_62,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_62,True,,L_130,XS_10,2.0,,,,cocoa,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_63,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_63,False,,XS_10,XS_10,1.0,,,,cocoa,,,,1,idle,,,13,idle,,,,,
d_nikke_cocoa_03_64,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_64,True,,XS_10,XS_10,1.0,,,,cocoa,,,,1,serious,,,13,idle,,,,,
d_nikke_cocoa_03_65,d_nikke_cocoa_03,Choice,,Locale_NikkeEpisode:d_nikke_cocoa_03_65,False,,XS_10,XS_10,1.0,,,,,,d_nikke_cocoa_03_67,,1,serious,,,13,idle,,,,,
d_nikke_cocoa_03_66,d_nikke_cocoa_03,Choice,,Locale_NikkeEpisode:d_nikke_cocoa_03_66,False,,XS_10,XS_10,1.0,,,,,,d_nikke_cocoa_03_72,,1,serious,,,13,idle,,,,,
d_nikke_cocoa_03_67,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_67,False,,XS_10,1,2.0,,,,cocoa,,,,1,serious,,,13,idle,,,,,
d_nikke_cocoa_03_68,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_68,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_69,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_69,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_70,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_70,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_71,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_71,True,,1,1,1.0,,,,cocoa,,d_nikke_cocoa_03_78,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_72,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_72,True,,XS_10,1,2.0,,,,cocoa,,,,1,serious,,,13,idle,,,,,
d_nikke_cocoa_03_73,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_73,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_74,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_74,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_75,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_75,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_76,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_76,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_77,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_77,True,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_78,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_78,False,,1,1,1.0,,,,cocoa,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_79,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_79,False,,1,1,1.0,,,,,,,,1,sad,,,13,idle,,,,,
d_nikke_cocoa_03_80,d_nikke_cocoa_03,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_03_80,True,,1,1,1.0,,,,cocoa,,,,1,shy,,,13,idle,,,,,
d_nikke_cocoa_03_81,d_nikke_cocoa_03,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_03_81,False,,1,1,1.0,,,,,,,,1,shy,,,13,idle,,,,,
