id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,conversation_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
d_nikke_volume_01_22,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_22,True,,10,10,1.0,none,,1,worry,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_23,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_23,False,,10,10,1.0,,,1,worry,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_24,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_24,True,,10,10,1.0,,,1,void,,13,idle,,15,idle,,,,,,,
d_nikke_volume_01_25,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_25,True,,10,S_130,1.0,,,1,void,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_26,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_26,False,,S_130,S_130,1.0,,,1,void,,13,delight,,15,idle,,,,,,,
d_nikke_volume_01_27,d_nikke_volume_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_volume_01_27,False,,150,150,1.0,,,1,no,,13,worry,,15,idle,,,,,,,
d_nikke_volume_01_28,d_nikke_volume_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_volume_01_28,False,,10,10,1.0,,,1,no,,13,worry,,15,idle,,,,,,,
d_nikke_volume_01_29,d_nikke_volume_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_volume_01_29,True,,S_130,S_130,1.0,,,1,no,,13,worry,,15,idle,,,,,,,
d_nikke_volume_01_30,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_30,False,Stage,black,black,1.0,,,1,no,,13,worry,,15,idle,,,,anis,neon,rapi,
d_nikke_volume_01_31,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_31,False,,S_10,S_10,1.0,bgm_story_epicjazzymoods,volume,1,delight,,,,,,,,,,,,,Low_2
d_nikke_volume_01_32,d_nikke_volume_01,Speech,audience,audience01,Locale_NikkeEpisode:d_nikke_volume_01_32,False,,S_10,S_10,1.0,,,1,delight,,,,,,,,,sfx_scn_bigcrowdcheer,,,,
d_nikke_volume_01_33,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_33,True,,S_10,S_100,1.0,,,1,angry,,,,,,,,,,,,,
d_nikke_volume_01_34,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_34,True,,S_100,S_100,1.0,,,1,angry,,,,,,,,,,,,,
d_nikke_volume_01_35,d_nikke_volume_01,Narration,,,Locale_NikkeEpisode:d_nikke_volume_01_35,False,,S_100,1,0.5,,,1,angry,,,,,,,,,,,,,
d_nikke_volume_01_36,d_nikke_volume_01,Speech,audience,audience01,Locale_NikkeEpisode:d_nikke_volume_01_36,False,,1,1,1.0,,,1,angry,,,,,,,,,sfx_scn_bigcrowdcheer,,,,Low_2
d_nikke_volume_01_37,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_37,True,,1,1,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_volume_01_38,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_38,True,,1,1,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_volume_01_39,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_39,False,,1,1,1.0,,,1,idle,,,,,,,,,,,,,
d_nikke_volume_01_40,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_40,True,,1,S_10,0.5,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_41,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_41,True,,S_10,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_42,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_42,True,,S_10,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_43,d_nikke_volume_01,Narration,,,Locale_NikkeEpisode:d_nikke_volume_01_43,False,,S_10,S_10,1.0,,,1,delight,,,,,,,,,sfx_scn_smashguitar,,,,Low_2
d_nikke_volume_01_44,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_44,False,,S_10,6002,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_45,d_nikke_volume_01,Speech,audience,audience01,Locale_NikkeEpisode:d_nikke_volume_01_45,False,,6002,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_46,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_46,True,,S_10,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_47,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_47,False,,S_10,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_48,d_nikke_volume_01,Narration,,,Locale_NikkeEpisode:d_nikke_volume_01_48,False,,black,black,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_49,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_49,True,,1,1,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_50,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_50,True,,1,S_10,1.0,,,1,delight,,,,,,,,,,,,,
d_nikke_volume_01_51,d_nikke_volume_01,Narration,,,Locale_NikkeEpisode:d_nikke_volume_01_51,False,,S_10,S_10,1.0,,,1,delight,,,,,,,,,,,,,Low_2
d_nikke_volume_01_52,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_52,False,,S_10,S_30,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_53,d_nikke_volume_01,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_01_53,True,,S_30,3,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_54,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_54,True,,3,3,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_55,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_55,True,,3,3,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_56,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_56,True,,3,3,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_57,d_nikke_volume_01,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_01_57,True,,3,3,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_58,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_58,True,,3,S_30,0.5,,,3,angry,,,,,,,,,,,,,
d_nikke_volume_01_59,d_nikke_volume_01,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_01_59,True,,S_30,S_30,1.0,,,3,angry,,,,,,,,,,,,,
d_nikke_volume_01_60,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_60,True,,S_30,S_30,1.0,,,3,angry,,,,,,,,,,,,,
d_nikke_volume_01_61,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_61,True,,S_30,S_30,1.0,,,3,angry,,,,,,,,,,,,,
d_nikke_volume_01_62,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_62,True,,S_30,S_30,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_63,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_63,True,,S_30,S_30,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_64,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_64,True,,S_30,S_30,1.0,,,3,idle,,,,,,,,,,,,,
d_nikke_volume_01_65,d_nikke_volume_01,Monologue,,,Locale_NikkeEpisode:d_nikke_volume_01_65,False,Corridor,S_30,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_66,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_66,True,,S_50,S_50,1.0,none,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_67,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_67,False,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_69,,,,,,
d_nikke_volume_01_68,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_68,False,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_71,,,,,,
d_nikke_volume_01_69,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_69,True,,S_50,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_70,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_70,True,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_73,,,,,,
d_nikke_volume_01_71,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_71,True,,S_50,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_72,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_72,True,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_73,,,,,,
d_nikke_volume_01_73,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_73,False,,S_50,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_74,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_74,True,,S_50,S_50,1.0,bgm_story_epicjazzymoods,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_75,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_75,False,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_77,,,,,,
d_nikke_volume_01_76,d_nikke_volume_01,Choice,,,Locale_NikkeEpisode:d_nikke_volume_01_76,False,,S_50,S_50,1.0,,,5,idle,,,,,,,d_nikke_volume_01_77,,,,,,
d_nikke_volume_01_77,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_77,True,,S_50,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_78,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_78,True,,S_500,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_79,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_79,False,,S_500,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_80,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_80,True,,S_500,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_81,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_81,True,,S_500,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_82,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_82,False,,S_500,S_500,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_83,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_83,True,,S_500,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_84,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_84,True,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_85,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_85,True,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_86,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_86,False,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_87,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_87,True,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_88,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_88,True,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_89,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_89,False,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_90,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_90,True,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_91,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_91,False,,5,5,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_92,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_92,True,,5,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_93,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_93,True,,S_50,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_94,d_nikke_volume_01,Self,,,Locale_NikkeEpisode:d_nikke_volume_01_94,False,,S_50,S_50,1.0,,,5,idle,,,,,,,,,,,,,
d_nikke_volume_01_95,d_nikke_volume_01,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_01_95,True,,S_50,S_500,0.5,,,5,idle,,,,,,,,,,,,,
