id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_delta_02_29,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_29,True,,2,idle,,12,worry,,20,1,1.0,,,,,
d_nikke_delta_02_30,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_30,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_31,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_31,True,,2,sad,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_32,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_32,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_33,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_33,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_34,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_34,True,,2,idle,,12,idle,,1,1,1.0,,,,,
d_nikke_delta_02_35,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_35,False,,2,idle,,12,idle,,1,20,1.0,,d_nikke_delta_02_37,,,
d_nikke_delta_02_36,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_36,False,,2,idle,,12,idle,,20,20,1.0,,d_nikke_delta_02_40,,,
d_nikke_delta_02_37,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_37,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_38,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_38,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_39,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_39,True,,2,idle,,12,idle,,20,20,1.0,,d_nikke_delta_02_43,,,
d_nikke_delta_02_40,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_40,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_41,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_41,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_42,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_42,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_43,d_nikke_delta_02,Self,delta,,Locale_NikkeEpisode:d_nikke_delta_02_43,False,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_44,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_44,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_45,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_45,True,,2,idle,,12,worry,,20,1,1.0,,,,,
d_nikke_delta_02_46,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_46,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_47,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_47,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_48,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_48,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_49,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_49,True,,2,idle,,12,no,,1,120,1.0,,,,,
d_nikke_delta_02_50,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_50,False,,2,idle,,12,no,,120,20,1.0,,,,,
d_nikke_delta_02_51,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_51,True,,2,idle,,12,idle,,20,20,1.0,,,,,
d_nikke_delta_02_52,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_52,False,,2,idle,,12,idle,,black,black,1.0,none,,,,
d_nikke_delta_02_53,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_53,True,,2,idle,,12,sad,,120,120,1.0,,,,,
d_nikke_delta_02_54,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_54,True,,2,idle,,12,sad,,120,20,1.0,,,,,
d_nikke_delta_02_55,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_55,True,,2,idle,,12,sad,,20,20,1.0,,,,,
d_nikke_delta_02_56,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_56,True,,2,idle,,12,sad,,20,20,1.0,,,,,
d_nikke_delta_02_57,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_57,False,,2,idle,,12,sad,,20,20,1.0,,,,,
d_nikke_delta_02_58,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_58,True,,2,idle,,12,worry,,20,1,1.0,,,,,
d_nikke_delta_02_59,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_59,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_60,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_60,True,,2,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_61,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_61,False,,9,idle,,12,worry,,1,1,1.0,,,,,
d_nikke_delta_02_62,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_62,True,,9,idle,,12,worry,,1,12,1.0,,,,,
d_nikke_delta_02_63,d_nikke_delta_02,Self,anis,,Locale_NikkeEpisode:d_nikke_delta_02_63,False,,9,idle,,12,worry,,12,12,1.0,,,,,
d_nikke_delta_02_64,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_64,True,,9,idle,,12,worry,,12,12,1.0,,,,,
d_nikke_delta_02_65,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_65,True,,9,idle,,12,worry,,12,12,1.0,,,,,
d_nikke_delta_02_66,d_nikke_delta_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_delta_02_66,True,,9,idle,,12,worry,,12,120,1.0,,,,,
d_nikke_delta_02_67,d_nikke_delta_02,Self,anis,,Locale_NikkeEpisode:d_nikke_delta_02_67,False,,9,idle,,12,worry,,120,120,1.0,,,,,
d_nikke_delta_02_68,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_68,False,,1,idle,,12,worry,CommanderRoom,9,9,1.0,bgm_menu_commandersroom,,delta,anis,black
d_nikke_delta_02_69,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_69,False,,,,,,,,9,60,2.0,,,,,
d_nikke_delta_02_70,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_70,False,,,,,,,,60,60,1.0,,,,,
d_nikke_delta_02_71,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_71,False,,,,,,,,60,60,1.0,,,,,
d_nikke_delta_02_72,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_72,False,,,,,,,,60,600,1.0,,,,,
d_nikke_delta_02_73,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_73,False,,,,,,,,600,600,1.0,,,,,
d_nikke_delta_02_74,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_74,False,,,,,,,,600,600,1.0,,,,,
d_nikke_delta_02_75,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_75,False,,,,,,,,600,60,1.0,,,,,
d_nikke_delta_02_76,d_nikke_delta_02,Choice,,,Locale_NikkeEpisode:d_nikke_delta_02_76,False,,,,,,,,60,60,1.0,,d_nikke_delta_02_78,,,
d_nikke_delta_02_77,d_nikke_delta_02,Choice,,,Locale_NikkeEpisode:d_nikke_delta_02_77,False,,,,,,,,60,60,1.0,,d_nikke_delta_02_78,,,
d_nikke_delta_02_78,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_78,False,,,,,,,,60,60,1.0,,,,,
d_nikke_delta_02_79,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_79,False,,,,,,,,60,40,1.0,,,,,
d_nikke_delta_02_80,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_80,False,,,,,,,,40,40,1.0,,,,,
d_nikke_delta_02_81,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_81,False,,,,,,,,40,40,1.0,,,,,
d_nikke_delta_02_82,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_82,False,,,,,,,Cafe,black,black,1.0,none,,,,
d_nikke_delta_02_83,d_nikke_delta_02,Narration,,,Locale_NikkeEpisode:d_nikke_delta_02_83,False,,,,,,,,7,1,3.0,bgm_story_leisuretime,,,,
d_nikke_delta_02_84,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_84,True,delta,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_85,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_85,True,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_86,d_nikke_delta_02,Self,delta,,Locale_NikkeEpisode:d_nikke_delta_02_86,False,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_87,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_87,True,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_88,d_nikke_delta_02,Self,delta,,Locale_NikkeEpisode:d_nikke_delta_02_88,False,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_89,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_89,False,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_90,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_90,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_91,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_91,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_92,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_92,True,,1,sad,,,,,1,1,1.0,,,,,
d_nikke_delta_02_93,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_93,True,,1,sad,,,,,1,1,1.0,,,,,
d_nikke_delta_02_94,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_94,True,,1,sad,,,,,1,1,1.0,,,,,
d_nikke_delta_02_95,d_nikke_delta_02,Self,delta,,Locale_NikkeEpisode:d_nikke_delta_02_95,False,,1,sad,,,,,1,1,1.0,,,,,
d_nikke_delta_02_96,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_96,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_97,d_nikke_delta_02,Monologue,delta,,Locale_NikkeEpisode:d_nikke_delta_02_97,False,,1,surprise,,,,,1,5,1.0,,,,,
d_nikke_delta_02_98,d_nikke_delta_02,Monologue,delta,,Locale_NikkeEpisode:d_nikke_delta_02_98,False,,1,surprise,,,,,5,5,1.0,,,,,
d_nikke_delta_02_99,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_99,False,,1,surprise,,,,,5,5,1.0,,d_nikke_delta_02_102,,,
d_nikke_delta_02_100,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_100,False,,1,surprise,,,,,5,5,1.0,,d_nikke_delta_02_106,,,
d_nikke_delta_02_101,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_101,False,,1,surprise,,,,,5,5,1.0,,d_nikke_delta_02_110,,,
d_nikke_delta_02_102,d_nikke_delta_02,Monologue,delta,,Locale_NikkeEpisode:d_nikke_delta_02_102,False,,1,surprise,,,,,5,5,1.0,,,,,
d_nikke_delta_02_103,d_nikke_delta_02,Speech,poli_op_c,poli_op_c,Locale_NikkeEpisode:d_nikke_delta_02_103,True,,1,surprise,poli_op_c,OP_center,surprise,,5,5,1.0,,,,,
d_nikke_delta_02_104,d_nikke_delta_02,Speech,poli_op_c,poli_op_c,Locale_NikkeEpisode:d_nikke_delta_02_104,True,,1,surprise,,OP_center,angry,,5,5,1.0,,,,,
d_nikke_delta_02_105,d_nikke_delta_02,Speech,poli_op_c,poli_op_c,Locale_NikkeEpisode:d_nikke_delta_02_105,True,,1,surprise,,OP_center,idle,,5,5,1.0,,d_nikke_delta_02_114,,poli_op_c,
d_nikke_delta_02_106,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_106,False,,1,surprise,,,,,5,5,1.0,,,,,
d_nikke_delta_02_107,d_nikke_delta_02,Speech,novel_op_c,novel_op_c,Locale_NikkeEpisode:d_nikke_delta_02_107,True,,1,surprise,novel_op_c,OP_center,idle,,5,5,1.0,,,,,
d_nikke_delta_02_108,d_nikke_delta_02,Speech,novel_op_c,novel_op_c,Locale_NikkeEpisode:d_nikke_delta_02_108,True,,1,surprise,,OP_center,idle,,5,5,1.0,,,,,
d_nikke_delta_02_109,d_nikke_delta_02,Speech,novel_op_c,novel_op_c,Locale_NikkeEpisode:d_nikke_delta_02_109,True,,1,surprise,,OP_center,delight,,5,5,1.0,,d_nikke_delta_02_114,,novel_op_c,
d_nikke_delta_02_110,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_110,False,,1,surprise,,,,,5,5,1.0,,,,,
d_nikke_delta_02_111,d_nikke_delta_02,Speech,milk_op_c,milk_op_c,Locale_NikkeEpisode:d_nikke_delta_02_111,True,,1,surprise,milk_op_c,OP_center,angry,,5,5,1.0,,,,,
d_nikke_delta_02_112,d_nikke_delta_02,Speech,milk_op_c,milk_op_c,Locale_NikkeEpisode:d_nikke_delta_02_112,True,,1,surprise,,OP_center,angry,,5,5,1.0,,,,,
d_nikke_delta_02_113,d_nikke_delta_02,Speech,milk_op_c,milk_op_c,Locale_NikkeEpisode:d_nikke_delta_02_113,True,,1,surprise,,OP_center,angry,,5,5,1.0,,,,milk_op_c,
d_nikke_delta_02_114,d_nikke_delta_02,Monologue,,,Locale_NikkeEpisode:d_nikke_delta_02_114,False,,1,surprise,,,,,5,1,1.0,,,,,
d_nikke_delta_02_115,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_115,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_116,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_116,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_117,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_117,True,,1,surprise,,,,,1,1,1.0,,,,,
d_nikke_delta_02_118,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_118,False,,1,surprise,,,,,1,1,1.0,,d_nikke_delta_02_120,,,
d_nikke_delta_02_119,d_nikke_delta_02,Choice,delta,,Locale_NikkeEpisode:d_nikke_delta_02_119,False,,1,surprise,,,,,1,1,1.0,,d_nikke_delta_02_120,,,
d_nikke_delta_02_120,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_120,False,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_delta_02_121,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_121,True,,1,think,,,,,1,1,1.0,,,,,
d_nikke_delta_02_122,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_122,True,,1,think,,,,,1,1,1.0,,,,,
d_nikke_delta_02_123,d_nikke_delta_02,Monologue,delta,,Locale_NikkeEpisode:d_nikke_delta_02_123,False,,1,idle,,,,,black,black,1.0,,,,,
d_nikke_delta_02_124,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_124,True,,1,idle,,,,,1,10,1.0,,,,,
d_nikke_delta_02_125,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_125,True,,1,delight,,,,,10,10,1.0,,,,,
d_nikke_delta_02_126,d_nikke_delta_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_delta_02_126,True,,1,delight,,,,,10,10,1.0,,,,,
d_nikke_delta_02_127,d_nikke_delta_02,Self,delta,,Locale_NikkeEpisode:d_nikke_delta_02_127,False,,1,delight,,,,,10,10,1.0,,,,,
