id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_filter_02,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/1/hide_char_id,fade,characters/0/hide_char_id,conversation_id
d_nikke_maiden_01_19,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_19,False,,black,black,1.0,,,3,idle,,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_20,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_20,False,,300,30,0.5,,,3,idle,,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_21,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_21,False,,30,XS_30,0.5,,,3,idle,sfx_scn_heavytrip,Vignetting,Red,Low_2,,,,,,,,
d_nikke_maiden_01_22,d_nikke_maiden_01,Speech,massproduction01,Locale_NikkeEpisode:d_nikke_maiden_01_22,True,,black,black,1.0,,,3,idle,sfx_scn_breakdoll,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_23,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_23,False,,black,black,1.0,,,3,idle,,Vignetting,Red,,,,,,,,,
d_nikke_maiden_01_24,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_24,False,,black,black,1.0,,,3,idle,,Vignetting,Red,,maiden,1,special,,,,,
d_nikke_maiden_01_25,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_25,True,,300,300,1.0,none,,3,idle,,Vignetting,Grey,,,1,special,maiden,,,,
d_nikke_maiden_01_26,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_26,False,,300,2,2.0,,,3,idle,,Vignetting,Grey,,,1,special,maiden,,,,
d_nikke_maiden_01_27,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_27,True,,black,black,1.0,,,3,idle,,,,,,1,special,maiden,,,,
d_nikke_maiden_01_28,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_28,False,,black,black,1.0,,,3,idle,,,,,,1,special,maiden,massproduction01,,,
d_nikke_maiden_01_29,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_29,False,,2,1,2.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_30,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_30,True,,1,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_31,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_31,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_32,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_32,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_33,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_33,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_34,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_34,True,,S_10,S_10,1.0,,,,,,,,,,1,angry,maiden,,,,
d_nikke_maiden_01_35,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_35,False,,S_10,S_100,2.0,,,,,,,,,,1,angry,maiden,,,,
d_nikke_maiden_01_36,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_36,True,,S_100,S_10,0.5,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_37,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_37,False,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_38,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_38,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_39,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_39,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_40,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_40,True,,S_10,S_100,0.5,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_41,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_41,False,Cafe_n,5,1,2.0,bgm_story_leisuretime,,,,,,,,,1,idle,maiden,,black,,
d_nikke_maiden_01_42,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_42,False,,1,1,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_43,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_43,True,,1,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_44,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_44,False,,S_10,S_10,1.0,,,,,,,,Low_2,,1,idle,maiden,,,,
d_nikke_maiden_01_45,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_45,False,,S_10,S_10,1.0,,,,,sfx_scn_strawstart,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_46,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_46,False,,S_10,1,2.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_47,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_47,False,,1,1,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_48,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_48,True,,1,1,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_49,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_49,False,,1,1,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_50,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_50,True,,1,S_10,1.0,,,,,,,,,,1,angry,maiden,,,,
d_nikke_maiden_01_51,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_51,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_52,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_52,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_53,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_53,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_54,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_54,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_55,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_55,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_56,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_56,True,,S_10,S_100,2.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_57,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_57,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_58,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_58,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_59,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_59,False,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_60,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_60,False,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_61,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_61,True,,S_100,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_62,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_62,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_63,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_63,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_64,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_64,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_65,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_65,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_66,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_66,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_67,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_67,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_68,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_68,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_69,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_69,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_70,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_70,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_71,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_71,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_72,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_72,False,,S_10,S_10,1.0,none,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_73,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_73,False,,S_10,S_100,1.0,bgm_story_weare,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_74,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_74,False,,S_100,S_100,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_75,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_75,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_76,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_76,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_77,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_77,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_78,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_78,False,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_79,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_79,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_80,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_80,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_81,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_81,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_82,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_82,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_83,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_83,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_84,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_84,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_85,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_85,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_86,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_86,False,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_87,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_87,False,,S_100,S_100,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_88,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_88,True,,S_100,S_10,1.0,none,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_89,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_89,False,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_90,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_90,True,,S_10,S_100,0.5,bgm_story_herecomestrouble,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_91,d_nikke_maiden_01,Narration,,Locale_NikkeEpisode:d_nikke_maiden_01_91,False,,S_100,S_100,1.0,,,,,sfx_scn_phonevibration,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_92,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_92,True,,S_100,S_100,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_93,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_93,False,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_94,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_94,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_95,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_95,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_96,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_96,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_97,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_97,True,,S_100,S_100,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_98,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_98,False,,S_100,S_10,1.0,,,,,,,,Low_2,,1,idle,maiden,,,,
d_nikke_maiden_01_99,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_99,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_100,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_100,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_101,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_101,True,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_102,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_102,False,,S_10,S_10,1.0,,,,,,,,,,1,idle,maiden,,,,
d_nikke_maiden_01_103,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_103,True,,S_10,S_10,2.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_104,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_104,True,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_105,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_105,False,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_106,d_nikke_maiden_01,Speech,maiden,Locale_NikkeEpisode:d_nikke_maiden_01_106,True,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_107,d_nikke_maiden_01,Self,,Locale_NikkeEpisode:d_nikke_maiden_01_107,False,,S_10,S_10,1.0,,,,,,,,,,1,shy,maiden,,,,
d_nikke_maiden_01_108,d_nikke_maiden_01,Narration,,Locale_NikkeEpisode:d_nikke_maiden_01_108,False,,S_10,1,0.5,none,,,,,,,,,1,shy,,,,maiden,
d_nikke_maiden_01_109,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_109,False,CommanderRoom_n,1,1,1.0,,,,,,,,,,,,,,black,,
d_nikke_maiden_01_110,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_110,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_111,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_111,False,ShowerRoom,1,13,1.0,,,,,sfx_scn_shower,,,,,,,,,,,
d_nikke_maiden_01_112,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_112,False,,13,13,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_113,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_113,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_01_114,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_114,False,CommanderRoom_n,13,1,1.0,,,,,,,,,,,,,,black,,
d_nikke_maiden_01_115,d_nikke_maiden_01,Narration,,Locale_NikkeEpisode:d_nikke_maiden_01_115,False,,1,1,1.0,,,,,sfx_scn_phonevibration,,,,,,,,,,,
d_nikke_maiden_01_116,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_116,False,,1,1,1.0,,,,,,,,,,,,,,,,m_nikke_maiden_01
d_nikke_maiden_01_117,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_117,False,,1,5,2.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,
d_nikke_maiden_01_118,d_nikke_maiden_01,Monologue,,Locale_NikkeEpisode:d_nikke_maiden_01_118,False,,5,5,1.0,,,,,,,,,,,,,,,,
