id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,set_filter_02,fade,set_filter_01,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_trony_01_50,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_50,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,pain,
d_nikke_trony_01_51,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_51,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,pain,
d_nikke_trony_01_52,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_52,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,pain,
d_nikke_trony_01_53,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_53,True,,12,12,1.0,,,13,sad,,trony,trony,,,,,,1,pain,
d_nikke_trony_01_54,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_54,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_55,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_55,True,,12,12,1.0,,,13,sad,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_56,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_56,False,,12,130,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_57,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_57,True,,130,130,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_58,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_58,True,,130,130,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_59,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_59,True,,130,130,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_60,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_60,True,,130,130,1.0,,,13,think,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_61,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_61,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_62,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_62,True,,130,130,1.0,,,13,sad,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_63,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_63,True,,130,130,1.0,,,13,smile,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_64,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_64,True,,130,130,1.0,,,13,smile,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_65,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_65,True,,130,130,1.0,,,13,smile,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_66,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_66,False,,130,130,1.0,,,13,smile,,trony,trony,,,,,,1,idle,
d_nikke_trony_01_67,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_67,True,,130,130,1.0,,,13,special,,trony,trony,,,,,,1,surprise,
d_nikke_trony_01_68,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_68,True,,1,S_100,0.7,,,13,special,,elegg,elegg,,,,,,1,surprise,
d_nikke_trony_01_69,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_69,True,,S_100,S_100,1.0,,,13,special,,elegg,elegg,,,,,,1,surprise,
d_nikke_trony_01_70,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_70,True,,S_100,12,1.0,,,13,think,,trony,trony,,,,,,1,surprise,
d_nikke_trony_01_71,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_71,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_72,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_72,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_73,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_73,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_74,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_74,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_75,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_75,True,,12,12,1.0,,,13,think,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_76,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_76,True,,12,12,1.0,,,13,sad,,trony,trony,,,,,,1,delight,
d_nikke_trony_01_77,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_77,True,,12,S_10,1.0,,,13,sad,,elegg,elegg,,,,,,1,idle,
d_nikke_trony_01_78,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_78,True,,S_10,S_10,1.0,,,13,sad,,elegg,elegg,,,,,,1,delight,
d_nikke_trony_01_79,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_79,False,,S_10,S_10,1.0,,,13,sad,sfx_scn_autodooropen,,,,,,,,1,delight,elegg
d_nikke_trony_01_80,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_80,True,,S_10,13,1.0,,,13,sad,,trony,trony,,,,,,,,
d_nikke_trony_01_81,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_81,True,,13,13,1.0,,,13,idle,,trony,trony,,,,,,,,
d_nikke_trony_01_82,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_82,True,,13,13,1.0,,,13,idle,,trony,trony,,,,,,,,
d_nikke_trony_01_83,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_83,True,,13,13,1.0,,,13,idle,,trony,trony,,,,,,,,
d_nikke_trony_01_84,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_84,True,,13,13,1.0,,,13,think,,trony,trony,,,,,,,,
d_nikke_trony_01_85,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_85,True,,13,130,0.7,,,13,think,,trony,trony,,,,,,,,
d_nikke_trony_01_86,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_86,True,,130,1300,0.7,,,13,think,,trony,trony,,,,,,,,
d_nikke_trony_01_87,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_87,False,,1300,1300,1.0,,,13,shy,,trony,trony,,,,,,,,
d_nikke_trony_01_88,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_88,True,,1300,1300,1.0,,,13,shy,,trony,trony,,,,,,,,
d_nikke_trony_01_89,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_89,False,,1300,130,1.0,,,13,delight,,,,,,,,,,,
d_nikke_trony_01_90,d_nikke_trony_01,Speech,Locale_NikkeEpisode:d_nikke_trony_01_90,True,,130,130,1.0,,,13,delight,,trony,trony,,,,,,,,
d_nikke_trony_01_91,d_nikke_trony_01,Narration,Locale_NikkeEpisode:d_nikke_trony_01_91,False,,black,black,1.0,,,13,delight,,,,,,,,,,,
