id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,set_camera_shake,characters/0/hide_char_id,conversation_id,fade
d_nikke_epinel_04_48,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_48,True,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_49,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_49,False,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_50,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_50,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_51,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_51,True,,1,1,1.0,,epinel,,1,think,,,,,,
d_nikke_epinel_04_52,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_52,False,,1,1,1.0,,epinel,,1,think,d_nikke_epinel_04_54,,,,,
d_nikke_epinel_04_53,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_53,False,,1,1,1.0,,epinel,,1,think,d_nikke_epinel_04_59,,,,,
d_nikke_epinel_04_54,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_54,True,,1,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_55,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_55,True,,XS_10,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_56,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_56,False,,XS_10,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_57,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_57,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_58,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_58,True,,XS_10,XS_10,1.0,,epinel,,1,delight,d_nikke_epinel_04_62,,,,,
d_nikke_epinel_04_59,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_59,True,,1,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_60,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_60,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_61,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_61,True,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_62,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_62,False,,XS_10,XS_10,1.0,,epinel,,1,delight,,,,,,
d_nikke_epinel_04_63,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_63,False,,black,black,1.0,none,epinel,,1,delight,,sfx_scn_phonevibration,,epinel,m_nikke_epinel_04,
d_nikke_epinel_04_64,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_64,False,Park,4,1,2.0,bgm_story_weare,epinel,,,,,,,,,black
d_nikke_epinel_04_65,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_65,False,,1,1,1.0,,epinel,epinel,1,idle,,,,,,
d_nikke_epinel_04_66,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_66,False,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_67,d_nikke_epinel_04,Self,Self,Locale_NikkeEpisode:d_nikke_epinel_04_67,False,,1,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_68,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_68,True,,1,XS_10,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_69,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_69,True,,XS_10,XS_10,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_70,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_70,True,,XS_10,XS_10,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_71,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_71,False,,XS_10,XS_10,1.0,,epinel,,1,pain,d_nikke_epinel_04_73,,,,,
d_nikke_epinel_04_72,d_nikke_epinel_04,Choice,,Locale_NikkeEpisode:d_nikke_epinel_04_72,False,,XS_10,XS_10,1.0,,epinel,,1,pain,d_nikke_epinel_04_73,,,,,
d_nikke_epinel_04_73,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_73,True,,XS_10,XS_10,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_74,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_74,True,,XS_10,XS_10,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_75,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_75,True,,XS_10,1,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_76,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_76,False,,1,12,1.0,,epinel,,12,idle,,,,,,
d_nikke_epinel_04_77,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_77,False,,12,13,1.0,,epinel,,13,idle,,,,,,
d_nikke_epinel_04_78,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_78,False,,black,black,1.0,,epinel,,1,idle,,sfx_scn_trip,Low_2,,,
d_nikke_epinel_04_79,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_79,False,,XS_10,XS_10,2.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_80,d_nikke_epinel_04,Self,Self,Locale_NikkeEpisode:d_nikke_epinel_04_80,False,,XS_10,XS_10,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_81,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_81,True,,XS_10,XS_10,1.0,,epinel,,1,pain,,,,,,
d_nikke_epinel_04_82,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_82,True,,XS_10,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_83,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_83,True,,XS_10,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_84,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_84,True,,XS_10,XS_10,1.0,,epinel,,1,shy,,,,,,
d_nikke_epinel_04_85,d_nikke_epinel_04,Speech,epinel,Locale_NikkeEpisode:d_nikke_epinel_04_85,True,,XS_10,XS_10,1.0,,epinel,,1,idle,,,,,,
d_nikke_epinel_04_86,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_86,False,,XS_10,1,1.0,,,,1,idle,,,,,,
d_nikke_epinel_04_87,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_87,False,,1,12,1.0,,,,12,idle,,sfx_scn_skateboarding,,,,
d_nikke_epinel_04_88,d_nikke_epinel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_epinel_04_88,False,,12,XS_120,1.0,,,,12,pain,,sfx_scn_heavytrip,Low_2,,,
d_nikke_epinel_04_89,d_nikke_epinel_04,Self,Self,Locale_NikkeEpisode:d_nikke_epinel_04_89,False,,XS_120,XS_120,1.0,,,,12,pain,,,,,,
d_nikke_epinel_04_90,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_90,False,,black,black,1.0,,,,12,pain,,,,epinel,,
d_nikke_epinel_04_91,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_91,False,,black,black,1.0,,,,,,,,,,,
d_nikke_epinel_04_92,d_nikke_epinel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_epinel_04_92,False,City,1,1,1.0,none,,,,,,,,,,black
