id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake,fade
d_nikke_rapunzel_04_22,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_22,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_23,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_23,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_24,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_24,False,,1,idle,,1,10,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_25,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_25,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_26,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_26,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_27,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_27,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_28,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_28,True,,1,delight,,10,1,0.5,,,,,,,,,,,,,
d_nikke_rapunzel_04_29,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_29,True,,1,delight,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_30,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_30,False,,1,delight,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_31,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_31,True,,1,shy,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_32,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_32,True,,1,shy,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_33,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_33,True,,1,shy,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_34,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_34,True,,1,pain,,1,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_35,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_35,True,,1,pain,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_36,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_36,True,,1,pain,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_37,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_37,True,,1,pain,,10,100,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_38,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_38,True,,1,pain,,100,100,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_39,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_39,False,,1,pain,,100,100,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_40,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_40,False,,1,pain,,100,100,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_41,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_41,True,,1,idle,,100,10,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_42,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_42,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_43,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_43,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_44,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_44,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_45,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_45,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_46,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_46,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_47,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_47,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_48,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_48,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_49,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_49,True,,1,no,,10,1,2.0,none,,,,,,,,,,,,
d_nikke_rapunzel_04_50,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_50,True,,1,no,Havester,black,black,1.0,,rapunzel,hongryeon,1,idle,,snowwhite,3,idle,hongryeon,snowwhite,,
d_nikke_rapunzel_04_51,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_51,True,,,,,1,1,1.0,bgm_risk,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_52,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_52,True,,,,,1,100,2.0,,,,,,Grey,,,,,,Low_2,
d_nikke_rapunzel_04_53,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_53,True,,,,,100,100,1.0,,,,,,Grey,,,,,,Low_2,
d_nikke_rapunzel_04_54,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_54,True,,,,WasteLand_02,100,100,1.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_55,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_55,True,,,,,100,1,2.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_56,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_56,True,,,,Laboratory,1,1,1.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_57,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_57,True,,,,,1,1,1.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_58,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_58,True,,,,,1,1400,2.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_59,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_59,True,,,,WasteLand_01,1400,1400,1.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_60,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_60,True,,,,,1400,1,1.0,,,,,,Grey,,,,,,,
d_nikke_rapunzel_04_61,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_61,False,rapunzel,1,idle,RuinIndoor,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_62,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_62,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_63,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_63,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_64,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_64,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_65,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_65,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_66,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_66,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_67,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_67,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_68,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_68,True,,1,idle,,1,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_69,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_69,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_70,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_70,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_71,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_71,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_72,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_72,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_73,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_73,True,,1,idle,IceLand_01,1,1,1.0,,rapunzel,hongryeon,1,delight,Grey,,,,,,,
d_nikke_rapunzel_04_74,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_74,True,,,,,1,30,2.0,,,,1,delight,Grey,snowwhite,3,delight,hongryeon,,,
d_nikke_rapunzel_04_75,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_75,False,,,,RuinIndoor,black,black,1.0,,,,,,Grey,,3,delight,,snowwhite,,
d_nikke_rapunzel_04_76,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_76,True,rapunzel,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_77,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_77,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_78,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_78,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_79,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_79,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_80,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_80,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_81,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_81,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_82,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_82,True,,1,idle,,1,10,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_83,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_83,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_84,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_84,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_85,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_85,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_86,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_86,True,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_87,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_87,True,,1,no,,10,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_88,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_88,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_89,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_89,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_90,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_90,True,,1,shy,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_91,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_91,False,,1,shy,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_92,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_92,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_93,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_93,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_94,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_94,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_95,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_95,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_96,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_96,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_97,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_97,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_98,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_98,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_99,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_99,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_100,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_100,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_101,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_101,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_102,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_102,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_103,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_103,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_104,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_104,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_105,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_105,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_106,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_106,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_107,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_107,True,,1,no,EventScene_Evacuation,XS_100,XS_100,1.0,,rapunzel,,,,,,,,,,,black
d_nikke_rapunzel_04_108,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_108,True,,,,,XS_100,L_900,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_109,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_109,True,,,,,L_900,L_900,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_110,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_110,True,,,,,L_900,8,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_111,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_111,True,rapunzel,1,no,RuinIndoor,1,1,1.0,,,,,,,,,,,,,black
d_nikke_rapunzel_04_112,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_112,True,,1,no,,1,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_113,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_113,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_114,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_114,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_115,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_115,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_116,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_116,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_117,d_nikke_rapunzel_04,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_04_117,False,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_118,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_118,True,,1,idle,,1,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_119,d_nikke_rapunzel_04,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_04_119,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_120,d_nikke_rapunzel_04,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_04_120,False,,1,idle,,black,black,1.0,none,rapunzel,,,,,,,,,,,black
d_nikke_rapunzel_04_121,d_nikke_rapunzel_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_04_121,False,,,,,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_04_122,d_nikke_rapunzel_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_04_122,False,,,,,black,black,1.0,,,,,,,,,,,,,
