id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,play_sound,fade,jump_target
d_nikke_folkwang_05_26,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_26,False,,black,black,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_27,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_27,True,CommanderRoom,15,1,2.0,none,,1,idle,tvvoice,tvvoice,folkwang,,black,
d_nikke_folkwang_05_28,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_28,True,,1,1,1.0,,,1,idle,tvvoice,tvvoice,,,,
d_nikke_folkwang_05_29,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_29,True,,1,10,0.5,bgm_story_orangepop,folkwang,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_30,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_30,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_31,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_31,False,,10,10,1.0,,,1,surprise,folkwang,,,,,
d_nikke_folkwang_05_32,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_32,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_33,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_33,True,,10,10,1.0,,,1,pain,folkwang,folkwang,,,,
d_nikke_folkwang_05_34,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_34,False,,10,10,1.0,,,1,pain,folkwang,,,,,
d_nikke_folkwang_05_35,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_35,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_36,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_36,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_37,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_37,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_38,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_38,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_39,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_39,False,,10,10,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_40,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_40,True,,10,100,0.5,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_41,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_41,True,,100,100,1.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_42,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_42,False,,100,100,1.0,,,1,delight,folkwang,,,,,
d_nikke_folkwang_05_43,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_43,True,,100,100,1.0,none,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_44,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_44,True,,100,100,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_45,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_45,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_46,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_46,True,,100,100,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_47,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_47,True,,100,100,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_48,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_48,True,,100,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_49,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_49,True,,10,10,1.0,bgm_story_herecomestrouble,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_50,d_nikke_folkwang_05,Choice,Locale_NikkeEpisode:d_nikke_folkwang_05_50,False,,10,10,1.0,,,1,idle,folkwang,,,,,d_nikke_folkwang_05_52
d_nikke_folkwang_05_51,d_nikke_folkwang_05,Choice,Locale_NikkeEpisode:d_nikke_folkwang_05_51,False,,10,10,1.0,,,1,idle,folkwang,,,,,d_nikke_folkwang_05_59
d_nikke_folkwang_05_52,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_52,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_53,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_53,False,,10,10,1.0,,,1,surprise,folkwang,,,,,
d_nikke_folkwang_05_54,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_54,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_55,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_55,True,,10,10,1.0,,,1,pain,folkwang,folkwang,,,,
d_nikke_folkwang_05_56,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_56,False,,10,10,1.0,,,1,pain,folkwang,,,,,
d_nikke_folkwang_05_57,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_57,True,,10,100,0.5,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_58,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_58,False,,100,100,1.0,,,1,idle,folkwang,,,,,d_nikke_folkwang_05_67
d_nikke_folkwang_05_59,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_59,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_60,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_60,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_61,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_61,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_62,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_62,False,,10,10,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_63,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_63,True,,10,100,0.5,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_64,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_64,True,,100,100,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_65,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_65,True,,100,100,1.0,,,1,pain,folkwang,folkwang,,,,
d_nikke_folkwang_05_66,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_66,False,,100,100,1.0,,,1,pain,folkwang,,,,,
d_nikke_folkwang_05_67,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_67,True,,100,10,2.0,,,1,pain,folkwang,folkwang,,,,
d_nikke_folkwang_05_68,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_68,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_69,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_69,True,,10,10,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_70,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_70,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_71,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_71,False,,10,10,1.0,,,1,surprise,folkwang,,,,,
d_nikke_folkwang_05_72,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_72,True,,10,10,1.0,,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_73,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_73,True,,10,100,2.0,,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_74,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_74,False,,100,100,1.0,,,1,shy,folkwang,,,,,
d_nikke_folkwang_05_75,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_75,False,,100,100,1.0,,,1,shy,folkwang,,,,,
d_nikke_folkwang_05_76,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_76,False,,100,10,0.5,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_77,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_77,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_78,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_78,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_79,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_79,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_80,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_80,True,,10,10,1.0,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_81,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_81,False,,10,100,0.5,none,,1,surprise,folkwang,,,,,
d_nikke_folkwang_05_82,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_82,True,,100,100,1.0,bgm_story_impression,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_83,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_83,True,,100,100,1.0,,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_84,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_84,False,,100,100,1.0,,,1,shy,folkwang,,,,,
d_nikke_folkwang_05_85,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_85,True,,100,100,1.0,,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_86,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_86,True,,100,100,1.0,,,1,shy,folkwang,folkwang,,,,
d_nikke_folkwang_05_87,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_87,True,,100,100,1.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_88,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_88,True,,100,100,1.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_89,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_89,False,,100,100,1.0,,,1,delight,folkwang,,,,,
d_nikke_folkwang_05_90,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_90,True,,100,10,0.5,,,1,surprise,folkwang,folkwang,,,,
d_nikke_folkwang_05_91,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_91,True,,10,10,1.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_92,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_92,True,,10,10,1.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_93,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_93,False,,10,100,0.5,,,1,delight,folkwang,,,,,
d_nikke_folkwang_05_94,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_94,True,,100,100,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_95,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_95,True,,100,100,1.0,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_96,d_nikke_folkwang_05,Self,Locale_NikkeEpisode:d_nikke_folkwang_05_96,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_97,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_97,True,,100,100,1.0,,,1,pain,folkwang,folkwang,,,,
