id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_nikke_julia_05_22,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_22,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_23,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_23,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_24,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_24,True,,S_100,S_100,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_25,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_25,False,,S_100,S_100,1.0,,,,,julia,,,1,idle,,
d_nikke_julia_05_26,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_26,True,,S_100,S_10,2.0,,,,,julia,julia,,1,idle,,
d_nikke_julia_05_27,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_27,False,,S_10,S_10,1.0,,,,,julia,,,1,idle,,
d_nikke_julia_05_28,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_28,False,,S_10,S_10,1.0,,,,,julia,julia,,1,idle,,
d_nikke_julia_05_29,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_29,False,,S_10,S_10,1.0,,,,,julia,,,1,idle,,
d_nikke_julia_05_30,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_30,True,,S_10,S_10,1.0,,,,,julia,julia,,1,think,,
d_nikke_julia_05_31,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_31,True,,S_10,S_10,1.0,,,,,julia,julia,,1,think,,
d_nikke_julia_05_32,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_32,True,,S_10,S_10,1.0,,,,,julia,julia,,1,think,,
d_nikke_julia_05_33,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_33,False,,S_10,S_10,1.0,,,,,julia,,,1,think,,
d_nikke_julia_05_34,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_34,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_35,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_35,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_36,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_36,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_37,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_37,False,,S_10,S_100,0.5,,,,,julia,,,1,delight,,julia
d_nikke_julia_05_38,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_38,True,,S_100,S_10,2.0,,,,,julia,julia,julia,1,delight,,
d_nikke_julia_05_39,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_39,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_40,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_40,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_41,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_41,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_42,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_42,False,,S_10,S_10,1.0,,,,,julia,,,1,delight,,
d_nikke_julia_05_43,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_43,False,,S_10,S_100,0.5,,,,,julia,julia,,1,surprise,,
d_nikke_julia_05_44,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_44,True,,S_100,S_100,1.0,,,,,julia,julia,,1,idle,,
d_nikke_julia_05_45,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_45,True,,S_100,S_100,1.0,,,,,julia,julia,,1,idle,,
d_nikke_julia_05_46,d_nikke_julia_05,Self,Locale_NikkeEpisode:d_nikke_julia_05_46,False,,S_100,S_100,1.0,,,,,julia,,,1,idle,,
d_nikke_julia_05_47,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_47,True,,S_100,S_10,2.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_48,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_48,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_49,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_49,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_50,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_50,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_51,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_51,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_52,d_nikke_julia_05,Speech,Locale_NikkeEpisode:d_nikke_julia_05_52,True,,S_10,S_10,1.0,,,,,julia,julia,,1,delight,,
d_nikke_julia_05_53,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_53,False,,S_10,1,1.5,,,,,julia,,,1,idle,,julia
d_nikke_julia_05_54,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_54,False,,black,black,1.0,,,,,julia,,,,,,
d_nikke_julia_05_55,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_55,False,,black,black,1.0,,,,,julia,,,,,,
d_nikke_julia_05_56,d_nikke_julia_05,Monologue,Locale_NikkeEpisode:d_nikke_julia_05_56,False,none,black,black,1.0,,,,,julia,,,,,,
