id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
treasurestory_poli_02_21,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_21,True,,1,1,1.0,,,quiry,,2,sad,,,12,think,,,
treasurestory_poli_02_22,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_22,True,,1,1,1.0,,,quiry,,2,sad,,,12,think,,,
treasurestory_poli_02_23,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_23,True,,1,1,1.0,,,quiry,,2,sad,,,12,think,,,
treasurestory_poli_02_24,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_24,True,,1,1,1.0,,,miranda,,2,sad,,,12,shy,,,
treasurestory_poli_02_25,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_25,False,,1,1,1.0,,,,,2,sad,,,12,shy,,,
treasurestory_poli_02_26,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_26,True,,1,1,1.0,,,quiry,,2,delight,,,12,shy,,,
treasurestory_poli_02_27,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_27,True,,1,1,1.0,,,quiry,,2,idle,,,12,shy,,,
treasurestory_poli_02_28,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_28,True,,1,1,1.0,,,quiry,,2,idle,,,12,shy,,,
treasurestory_poli_02_29,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_29,True,,1,1,1.0,,,miranda,,2,idle,,,12,shy,,,
treasurestory_poli_02_30,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_30,True,,1,1,1.0,,,miranda,,2,idle,,,12,shy,,,
treasurestory_poli_02_31,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_31,True,,1,1,1.0,,,miranda,,2,idle,,,12,shy,,,
treasurestory_poli_02_32,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_32,True,,1,1,1.0,,,miranda,,2,idle,,,12,shy,,,
treasurestory_poli_02_33,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_33,True,,1,1,1.0,,,miranda,,2,idle,,,12,shy,,,
treasurestory_poli_02_34,treasurestory_poli_02,Self,miranda,Locale_NikkeEpisode:treasurestory_poli_02_34,False,,1,1,1.0,,,,,2,idle,,,12,shy,,,
treasurestory_poli_02_35,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_35,True,,1,1,1.0,,,quiry,,2,idle,,,12,shy,,,
treasurestory_poli_02_36,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_36,True,,1,1,1.0,,,quiry,,2,idle,,,12,shy,,,
treasurestory_poli_02_37,treasurestory_poli_02,Self,quiry,Locale_NikkeEpisode:treasurestory_poli_02_37,False,,1,1,1.0,,,,,2,idle,,,12,shy,,,
treasurestory_poli_02_38,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_38,True,,1,1,1.0,,,miranda,,2,idle,,,12,idle,,,
treasurestory_poli_02_39,treasurestory_poli_02,Speech,miranda,Locale_NikkeEpisode:treasurestory_poli_02_39,True,,1,1,1.0,,,miranda,,2,idle,,,12,idle,,,
treasurestory_poli_02_40,treasurestory_poli_02,Speech,quiry,Locale_NikkeEpisode:treasurestory_poli_02_40,True,,1,1,1.0,,,quiry,,2,delight,,,12,idle,,,
treasurestory_poli_02_41,treasurestory_poli_02,Monologue,quiry,Locale_NikkeEpisode:treasurestory_poli_02_41,False,,black,black,1.0,,,,,2,delight,,,12,idle,quiry,miranda,
treasurestory_poli_02_42,treasurestory_poli_02,Monologue,,Locale_NikkeEpisode:treasurestory_poli_02_42,False,,black,black,1.0,,,,,,,,,,,,,
treasurestory_poli_02_43,treasurestory_poli_02,Self,,Locale_NikkeEpisode:treasurestory_poli_02_43,False,,100,1,1.3,,none,,,,,,,,,,,
treasurestory_poli_02_44,treasurestory_poli_02,Self,,Locale_NikkeEpisode:treasurestory_poli_02_44,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_poli_02_45,treasurestory_poli_02,Monologue,,Locale_NikkeEpisode:treasurestory_poli_02_45,False,,black,black,1.0,,,,,,,,,,,,,
treasurestory_poli_02_46,treasurestory_poli_02,Monologue,,Locale_NikkeEpisode:treasurestory_poli_02_46,False,,black,black,1.0,,,,,,,,,,,,,
treasurestory_poli_02_47,treasurestory_poli_02,Narration,,Locale_NikkeEpisode:treasurestory_poli_02_47,False,NikkeCorridor,1,1,1.0,sfx_scn_knock,,,,,,,,,,,,black
treasurestory_poli_02_48,treasurestory_poli_02,Monologue,,Locale_NikkeEpisode:treasurestory_poli_02_48,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_poli_02_49,treasurestory_poli_02,Narration,,Locale_NikkeEpisode:treasurestory_poli_02_49,False,,1,1,1.0,sfx_scn_knock,,,,,,,,,,,,
treasurestory_poli_02_50,treasurestory_poli_02,Self,,Locale_NikkeEpisode:treasurestory_poli_02_50,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_poli_02_51,treasurestory_poli_02,Speech,,Locale_NikkeEpisode:treasurestory_poli_02_51,False,,1,1,1.0,,,poli,,,,,,,,,,
treasurestory_poli_02_52,treasurestory_poli_02,Speech,,Locale_NikkeEpisode:treasurestory_poli_02_52,False,,1,1,1.0,,,poli,,,,,,,,,,
treasurestory_poli_02_53,treasurestory_poli_02,Speech,,Locale_NikkeEpisode:treasurestory_poli_02_53,False,,1,1,1.0,,,poli,,,,,,,,,,
treasurestory_poli_02_54,treasurestory_poli_02,Self,,Locale_NikkeEpisode:treasurestory_poli_02_54,False,,1,1,1.0,,,,,,,,,,,,,
treasurestory_poli_02_55,treasurestory_poli_02,Narration,poli,Locale_NikkeEpisode:treasurestory_poli_02_55,False,,1,XS_10,1.3,sfx_scn_autodooropen,,,poli,1,idle,,,,,,,
treasurestory_poli_02_56,treasurestory_poli_02,Speech,poli,Locale_NikkeEpisode:treasurestory_poli_02_56,True,,XS_10,XS_10,1.0,,,poli,,1,surprise,,,,,,,
