id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_ce006_03_05_16,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_16,True,,12,12,1.0,,,elegg,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_17,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_17,True,,12,2,1.3,,,ce006_npc_01,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_18,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_18,False,,2,2,1.0,,none,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_19,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_19,True,,2,2,1.0,,,ce006_npc_01,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_20,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_20,True,,2,2,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_21,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_21,True,,2,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_22,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_22,True,,12,12,1.0,,,elegg,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_23,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_23,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_24,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_24,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_25,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_25,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_26,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_26,True,,12,12,1.0,,bgm_frostpillar,elegg,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_27,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_27,True,,12,12,1.0,,,elegg,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_28,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_28,True,,12,12,1.0,,,ce006_03,,3,idle,,1,delight,,,13,idle,
d_nikke_ce006_03_05_29,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_29,True,,12,12,1.0,,,elegg,,3,idle,,1,delight,,,13,idle,
d_nikke_ce006_03_05_30,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_30,True,,12,12,1.0,,,elegg,,3,idle,,1,delight,,,13,idle,
d_nikke_ce006_03_05_31,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_31,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_32,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_32,True,,12,12,1.0,,,elegg,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_33,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_33,False,,12,S_10,1.3,,,ce006_03,,3,idle,,1,no,,,13,idle,
d_nikke_ce006_03_05_34,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_34,True,,S_10,S_10,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_35,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_35,True,,S_10,S_10,1.0,,,ce006_03,,3,idle,,1,special,,,13,idle,
d_nikke_ce006_03_05_36,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_36,True,,S_10,12,1.3,,,elegg,,3,idle,,1,special,,,13,delight,
d_nikke_ce006_03_05_37,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_37,True,,12,12,1.0,,,elegg,,3,idle,,1,special,,,13,delight,
d_nikke_ce006_03_05_38,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_38,True,,12,12,1.3,,,ce006_03,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_39,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_39,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_40,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_40,True,,12,2,1.3,,,ce006_npc_01,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_41,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_41,True,,13,S_130,1.3,,,elegg,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_42,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_42,True,,S_130,S_130,1.0,,,elegg,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_43,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_43,True,,S_130,12,1.3,,,ce006_03,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_44,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_44,True,,12,12,1.0,,,ce006_03,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_45,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_45,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_46,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_46,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_47,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_47,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,,13,delight,
d_nikke_ce006_03_05_48,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_48,True,,12,12,1.0,,,ce006_03,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_49,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_49,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_50,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_50,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_51,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_51,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_52,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_52,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_53,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_53,True,,12,2,1.3,,,ce006_npc_01,,3,surprise,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_54,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_54,True,,2,2,1.0,,,ce006_npc_01,,3,surprise,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_55,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_55,False,,2,2,1.0,,,ce006_03,,3,surprise,,1,surprise,,,13,delight,
d_nikke_ce006_03_05_56,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_56,True,,2,2,1.0,,,ce006_03,,3,surprise,,1,delight,,,13,delight,
d_nikke_ce006_03_05_57,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_57,True,,2,2,1.0,,,ce006_03,,3,surprise,,1,delight,,,13,delight,
d_nikke_ce006_03_05_58,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_58,True,,2,2,1.0,,,ce006_npc_01,,3,think,,1,delight,,,13,delight,
d_nikke_ce006_03_05_59,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_59,True,,2,2,1.0,,,ce006_03,,3,think,,1,special,,,13,delight,
d_nikke_ce006_03_05_60,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_60,True,,2,2,1.0,,,ce006_03,,3,think,,1,special,,,13,delight,
d_nikke_ce006_03_05_61,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_61,True,,2,12,1.3,,,elegg,,3,think,,1,special,,,13,delight,
d_nikke_ce006_03_05_62,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_62,True,,12,12,1.0,,,ce006_03,,3,think,,1,idle,,,13,delight,
d_nikke_ce006_03_05_63,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_63,True,,12,12,1.0,,,ce006_03,,3,think,,1,idle,,,13,delight,
d_nikke_ce006_03_05_64,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_64,True,,12,12,1.0,,,elegg,,3,think,,1,idle,,,13,delight,
d_nikke_ce006_03_05_65,d_nikke_ce006_03_05,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_05_65,True,,12,12,1.0,,,elegg,,3,think,,1,idle,,,13,idle,
d_nikke_ce006_03_05_66,d_nikke_ce006_03_05,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_66,True,,12,12,1.0,,,ce006_03,,3,think,,1,delight,,,13,idle,
d_nikke_ce006_03_05_67,d_nikke_ce006_03_05,Narration,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_05_67,False,,black,black,1.0,sfx_scn_runaway2,,,,3,think,,1,delight,ce006_03,,13,idle,elegg
d_nikke_ce006_03_05_68,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_68,False,,30,30,1.0,,,ce006_npc_01,,3,idle,,,,,,,,
d_nikke_ce006_03_05_69,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_69,True,,30,30,1.0,,,ce006_npc_01,,3,idle,,,,,,,,
d_nikke_ce006_03_05_70,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_70,True,,30,30,1.0,,,ce006_npc_01,,3,idle,,,,,,,,
d_nikke_ce006_03_05_71,d_nikke_ce006_03_05,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_71,True,,30,30,1.0,,,ce006_npc_01,,3,smile,,,,,,,,
d_nikke_ce006_03_05_72,d_nikke_ce006_03_05,Narration,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_72,False,,30,300,1.3,,,,,3,delight,,,,,,,,
d_nikke_ce006_03_05_73,d_nikke_ce006_03_05,Narration,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_05_73,False,,black,black,1.0,,,,,3,delight,,,,,,,,
