id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,fade,characters/0/hide_char_id,set_object,set_object_position
treasurestory_julia_06_12,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_12,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_13,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_13,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_14,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_14,False,,S_10,S_10,1.0,,,1,delight,,,,,,
treasurestory_julia_06_15,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_15,True,,S_10,S_10,1.0,,,1,surprise,julia,,,,,
treasurestory_julia_06_16,treasurestory_julia_06,Choice,julia,Locale_NikkeEpisode:treasurestory_julia_06_16,False,,S_10,S_10,1.0,,,1,surprise,,treasurestory_julia_06_18,,,,
treasurestory_julia_06_17,treasurestory_julia_06,Choice,julia,Locale_NikkeEpisode:treasurestory_julia_06_17,False,,S_10,S_10,1.0,,,1,surprise,,treasurestory_julia_06_18,,,,
treasurestory_julia_06_18,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_18,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_19,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_19,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_20,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_20,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_21,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_21,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_22,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_22,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_23,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_23,True,,S_10,S_10,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_24,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_24,False,,S_10,1,1.3,,,1,delight,,,,,,
treasurestory_julia_06_25,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_25,False,,1,1,1.0,,,1,delight,,,,,,
treasurestory_julia_06_26,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_26,True,,1,1,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_27,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_27,True,,1,1,1.0,,,1,delight,julia,,,,,
treasurestory_julia_06_28,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_28,False,,black,black,1.0,none,,1,delight,,,black,,,
treasurestory_julia_06_29,treasurestory_julia_06,Narration,julia,Locale_NikkeEpisode:treasurestory_julia_06_29,False,,black,black,1.0,bgm_story_girls,,1,delight,,,,,,
treasurestory_julia_06_30,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_30,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_31,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_31,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_32,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_32,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_33,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_33,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_34,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_34,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_35,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_35,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_36,treasurestory_julia_06,Monologue,julia,Locale_NikkeEpisode:treasurestory_julia_06_36,False,,black,black,1.0,,,1,delight,,,,,,
treasurestory_julia_06_37,treasurestory_julia_06,Narration,julia,Locale_NikkeEpisode:treasurestory_julia_06_37,False,,black,black,1.0,none,,1,delight,,,black,julia,favoriteitem/FavoriteItemScene_c150_00,1
treasurestory_julia_06_38,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_38,True,,treasurestory_julia_01,treasurestory_julia_02,1.5,bgm_story_cosmos,,,,julia,,,,,
treasurestory_julia_06_39,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_39,False,,treasurestory_julia_02,treasurestory_julia_02,1.5,,,,,,,,,,
treasurestory_julia_06_40,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_40,False,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,,,,,,
treasurestory_julia_06_41,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_41,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_42,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_42,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_43,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_43,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_44,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_44,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_45,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_45,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_46,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_46,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_47,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_47,False,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,,,,,,
treasurestory_julia_06_48,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_48,True,,treasurestory_julia_02,treasurestory_julia_03,1.5,,,,,julia,,,,,
treasurestory_julia_06_49,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_49,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_50,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_50,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_51,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_51,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_52,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_52,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_53,treasurestory_julia_06,Self,julia,Locale_NikkeEpisode:treasurestory_julia_06_53,False,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,,,,,,
treasurestory_julia_06_54,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_54,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_55,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_55,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_56,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_56,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_57,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_57,True,,treasurestory_julia_03,treasurestory_julia_03,1.0,,,,,julia,,,,,
treasurestory_julia_06_58,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_58,True,,treasurestory_julia_03,treasurestory_julia_02,1.5,,,,,julia,,,,,
treasurestory_julia_06_59,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_59,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_60,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_60,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
treasurestory_julia_06_61,treasurestory_julia_06,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_06_61,True,,treasurestory_julia_02,treasurestory_julia_02,1.0,,,,,julia,,,,,
