id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/hide_char_id,fade,play_sound
d_nikke_signal_04_16,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_16,True,,XS_10,XS_10,1.0,,1,sad,signal,signal,,,,
d_nikke_signal_04_17,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_17,True,,XS_10,XS_10,1.0,,1,sad,signal,signal,,,,
d_nikke_signal_04_18,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_18,True,Cafe,XS_10,XS_10,1.0,none,1,sad,signal,,,signal,black,
d_nikke_signal_04_19,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_19,True,,XS_10,XS_10,1.0,,1,idle,signal,,signal,,,
d_nikke_signal_04_20,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_20,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_21,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_21,True,,XS_10,XS_10,1.0,bgm_story_leisuretime,1,idle,signal,signal,,,,
d_nikke_signal_04_22,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_22,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_23,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_23,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_24,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_24,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_25,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_25,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_26,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_26,True,,XS_10,XS_100,0.5,,1,idle,signal,signal,,,,
d_nikke_signal_04_27,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_27,True,,XS_100,XS_100,1.0,,1,shy,signal,signal,,,,
d_nikke_signal_04_28,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_28,True,,XS_100,XS_100,1.0,,1,shy,signal,,,,,
d_nikke_signal_04_29,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_29,True,,XS_100,XS_10,2.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_30,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_30,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_31,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_31,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_32,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_32,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_33,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_33,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_34,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_34,False,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_35,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_35,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_36,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_36,True,,XS_10,XS_10,1.0,none,1,idle,signal,signal,,,,
d_nikke_signal_04_37,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_37,True,,XS_10,XS_100,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_38,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_38,True,,XS_100,XS_100,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_39,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_39,True,,black,black,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_40,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_40,True,,black,black,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_41,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_41,True,,black,black,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_42,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_42,True,,XS_100,XS_100,1.0,bgm_story_leisuretime,1,idle,signal,signal,,,,
d_nikke_signal_04_43,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_43,False,,XS_100,XS_100,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_44,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_44,True,,XS_100,XS_10,0.5,,1,idle,signal,signal,,,,
d_nikke_signal_04_45,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_45,True,,XS_10,XS_10,1.0,,1,idle,signal,,,,,
d_nikke_signal_04_46,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_46,True,,XS_10,XS_10,1.0,,1,delight,signal,signal,,,,
d_nikke_signal_04_47,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_47,True,,XS_10,XS_10,1.0,,1,idle,signal,signal,,,,
d_nikke_signal_04_48,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_48,True,,XS_10,XS_50,2.0,,5,sad,signal,,,,,
d_nikke_signal_04_49,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_49,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_50,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_50,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_51,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_51,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_52,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_52,False,,XS_50,XS_50,1.0,,5,sad,signal,employee,,,,
d_nikke_signal_04_53,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_53,True,,XS_50,XS_500,2.0,,5,idle,signal,signal,,,,
d_nikke_signal_04_54,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_54,True,,black,black,1.0,none,5,idle,signal,,,,,
d_nikke_signal_04_55,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_55,True,,black,black,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_56,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_56,False,,XS_500,XS_500,1.0,,5,idle,signal,signal,,,,
d_nikke_signal_04_57,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_57,True,,XS_500,XS_500,1.0,bgm_story_shapeofhope,5,idle,signal,,,,,
d_nikke_signal_04_58,d_nikke_signal_04,Narration,Locale_NikkeEpisode:d_nikke_signal_04_58,True,,black,black,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_59,d_nikke_signal_04,Narration,Locale_NikkeEpisode:d_nikke_signal_04_59,True,,black,black,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_60,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_60,True,,XS_500,XS_500,1.0,,5,angry,signal,signal,,,,
d_nikke_signal_04_61,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_61,False,,XS_500,XS_500,1.0,,5,angry,signal,employee,,,,
d_nikke_signal_04_62,d_nikke_signal_04,Narration,Locale_NikkeEpisode:d_nikke_signal_04_62,True,,XS_500,XS_500,1.0,,5,angry,signal,,,,,
d_nikke_signal_04_63,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_63,True,,XS_500,XS_50,0.5,,5,angry,signal,signal,,,,
d_nikke_signal_04_64,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_64,True,,XS_50,XS_50,1.0,,5,angry,signal,signal,,,,
d_nikke_signal_04_65,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_65,False,,XS_50,XS_50,1.0,,5,idle,signal,employee,,,,
d_nikke_signal_04_66,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_66,True,,black,black,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_67,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_67,True,,XS_50,XS_50,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_68,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_68,True,,XS_50,XS_50,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_69,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_69,True,,XS_50,XS_50,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_70,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_70,True,,XS_50,XS_50,1.0,,5,idle,signal,,,,,
d_nikke_signal_04_71,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_71,False,,XS_50,XS_50,1.0,none,5,idle,signal,signal,,,,
d_nikke_signal_04_72,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_72,True,,XS_50,XS_50,1.0,,5,angry,signal,,,,,
d_nikke_signal_04_73,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_73,True,,XS_50,XS_500,2.0,,5,sad,signal,,,,,
d_nikke_signal_04_74,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_74,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_75,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_75,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_76,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_76,True,,black,black,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_77,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_77,True,,XS_500,XS_50,1.0,bgm_story_shapeofhope,5,shy,signal,signal,,,,
d_nikke_signal_04_78,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_78,False,,XS_50,XS_50,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_79,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_79,True,,XS_50,XS_50,1.0,,5,shy,signal,signal,,,,
d_nikke_signal_04_80,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_80,True,,XS_50,XS_50,1.0,,5,shy,signal,signal,,,,
d_nikke_signal_04_81,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_81,True,,XS_50,XS_50,1.0,,5,shy,signal,signal,,,,
d_nikke_signal_04_82,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_82,True,,XS_50,XS_50,1.0,,5,shy,signal,signal,,,,
d_nikke_signal_04_83,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_83,True,,XS_50,XS_50,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_84,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_84,True,,XS_50,XS_50,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_85,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_85,True,,XS_50,XS_50,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_86,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_86,True,,black,black,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_87,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_87,True,,black,black,1.0,,5,shy,signal,,,,,
d_nikke_signal_04_88,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_88,True,,XS_50,XS_500,1.0,,5,sad,signal,signal,,,,
d_nikke_signal_04_89,d_nikke_signal_04,Speech,Locale_NikkeEpisode:d_nikke_signal_04_89,True,,XS_500,XS_500,1.0,,5,sad,signal,signal,,,,
d_nikke_signal_04_90,d_nikke_signal_04,Self,Locale_NikkeEpisode:d_nikke_signal_04_90,True,,XS_500,XS_500,1.0,,5,sad,signal,,,,,
d_nikke_signal_04_91,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_91,True,,XS_500,5,1.0,,5,sad,signal,,,signal,,sfx_scn_run
d_nikke_signal_04_92,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_92,True,,black,black,1.0,,,,signal,,,,,
d_nikke_signal_04_93,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_93,True,,black,black,1.0,,,,signal,,,,,
d_nikke_signal_04_94,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_94,True,,black,black,1.0,,,,signal,,,,,
d_nikke_signal_04_95,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_95,True,,black,black,1.0,,,,signal,,,,,
d_nikke_signal_04_96,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_96,True,,black,black,1.0,,,,signal,,,,,
d_nikke_signal_04_97,d_nikke_signal_04,Monologue,Locale_NikkeEpisode:d_nikke_signal_04_97,True,,black,black,1.0,,,,signal,,,,,
