id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_maxwell_05_21,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_21,True,,2,2,1.0,,,,,,1,delight,,,3,idle,
d_nikke_maxwell_05_22,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_22,True,,2,100,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_23,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_23,True,,100,100,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_24,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_24,False,,S_300,S_300,1.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_25,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_25,True,,S_300,S_30,0.5,,,,,,1,idle,,,3,surprise,
d_nikke_maxwell_05_26,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_26,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_maxwell_05_27,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_27,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_28,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_28,False,,10,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_29,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_29,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_30,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_30,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_31,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_31,True,,S_30,S_300,0.5,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_32,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_32,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_33,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_33,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_34,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_34,True,,10,100,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_35,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_35,True,none,black,black,1.0,none,,,,,1,idle,maxwell,,3,idle,syuen
d_nikke_maxwell_05_36,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_36,True,CommanderRoom,50,10,2.0,bgm_story_epicjazzymoods,black,,,maxwell,1,delight,,,,,
d_nikke_maxwell_05_37,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_37,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_38,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_38,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_39,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_39,,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_40,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_40,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_41,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_41,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_42,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_42,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_43,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_43,,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_44,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_44,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_45,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_45,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_46,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_46,True,,10,100,0.5,none,,,,,1,delight,,,,,
d_nikke_maxwell_05_47,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_47,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_48,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_48,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_49,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_49,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_50,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_50,,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_51,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_51,,,100,10,0.5,bgm_story_herecomestrouble,,,,,1,idle,,,,,
d_nikke_maxwell_05_52,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_52,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_53,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_53,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_54,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_54,False,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_55,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_55,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_56,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_56,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_57,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_57,,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_58,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_58,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_maxwell_05_59,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_59,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_maxwell_05_60,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_60,,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_maxwell_05_61,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_61,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_62,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_62,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_63,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_63,,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_64,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_64,True,,10,10,1.0,,,,,,1,angry,,,,,
d_nikke_maxwell_05_65,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_65,True,,10,10,1.0,,,,,,1,angry,,,,,
d_nikke_maxwell_05_66,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_66,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_67,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_67,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_68,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_68,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_69,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_69,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_70,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_70,,,10,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_71,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_71,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_72,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_72,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_73,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_73,False,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_74,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_74,True,,100,100,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_75,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_75,,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_76,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_76,,,100,6001,1.0,,,sfx_scn_heavytrip,Low_1,,1,idle,maxwell,,,,
d_nikke_maxwell_05_77,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_77,,,black,black,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_78,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_78,True,,black,black,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_79,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_79,True,,black,black,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_80,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_80,True,,black,black,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_81,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_81,,,black,black,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_82,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_82,False,,100,100,1.0,,,,,,,,,,,,
d_nikke_maxwell_05_83,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_83,False,,100,10,2.0,,,,,maxwell,1,idle,,,,,
d_nikke_maxwell_05_84,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_84,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_85,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_85,,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_86,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_86,True,,10,100,0.5,,,,,,1,idle,,,,,
d_nikke_maxwell_05_87,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_87,True,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_88,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_88,False,,100,100,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_89,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_89,True,,100,10,1.0,,,,,,1,delight,,,,,
d_nikke_maxwell_05_90,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_90,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_91,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_91,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_92,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_92,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_93,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_93,True,,10,100,0.5,,,,,,1,idle,,,,,
d_nikke_maxwell_05_94,d_nikke_maxwell_05,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_94,,none,black,black,1.0,,,,,,1,idle,maxwell,,,,
d_nikke_maxwell_05_95,d_nikke_maxwell_05,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_95,False,,black,black,1.0,,,,,,1,idle,,,,,
d_nikke_maxwell_05_96,d_nikke_maxwell_05,Monologue,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_96,,,black,black,1.0,none,,,,,1,idle,,,,,
d_nikke_maxwell_05_97,d_nikke_maxwell_05,Monologue,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_05_97,,,black,black,1.0,,,,,,1,idle,,,,,
