id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_trony_04_66,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_66,False,,black,black,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_67,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_67,False,Park_n,black,black,1.0,bgm_story_languor,black,,1,idle,,13,idle
d_nikke_trony_04_68,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_68,True,,12,12,1.0,,,,1,sad,,13,idle
d_nikke_trony_04_69,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_69,True,,12,12,1.0,,,,1,sad,,13,idle
d_nikke_trony_04_70,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_70,True,,12,12,1.0,,,,1,sad,,13,delight
d_nikke_trony_04_71,d_nikke_trony_04,Monologue,laplace,,Locale_NikkeEpisode:d_nikke_trony_04_71,False,,12,100,1.0,,,,1,sad,,13,idle
d_nikke_trony_04_72,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_72,True,,100,100,1.0,,,,1,think,,13,idle
d_nikke_trony_04_73,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_73,True,,100,100,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_74,d_nikke_trony_04,Self,trony,,Locale_NikkeEpisode:d_nikke_trony_04_74,False,,100,100,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_75,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_75,True,,100,100,1.0,none,,,1,surprise,,13,idle
d_nikke_trony_04_76,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_76,True,,100,100,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_77,d_nikke_trony_04,Self,trony,,Locale_NikkeEpisode:d_nikke_trony_04_77,False,,100,100,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_78,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_78,True,,100,S_130,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_79,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_79,True,,S_130,S_130,1.0,bgm_story_herecomestrouble,,,1,surprise,,13,idle
d_nikke_trony_04_80,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_80,True,,S_130,S_130,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_81,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_81,True,,S_130,S_130,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_82,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_82,True,,S_130,12,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_83,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_83,True,,12,12,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_84,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_84,True,,12,12,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_85,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_85,True,,12,13,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_86,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_86,True,,13,S_130,0.7,,,,1,surprise,,13,idle
d_nikke_trony_04_87,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_87,True,,S_130,S_130,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_88,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_88,True,,S_130,S_130,1.0,,,,1,surprise,,13,idle
d_nikke_trony_04_89,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_89,True,,S_130,S_1300,0.7,,,,1,surprise,,13,idle
d_nikke_trony_04_90,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_90,True,,S_1300,S_1300,1.0,,,,1,surprise,,13,idle
