id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake
d_nikke_vesti_02_42,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_42,True,,31,1,1.0,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_43,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_43,True,,1,XS_100,0.5,bgm_story_herecomestrouble,vesti,,1,shy,,,3,idle,,
d_nikke_vesti_02_44,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_44,False,,XS_100,S_300,0.5,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_45,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_45,False,,S_300,S_300,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_46,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_46,True,,S_300,S_30,0.3,,exia,,1,shy,,,3,sad,,
d_nikke_vesti_02_47,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_47,True,,S_30,S_30,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_48,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_48,True,,S_30,S_30,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_49,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_49,True,,S_30,31,0.7,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_50,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_50,True,,31,31,1.0,,vesti,,1,idle,,,7,idle,,
d_nikke_vesti_02_51,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_51,True,,31,1,1.0,none,vesti,,1,sad,,,,,exia,
d_nikke_vesti_02_52,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_52,False,,1,1,1.0,,vesti,,1,sad,,,,,,
d_nikke_vesti_02_53,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_53,True,,1,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_54,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_54,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_55,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_55,False,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_56,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_56,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_57,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_57,True,,XS_10,31,0.3,bgm_story_whosdumber,neon,,1,idle,,neon,3,idle,,Low_2
d_nikke_vesti_02_58,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_58,True,,31,S_300,0.5,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_59,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_59,False,,S_300,S_300,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_60,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_60,True,,S_300,31,0.7,,vesti,,1,shy,,,3,delight,,
d_nikke_vesti_02_61,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_61,True,,31,31,1.0,,neon,,1,shy,,,3,surprise,,
d_nikke_vesti_02_62,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_62,True,,31,31,1.0,,neon,,1,shy,,,3,no,,
d_nikke_vesti_02_63,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_63,True,,31,31,1.0,,neon,,1,shy,,,3,no,,
d_nikke_vesti_02_64,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_64,True,,31,31,1.0,,neon,,1,shy,,,3,delight,,
d_nikke_vesti_02_65,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_65,True,,31,31,1.0,,vesti,,1,idle,,,3,delight,,
d_nikke_vesti_02_66,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_66,True,,31,31,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_67,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_67,True,,31,31,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_68,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_68,True,,31,31,1.0,,vesti,,1,idle,,,3,no,,
d_nikke_vesti_02_69,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_69,True,,31,31,1.0,,vesti,,1,idle,,,3,no,,
d_nikke_vesti_02_70,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_70,True,,31,31,1.0,,vesti,,1,idle,,,3,no,,
d_nikke_vesti_02_71,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_71,True,,31,31,1.0,,neon,,1,idle,,,3,surprise,,
d_nikke_vesti_02_72,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_72,True,,31,31,1.0,,vesti,,1,idle,,,3,surprise,,
d_nikke_vesti_02_73,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_73,True,,31,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_74,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_74,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_75,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_75,False,,S_30,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_76,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_76,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,idle,,
d_nikke_vesti_02_77,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_77,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,idle,,
d_nikke_vesti_02_78,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_78,True,,S_30,S_300,0.3,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_79,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_79,True,,S_300,31,0.5,,vesti,,1,idle,,,3,no,,
d_nikke_vesti_02_80,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_80,True,,31,31,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_81,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_81,True,,31,31,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_82,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_82,True,,31,S_30,0.5,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_83,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_83,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_84,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_84,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_85,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_85,True,,S_30,S_300,0.3,,neon,,1,idle,,,3,surprise,,
d_nikke_vesti_02_86,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_86,True,,S_300,31,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_87,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_87,True,,31,31,1.0,,vesti,,1,shy,,,3,worry,,
d_nikke_vesti_02_88,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_88,True,,31,31,1.0,,vesti,,1,idle,,,3,worry,,
d_nikke_vesti_02_89,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_89,True,,31,31,1.0,,vesti,,1,idle,,,3,worry,,
d_nikke_vesti_02_90,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_90,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_91,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_91,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_92,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_92,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,delight,,
d_nikke_vesti_02_93,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_93,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_94,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_94,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,no,,
d_nikke_vesti_02_95,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_95,False,,S_30,S_30,1.0,,neon,,1,idle,d_nikke_vesti_02_97,,3,no,,
d_nikke_vesti_02_96,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_96,False,,S_30,S_30,1.0,,neon,,1,idle,d_nikke_vesti_02_97,,3,no,,
d_nikke_vesti_02_97,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_97,True,,S_30,S_30,1.0,none,neon,,1,idle,,,3,idle,,
d_nikke_vesti_02_98,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_98,True,,S_30,S_30,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_99,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_99,True,,S_30,31,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_100,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_100,True,,31,31,1.0,,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_101,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_101,True,,31,31,1.0,bgm_story_herecomestrouble,neon,,1,idle,,,3,worry,,
d_nikke_vesti_02_102,d_nikke_vesti_02,Speech,neon,Locale_NikkeEpisode:d_nikke_vesti_02_102,True,,31,31,1.0,,neon,,1,idle,,,7,worry,,
d_nikke_vesti_02_103,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_103,True,,31,1,1.0,,vesti,,1,sad,,,,,neon,
d_nikke_vesti_02_104,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_104,True,,1,1,1.0,,vesti,,1,sad,,,,,,
d_nikke_vesti_02_105,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_105,False,,1,1,1.0,,vesti,,1,sad,d_nikke_vesti_02_107,,,,,
d_nikke_vesti_02_106,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_106,False,,1,1,1.0,,vesti,,1,sad,d_nikke_vesti_02_108,,,,,
d_nikke_vesti_02_107,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_107,True,,1,XS_10,1.0,,vesti,,1,idle,d_nikke_vesti_02_110,,,,,
d_nikke_vesti_02_108,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_108,True,,1,XS_10,0.5,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_109,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_109,True,,XS_10,XS_10,1.0,,vesti,,1,shy,d_nikke_vesti_02_110,,,,,
d_nikke_vesti_02_110,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_110,True,,XS_10,XS_10,1.0,,vesti,,1,shy,,,,,,
