id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade
d_nikke_ludmilla_04_11,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_11,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_12,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_12,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_13,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_13,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_14,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_14,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_15,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_15,True,,black,black,1.0,none,alice,unknown,alice,3,idle,,,,,,
d_nikke_ludmilla_04_16,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_16,True,,S_300,S_300,1.0,,alice,alice,,3,idle,Low_2,,,,,
d_nikke_ludmilla_04_17,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_17,False,,100,100,1.0,,ludmilla,ludmilla,,3,idle,,ludmilla,1,idle,,
d_nikke_ludmilla_04_18,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_18,True,,100,31,1.0,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_19,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_19,True,,31,31,1.0,,alice,alice,,3,delight,,,1,idle,,
d_nikke_ludmilla_04_20,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_20,True,,31,31,0.5,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_21,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_21,True,,31,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_22,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_22,True,,10,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,delight,,
d_nikke_ludmilla_04_23,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_23,True,,10,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,think,,
d_nikke_ludmilla_04_24,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_24,True,,S_30,S_30,0.5,,alice,alice,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_25,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_25,True,,10,10,0.5,bgm_story_weare,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_26,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_26,True,,10,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_27,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_27,False,,10,31,0.5,,alice,alice,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_28,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_28,True,,31,31,0.5,,alice,alice,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_29,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_29,True,,31,31,0.5,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_30,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_30,True,,31,31,1.0,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_31,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_31,True,,31,31,1.0,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_32,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_32,True,,31,31,1.0,,ludmilla,ludmilla,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_33,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_33,True,,31,31,1.0,,ludmilla,ludmilla,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_34,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_34,True,,31,S_30,1.0,,alice,alice,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_35,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_35,True,,S_30,S_30,1.0,,alice,alice,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_36,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_36,True,,10,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_37,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_37,True,,10,10,1.0,,ludmilla,ludmilla,,3,idle,,,1,idle,,
d_nikke_ludmilla_04_38,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_38,True,,10,31,1.0,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_39,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_39,True,,31,31,1.0,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_40,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_40,False,,31,31,1.0,,,,,3,surprise,,,1,idle,alice,
d_nikke_ludmilla_04_41,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_41,True,,31,10,0.5,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_42,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_42,False,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_43,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_43,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_44,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_44,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_45,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_45,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_46,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_46,True,,10,31,0.5,none,alice,alice,alice,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_47,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_47,True,,31,S_30,0.5,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_48,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_48,True,,S_30,S_300,0.5,,alice,alice,,3,surprise,,,1,idle,,
d_nikke_ludmilla_04_49,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_49,False,,100,100,1.0,,ludmilla,ludmilla,,3,surprise,,,1,idle,alice,
d_nikke_ludmilla_04_50,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_50,False,BriefingRoom,1,10,1.0,,ludmilla,,,,,,,1,idle,,black
d_nikke_ludmilla_04_51,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_51,False,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_52,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_52,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_53,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_53,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_54,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_54,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_55,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_55,False,,10,10,0.5,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_56,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_56,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_57,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_57,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_58,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_58,False,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_59,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_59,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_60,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_60,False,,10,10,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_61,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_61,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_62,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_62,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_63,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_63,False,,10,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_64,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_64,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_65,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_65,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_66,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_66,False,,100,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_67,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_67,False,,100,10,0.5,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_68,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_68,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_69,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_69,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_70,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_70,False,,10,10,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_71,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_71,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_72,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_72,False,,10,10,1.0,bgm_story_impression,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_73,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_73,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_74,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_74,False,,10,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_75,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_75,False,,100,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_76,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_76,False,,100,100,0.5,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_77,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_77,False,,100,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_78,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_78,False,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_79,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_79,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_80,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_80,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_81,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_81,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_82,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_82,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_83,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_83,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_84,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_84,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_85,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_85,False,,black,black,1.0,,,,,,,,,1,idle,,
d_nikke_ludmilla_04_86,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_86,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_87,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_87,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_88,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_88,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_89,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_89,False,,10,10,0.5,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_90,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_90,False,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_91,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_91,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_92,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_92,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_93,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_93,False,,10,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_94,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_94,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_95,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_95,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_96,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_96,False,,100,10,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_97,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_97,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_98,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_98,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_99,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_99,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_100,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_100,False,,10,10,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_101,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_101,True,,10,10,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_102,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_102,True,,10,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_103,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_103,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_104,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_104,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_105,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_105,False,,100,100,0.5,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_106,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_106,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_107,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_107,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_108,d_nikke_ludmilla_04,Self,Locale_NikkeEpisode:d_nikke_ludmilla_04_108,False,,100,100,1.0,,ludmilla,,,,,,,1,idle,,
d_nikke_ludmilla_04_109,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_109,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
d_nikke_ludmilla_04_110,d_nikke_ludmilla_04,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_04_110,True,,100,100,1.0,,ludmilla,ludmilla,,,,,,1,idle,,
