id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_isabel_01_49,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_49,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_isabel_01_50,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_50,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_isabel_01_51,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_51,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_isabel_01_52,d_nikke_isabel_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_isabel_01_52,False,,1,1,1.0,,,,,sfx_scn_knock,,,,,,,,,,,,,,
d_nikke_isabel_01_53,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_53,True,,1,1,1.0,bgm_story_sunshinesorrow,,,,,,,isabel,1,idle,,,,,,,,,
d_nikke_isabel_01_54,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_54,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_55,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_55,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_56,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_56,True,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_57,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_57,False,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_58,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_58,False,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_59,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_59,False,,1,1,1.0,,,,,,Low_2,,,1,idle,,,,,,,,,
d_nikke_isabel_01_60,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_60,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_61,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_61,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_62,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_62,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_64,,1,idle,,,,,,,,,
d_nikke_isabel_01_63,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_63,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_68,,1,idle,,,,,,,,,
d_nikke_isabel_01_64,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_64,True,,1,S_10,2.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_65,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_65,True,,S_10,S_10,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_66,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_66,True,,S_10,S_10,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_67,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_67,True,,S_10,S_10,1.0,,,,,,,d_nikke_isabel_01_72,,1,shy,,,,,,,,,
d_nikke_isabel_01_68,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_68,False,,1,S_10,2.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_69,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_69,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_70,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_70,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_71,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_71,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_72,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_72,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_73,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_73,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_74,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_74,True,,S_10,S_100,2.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_75,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_75,False,,S_100,S_100,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_76,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_76,True,,S_100,S_100,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_77,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_77,True,,S_100,S_10,2.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_78,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_78,False,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_79,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_79,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_80,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_80,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_81,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_81,True,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_82,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_82,False,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_83,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_83,True,,S_10,1,2.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_84,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_84,True,,1,1,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_85,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_85,True,,1,1,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_86,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_86,True,,1,1,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_87,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_87,True,,1,1,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_88,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_88,False,,1,1,1.0,,,,,,,,,1,"expression_0,shy",,,,,,,,,
d_nikke_isabel_01_89,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_89,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_91,,1,shy,,,,,,,,,
d_nikke_isabel_01_90,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_90,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_91,,1,shy,,,,,,,,,
d_nikke_isabel_01_91,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_91,True,,1,S_10,2.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_92,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_92,True,,S_10,S_10,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_93,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_93,True,,S_10,S_10,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_94,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_94,True,,S_10,S_10,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_95,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_95,True,,S_10,S_10,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_96,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_96,True,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_97,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_97,True,,S_10,S_100,2.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_98,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_98,True,,S_100,S_100,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_99,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_99,True,,S_100,S_100,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_100,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_100,True,,S_100,S_100,1.0,,,,,,,,,1,shy,,,,,,,,,
d_nikke_isabel_01_101,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_101,True,,S_100,S_100,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_102,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_102,True,,S_100,S_100,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_103,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_103,False,,S_100,S_100,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_104,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_104,True,,S_100,S_10,2.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_105,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_105,True,,S_10,S_10,1.0,none,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_106,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_106,True,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
