id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_neve_01_59,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_59,False,,,53,53,1.0,,,alice,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_60,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_60,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_61,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_61,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_62,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_62,False,,,53,53,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_63,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_63,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_64,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_64,True,Drain,,9,53,2.0,,,alice,alice,,5,idle,,3,idle,black,,,,
d_nikke_neve_01_65,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_65,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_66,d_nikke_neve_01,Monologue,Locale_NikkeEpisode:d_nikke_neve_01_66,False,,,53,1,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_67,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_67,True,,,1,1,1.0,,none,neve,neve,,5,idle,,3,idle,,,neve,1,good
d_nikke_neve_01_68,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_68,True,,,1,5,1.0,,,alice,alice,,5,delight,,3,idle,,,,1,good
d_nikke_neve_01_69,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_69,True,,,5,S_50,1.0,,,alice,alice,,5,delight,,3,idle,,,,1,good
d_nikke_neve_01_70,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_70,False,,,1,1,1.0,,,neve,neve,,5,delight,,3,idle,,,,1,good
d_nikke_neve_01_71,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_71,True,,,1,10,1.0,,,neve,neve,,5,idle,,3,idle,,,,1,good
d_nikke_neve_01_72,d_nikke_neve_01,Narration,Locale_NikkeEpisode:d_nikke_neve_01_72,False,,,10,100,0.2,,,neve,,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_73,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_73,True,,,100,100,1.0,,,neve,neve,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_74,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_74,True,,,100,10,1.0,,bgm_story_orangepop,neve,neve,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_75,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_75,False,,,10,10,1.0,,,neve,,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_76,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_76,True,,,10,1,1.0,,,neve,neve,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_77,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_77,True,,,5,5,1.0,,,alice,alice,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_78,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_78,True,,,1,1,1.0,,,neve,neve,,5,idle,,3,idle,,,,1,idle
d_nikke_neve_01_79,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_79,True,,,5,5,1.0,,,alice,alice,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_80,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_80,True,,,1,1,1.0,,,neve,neve,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_81,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_81,True,,,1,10,1.0,,,neve,neve,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_82,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_82,True,,,S_50,S_50,1.0,,,alice,alice,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_83,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_83,True,,,10,10,1.0,,,neve,neve,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_84,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_84,False,,,10,10,1.0,,,neve,,,5,surprise,,3,idle,,,,1,idle
d_nikke_neve_01_85,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_85,True,,,10,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,think,,,,1,idle
d_nikke_neve_01_86,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_86,True,,,30,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,think,,,,1,idle
d_nikke_neve_01_87,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_87,False,,,30,30,1.0,,,ludmilla,,,5,idle,,3,think,,,,1,idle
