id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_maiden_03_73,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_73,False,,black,black,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_74,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_74,False,,S_100,S_10,1.0,,m_nikke_maiden_03,sfx_scn_phonevibration,,,1,idle,,,,,,,,
d_nikke_maiden_03_75,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_75,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_76,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_76,True,,black,black,1.0,,,,,,1,idle,anis,13,angry,,neon,15,angry,
d_nikke_maiden_03_77,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_77,True,,S_10,12,1.0,,,,,,1,idle,,13,angry,,,15,angry,
d_nikke_maiden_03_78,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_78,True,,12,12,1.0,,,,,,1,shy,,13,angry,,,15,angry,
d_nikke_maiden_03_79,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_79,True,,12,12,1.0,,,,,,1,idle,,13,angry,,,15,angry,
d_nikke_maiden_03_80,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_80,True,,12,130,0.5,,,,,,1,idle,,13,angry,,,15,angry,
d_nikke_maiden_03_81,d_nikke_maiden_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_maiden_03_81,True,,130,S_150,1.0,,,,,,1,idle,,13,angry,,,15,angry,
d_nikke_maiden_03_82,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_82,True,,S_10,S_10,1.0,,,,,,1,angry,,13,angry,,,15,angry,
d_nikke_maiden_03_83,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_83,True,,130,1300,0.5,,,,,,1,angry,,13,angry,,,15,angry,
d_nikke_maiden_03_84,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_84,True,,S_10,S_100,0.5,,,,,,1,idle,,13,angry,,,15,idle,
d_nikke_maiden_03_85,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_85,True,,1300,130,0.5,,,,,,1,idle,,13,angry,,,15,idle,
d_nikke_maiden_03_86,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_86,True,,130,130,1.0,,,,,,1,idle,,13,angry,,,15,idle,
d_nikke_maiden_03_87,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_87,False,,130,12,1.0,,,,,,1,idle,,13,angry,,,15,idle,
d_nikke_maiden_03_88,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_88,True,,12,12,1.0,,,,,,1,idle,,13,worry,,,15,idle,
d_nikke_maiden_03_89,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_89,True,,12,12,1.0,,,,,,1,idle,,13,worry,,,15,idle,
d_nikke_maiden_03_90,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_90,True,,12,S_10,1.0,,,,,,1,idle,,13,worry,,,15,idle,
d_nikke_maiden_03_91,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_91,True,,S_10,S_10,1.0,,,,,,1,idle,,13,sad,,,15,idle,
d_nikke_maiden_03_92,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_92,True,,S_10,130,0.5,,,,,,1,idle,,13,sad,,,15,idle,
d_nikke_maiden_03_93,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_93,True,,130,12,1.0,,,,,,1,idle,,13,sad,,,15,idle,
d_nikke_maiden_03_94,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_94,True,,12,12,1.0,,,,,,1,idle,,13,angry,,,15,idle,
d_nikke_maiden_03_95,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_95,True,,12,S_10,0.5,,,,,,1,shy,,13,angry,,,15,idle,
d_nikke_maiden_03_96,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_96,True,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_97,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_97,True,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_98,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_98,True,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_99,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_99,True,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_100,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_100,True,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_101,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_101,False,,S_10,S_10,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_102,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_102,True,,S_10,S_100,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_103,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_103,True,,S_100,S_100,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_104,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_104,True,,S_100,S_100,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_105,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_105,True,,S_100,S_100,1.0,,,,,,1,shy,,13,void,,,15,idle,
d_nikke_maiden_03_106,d_nikke_maiden_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_maiden_03_106,True,,S_100,1300,2.0,,,,,,1,shy,,13,sad,,,15,surprise,
d_nikke_maiden_03_107,d_nikke_maiden_03,Narration,,,Locale_NikkeEpisode:d_nikke_maiden_03_107,False,,5,1,2.0,none,,,black,,1,idle,,13,sad,anis,,15,surprise,neon
d_nikke_maiden_03_108,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_108,True,,1,S_10,1.0,bgm_story_leisuretime,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_109,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_109,False,,S_10,S_10,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_110,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_110,True,,S_10,S_10,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_111,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_111,False,,S_10,S_10,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_112,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_112,False,,S_10,S_100,2.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_113,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_113,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_114,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_114,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_115,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_115,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_116,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_116,True,,S_100,S_10,0.5,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_117,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_117,False,,S_10,S_10,1.0,none,,sfx_scn_smallalarm,,,1,shy,,,,,,,,
d_nikke_maiden_03_118,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_118,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_119,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_119,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_120,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_120,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_121,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_121,True,,S_10,S_100,1.0,,,,,,1,idle,,,,,,,,
