id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_ce005_03_01_28,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_28,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_29,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_29,True,,1,1,1.0,,ce005_03,ce005_03,,1,think,,,,,,
d_nikke_ce005_03_01_30,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_30,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_31,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_31,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_32,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_32,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_33,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_33,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_34,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_34,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_35,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_35,True,,1,1,1.0,,ce005_03,ce005_03,,1,shy,,,,,,
d_nikke_ce005_03_01_36,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_36,True,,1,1,1.0,,ce005_03,ce005_03,,1,shy,,,,,,
d_nikke_ce005_03_01_37,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_37,True,,1,1,1.0,,ce005_03,ce005_03,,1,shy,,,,,,
d_nikke_ce005_03_01_38,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_38,True,,1,1,1.0,,ce005_03,ce005_03,,1,shy,,,,,,
d_nikke_ce005_03_01_39,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_39,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_40,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_40,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_41,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_41,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_42,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_42,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_43,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_43,True,,1,10,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
