id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/1/hide_char_id
d_nikke_tia_01_72,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_72,False,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_73,d_nikke_tia_01,Choice,,,Locale_NikkeEpisode:d_nikke_tia_01_73,False,,2,idle,,12,idle,,20,20,1.0,,,d_nikke_tia_01_75,
d_nikke_tia_01_74,d_nikke_tia_01,Choice,,,Locale_NikkeEpisode:d_nikke_tia_01_74,False,,2,idle,,12,idle,,20,20,1.0,,,d_nikke_tia_01_78,
d_nikke_tia_01_75,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_75,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_76,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_76,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_77,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_77,True,,2,delight,,12,idle,,20,20,1.0,,,d_nikke_tia_01_81,
d_nikke_tia_01_78,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_78,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_79,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_79,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_80,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_80,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_81,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_81,True,,2,idle,,12,idle,,20,1,1.0,,,,
d_nikke_tia_01_82,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_82,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_83,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_83,True,,2,worry,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_84,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_84,True,,2,worry,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_85,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_85,True,,2,worry,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_86,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_86,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_87,d_nikke_tia_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_tia_01_87,False,,2,idle,,12,idle,,black,black,1.0,,,,naga
d_nikke_tia_01_88,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_88,True,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_89,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_89,False,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_90,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_90,False,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_91,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_91,True,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_92,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_92,True,,2,delight,,,,,2,2,1.0,,,,
d_nikke_tia_01_93,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_93,True,,2,delight,,,,,2,2,1.0,,,,
d_nikke_tia_01_94,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_94,True,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_95,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_95,False,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_96,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_96,False,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_97,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_97,True,,2,idle,,,,,2,2,1.0,,,,
d_nikke_tia_01_98,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_98,False,,2,idle,,,,,2,2,1.0,,,,
