id,group_id,speech_window,highlight,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,speaker,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,jump_target
d_nikke_maxwell_02_36,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_36,,10,10,1.0,,,,,,,1,delight,,,,,,,,
d_nikke_maxwell_02_37,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_37,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_38,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_38,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_39,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_39,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_40,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_40,Office,L_70,L_70,1.0,,,,,,,1,idle,,maxwell,andersen,7,idle,Grey,,
d_nikke_maxwell_02_41,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_41,City,10,10,1.0,,,,,,maxwell,1,idle,,,,,,,andersen,
d_nikke_maxwell_02_42,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_42,,10,100,0.5,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_43,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_43,,100,100,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_44,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_44,,100,100,1.0,,,,,False,,1,delight,,,,,,,,
d_nikke_maxwell_02_45,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_45,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_46,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_46,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_47,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_47,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_48,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_48,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_49,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_49,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_50,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_50,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_51,d_nikke_maxwell_02,Choice,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_51,,100,100,1.0,,,,,,,1,idle,,,,,,,,d_nikke_maxwell_02_53
d_nikke_maxwell_02_52,d_nikke_maxwell_02,Choice,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_52,,100,100,1.0,,,,,,,1,idle,,,,,,,,d_nikke_maxwell_02_59
d_nikke_maxwell_02_53,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_53,,100,10,0.5,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_54,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_54,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_55,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_55,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_56,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_56,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_57,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_57,,10,10,1.0,,,,,,,1,delight,,,,,,,,
d_nikke_maxwell_02_58,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_58,,10,10,1.0,,,,maxwell,True,,1,shy,,,,,,,,d_nikke_maxwell_02_65
d_nikke_maxwell_02_59,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_59,,100,10,0.5,,,,maxwell,False,,1,angry,,,,,,,,
d_nikke_maxwell_02_60,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_60,,10,10,1.0,,,,maxwell,True,,1,angry,,,,,,,,
d_nikke_maxwell_02_61,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_61,,10,10,1.0,,,,maxwell,True,,1,angry,,,,,,,,
d_nikke_maxwell_02_62,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_62,,10,10,1.0,,,,,,,1,angry,,,,,,,,
d_nikke_maxwell_02_63,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_63,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_64,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_64,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,d_nikke_maxwell_02_65
d_nikke_maxwell_02_65,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_65,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_66,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_66,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_67,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_67,none,10,10,1.0,,,,,,,1,idle,,maxwell,,,,,,
d_nikke_maxwell_02_68,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_68,City,10,10,1.0,,,,maxwell,True,maxwell,1,idle,,,,,,,,
d_nikke_maxwell_02_69,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_69,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_70,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_70,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_71,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_71,,10,100,1.0,none,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_72,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_72,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_73,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_73,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_74,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_74,,100,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_75,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_75,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_76,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_76,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_77,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_77,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_78,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_78,,10,10,1.0,,,,maxwell,False,,1,idle,,,,,,,,
d_nikke_maxwell_02_79,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_79,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_80,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_80,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_81,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_81,,10,10,1.0,,,,maxwell,False,,1,idle,,,,,,,,
d_nikke_maxwell_02_82,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_82,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_83,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_83,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_84,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_84,,10,100,0.5,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_85,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_85,,100,10,0.5,bgm_story_epicjazzymoods,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_86,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_86,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_87,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_87,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_88,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_88,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_89,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_89,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_90,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_90,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_91,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_91,,10,10,1.0,,,,maxwell,True,,1,angry,,,,,,,,
d_nikke_maxwell_02_92,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_92,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_93,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_93,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_94,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_94,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_95,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_95,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_96,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_96,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_97,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_97,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_98,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_98,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_99,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_99,,10,100,2.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_100,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_100,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_101,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_101,,100,100,1.0,,,,,False,,1,idle,,,,,,,,
d_nikke_maxwell_02_102,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_102,,100,100,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_103,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_103,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_104,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_104,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_105,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_105,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_106,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_106,,100,10,2.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_107,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_107,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_108,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_108,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_109,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_109,,10,10,1.0,,,,,,,1,delight,,,,,,,,
d_nikke_maxwell_02_110,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_110,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_111,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_111,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_112,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_112,,10,100,2.0,none,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_113,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_113,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_114,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_114,none,black,black,1.0,,,,maxwell,True,,1,idle,,maxwell,,,,,,
d_nikke_maxwell_02_115,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_115,Laboratory,3,1,2.0,bgm_recognition_underworld,,,maxwell,False,,,,black,,,,,,,
d_nikke_maxwell_02_116,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_116,,1,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_117,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_117,,10,10,1.0,,,,maxwell,True,maxwell,1,idle,,,,,,,,
d_nikke_maxwell_02_118,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_118,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_119,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_119,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_120,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_120,,10,100,2.0,,,,maxwell,True,,1,angry,,,,,,,,
d_nikke_maxwell_02_121,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_121,,100,100,1.0,,,,maxwell,False,,1,angry,,,,,,,,
d_nikke_maxwell_02_122,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_122,,100,100,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_123,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_123,,black,black,1.0,,,,maxwell,True,,1,idle,,,,,,,,
