id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,set_camera_shake,characters/1/hide_char_id,characters/0/hide_char_id,jump_target,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_viper_05_17,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_17,True,,15,10,1.0,,viper,,3,angry,,13,angry,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_18,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_18,False,,10,10,1.0,,viper,,3,angry,,13,angry,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_19,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_19,True,,10,10,1.0,,viper,,3,angry,,13,angry,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_20,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_20,True,,10,10,1.0,,viper,,3,angry,,13,angry,,1,sad,,15,idle,,,,,,,,
d_nikke_viper_05_21,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_21,True,,10,10,1.0,,viper,,3,angry,,13,angry,,1,sad,,15,idle,,,,,,,,
d_nikke_viper_05_22,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_22,False,,10,10,1.0,,viper,,3,angry,,13,angry,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_23,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_23,True,,10,13,1.0,,crow,,3,crazy,,13,angry,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_24,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_24,True,,13,3,1.0,,jackal,,3,crazy,,13,angry,,1,idle,,15,idle,,,crow,,,,,
d_nikke_viper_05_25,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_25,True,,3,10,1.0,,viper,,3,crazy,,,,,1,delight,,15,idle,,,,jackal,,,,
d_nikke_viper_05_26,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_26,True,,10,1,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_27,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_27,False,,1,1,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_28,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_28,True,,1,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_29,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_29,False,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_30,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_30,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_31,d_nikke_viper_05,Choice,,Locale_NikkeEpisode:d_nikke_viper_05_31,False,,10,10,1.0,,,,,,,,,,1,idle,,15,idle,,,,,d_nikke_viper_05_33,,,
d_nikke_viper_05_32,d_nikke_viper_05,Choice,,Locale_NikkeEpisode:d_nikke_viper_05_32,False,,10,10,1.0,,,,,,,,,,1,idle,,15,idle,,,,,d_nikke_viper_05_35,,,
d_nikke_viper_05_33,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_33,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_34,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_34,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,d_nikke_viper_05_37,,,
d_nikke_viper_05_35,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_35,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_36,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_36,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_37,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_37,False,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_38,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_38,False,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_39,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_39,False,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_40,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_40,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_41,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_41,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_42,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_42,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_43,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_43,True,,10,100,1.5,none,viper,,,,,,,,1,good,,15,idle,,,,,,,,
d_nikke_viper_05_44,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_44,False,,100,100,1.0,,viper,,,,,,,,1,good,,15,idle,,,,,,,,
d_nikke_viper_05_45,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_45,True,,100,10,1.0,bgm_story_languor,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_46,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_46,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_47,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_47,True,,10,10,1.0,,viper,,,,,,,,1,shy,,15,idle,,,,,,,,
d_nikke_viper_05_48,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_48,False,,10,10,1.0,,viper,,,,,,,,1,shy,,15,idle,,,,,,,,
d_nikke_viper_05_49,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_49,False,,10,10,1.0,,viper,,,,,,,,1,shy,,15,idle,,,,,,,,
d_nikke_viper_05_50,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_50,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_51,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_51,False,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_52,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_52,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_53,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_53,True,,10,10,1.0,,viper,,,,,,,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_54,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_54,True,,10,10,1.0,,viper,,,,,,,,1,idle,,15,idle,,,,,,,,
d_nikke_viper_05_55,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_55,True,,10,100,1.5,,viper,,,,,,,,1,shy,,15,idle,,,,,,,,
d_nikke_viper_05_56,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_56,False,,100,100,1.0,,,,,,,,,,1,shy,,15,idle,,,,,,viper,clubmanager,
d_nikke_viper_05_57,d_nikke_viper_05,Speech,clubmanager,Locale_NikkeEpisode:d_nikke_viper_05_57,True,,100,15,1.0,,clubmanager,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_58,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_58,False,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_59,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_59,False,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_60,d_nikke_viper_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_viper_05_60,False,,15,15,1.0,,,,,,,,,,,,,,,sfx_scn_paperopen,,,,,,,
d_nikke_viper_05_61,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_61,False,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_62,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_62,False,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_63,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_63,False,,15,15,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_64,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_64,True,,3,3,1.0,bgm_story_fairytalesend_if,jackal,jackal,3,no,,,,,,,,,,,,,,,,,black
d_nikke_viper_05_65,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_65,True,,3,3,1.0,,jackal,,3,no,,,,,,,,,,,,,,,,,
d_nikke_viper_05_66,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_66,True,,3,2,1.0,,viper,,3,no,,,,viper,1,idle,,,,,,,,,,,
d_nikke_viper_05_67,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_67,True,,2,2,1.0,,viper,,3,no,,,,,1,delight,,,,,,,,,,,
d_nikke_viper_05_68,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_68,True,,2,2,1.0,,jackal,,3,crazy,,,,,1,delight,,,,,,,,,,,
d_nikke_viper_05_69,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_69,True,,2,2,1.0,,viper,,3,crazy,,,,,1,delight,,,,,,,,,,,
d_nikke_viper_05_70,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_70,False,,2,30,0.5,,jackal,,3,shy_01,,,,,1,delight,,,,,,,,,,,
d_nikke_viper_05_71,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_71,True,,30,30,1.0,,jackal,,3,crazy,,,,,1,delight,,,,,,,,,,,
d_nikke_viper_05_72,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_72,True,,30,2,1.0,,viper,,3,crazy,,,,,1,idle,,,,,,,,,,,
d_nikke_viper_05_73,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_73,True,,2,12,1.0,,viper,,3,crazy,crow,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_74,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_74,False,,12,12,1.0,,crow,,3,idle,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_75,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_75,True,,12,12,1.0,,viper,,3,idle,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_76,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_76,True,,12,12,1.0,,viper,,3,idle,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_77,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_77,True,,12,12,1.0,,viper,,3,idle,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_78,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_78,True,,12,12,1.0,,crow,,3,idle,,13,angry,,1,delight,,,,,,,,,,,
d_nikke_viper_05_79,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_79,True,,12,12,1.0,,viper,,3,idle,,13,angry,,1,idle,,,,,,,,,,,
d_nikke_viper_05_80,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_80,True,,12,12,1.0,,viper,,3,idle,,13,angry,,1,delight,,,,,,,,,,,
d_nikke_viper_05_81,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_81,True,,12,12,1.0,,viper,,3,idle,,13,angry,,1,delight,,,,,,,,,,,
d_nikke_viper_05_82,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_82,True,,12,12,1.0,none,crow,,3,idle,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_83,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_83,True,,12,12,1.0,,viper,,3,idle,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_84,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_84,True,,12,12,1.0,bgm_story_crawlinganxiety,crow,,3,idle,,13,angry,,1,idle,,,,,,,,,,,
d_nikke_viper_05_85,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_85,True,,12,12,1.0,,crow,,3,idle,,13,angry,,1,idle,,,,,,,,,,,
d_nikke_viper_05_86,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_86,True,,12,12,1.0,,viper,,3,idle,,13,angry,,1,angry,,,,,,,,,,,
d_nikke_viper_05_87,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_87,True,,12,12,1.0,,crow,,3,idle,,13,smile,,1,angry,,,,,,,,,,,
d_nikke_viper_05_88,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_88,True,,12,12,1.0,,crow,,3,idle,,13,smile,,1,angry,,,,,,,,,,,
d_nikke_viper_05_89,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_89,False,,12,12,1.0,,viper,,3,idle,,13,smile,,1,angry,,,,,,,,,,,
d_nikke_viper_05_90,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_90,True,,12,12,1.0,,viper,,3,idle,,13,smile,,1,good,,,,,,,,,,,
d_nikke_viper_05_91,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_91,True,,12,12,1.0,,viper,,3,idle,,13,smile,,1,good,,,,,,,,,,,
d_nikke_viper_05_92,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_92,True,,12,12,1.0,,crow,,3,idle,,13,delight,,1,good,,,,,,,,,,,
d_nikke_viper_05_93,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_93,True,,12,130,1.0,,crow,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_94,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_94,True,,130,130,1.0,,crow,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_95,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_95,True,,130,130,1.0,,crow,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_96,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_96,True,,130,130,1.0,,crow,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_97,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_97,True,,130,130,1.0,,crow,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_98,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_98,True,,130,12,1.0,,viper,,3,idle,,13,angry,,1,delight,,,,,,,,,,,
d_nikke_viper_05_99,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_99,True,,12,12,1.0,,viper,,3,idle,,13,angry,,1,good,,,,,,,,,,,
d_nikke_viper_05_100,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_100,True,,12,12,1.0,,crow,,3,idle,,13,delight,,1,good,,,,,,,,,,,
d_nikke_viper_05_101,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_101,False,,12,10,1.0,,viper,,3,idle,,13,delight,,1,angry,,,,,,,,,,,
d_nikke_viper_05_102,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_102,True,,10,10,1.0,,viper,,3,idle,,13,delight,,1,idle,,,,,,,,,,,
d_nikke_viper_05_103,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_103,True,,10,10,1.0,,viper,,3,idle,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_104,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_104,True,,10,2,1.0,,jackal,,3,shy_01,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_105,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_105,True,,2,2,1.0,,jackal,,3,shy_01,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_106,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_106,True,,2,2,1.0,,viper,,3,shy_01,,13,idle,,1,angry,,,,,,,,,,,
d_nikke_viper_05_107,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_107,True,,2,2,1.0,,viper,,3,shy_01,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_108,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_108,True,,2,2,1.0,,jackal,,3,angry,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_109,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_109,True,,2,2,1.0,,jackal,,3,angry,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_110,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_110,True,,2,2,1.0,,viper,,3,angry,,13,idle,,1,angry,,,,,,,,,,,
d_nikke_viper_05_111,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_111,True,,2,2,1.0,,viper,,3,angry,,13,idle,,1,angry,,,,,,,,,,,
d_nikke_viper_05_112,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_112,True,,2,10,1.0,,viper,,3,idle,,13,idle,,1,idle,,,,,,,,,,,
d_nikke_viper_05_113,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_113,False,,10,10,1.0,,viper,,3,idle,,13,idle,,1,shy,,,,,,,,,,,
d_nikke_viper_05_114,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_114,True,,10,100,2.0,,viper,,3,idle,,13,idle,,1,good,,,,,,,,,,,
