id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_rouge_01_11,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_11,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_12,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_12,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_13,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_13,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_14,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_14,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_15,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_15,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_16,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_16,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_17,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_17,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_18,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_18,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_19,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_19,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_20,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_20,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_21,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_21,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_22,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_22,True,,10,10,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_23,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_23,False,,10,10,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_24,d_nikke_rouge_01,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_24,False,CoinRushGameZone,10,10,1.0,bgm_story_tuffguys,,sfx_scn_hairtouch,black,,,1,idle,,7,idle,blanc,,5,idle,noir
d_nikke_rouge_01_25,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_25,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_26,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_26,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_27,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_27,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_28,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_28,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_29,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_29,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_30,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_30,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_31,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_31,False,,10,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_32,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_32,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_33,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_33,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_34,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_34,True,,100,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_35,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_35,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_36,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_36,False,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_37,d_nikke_rouge_01,Choice,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_37,False,,10,10,1.0,,,,,d_nikke_rouge_01_39,,1,idle,,,,,,,,
d_nikke_rouge_01_38,d_nikke_rouge_01,Choice,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_38,False,,10,10,1.0,,,,,d_nikke_rouge_01_39,,1,idle,,,,,,,,
d_nikke_rouge_01_39,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_39,True,,10,100,1.0,,rouge,,,,,1,think,,,,,,,,
d_nikke_rouge_01_40,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_40,True,,100,100,1.0,,rouge,,,,,1,think,,,,,,,,
d_nikke_rouge_01_41,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_41,True,,100,100,1.0,,rouge,,,,,1,think,,,,,,,,
d_nikke_rouge_01_42,d_nikke_rouge_01,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_42,False,,100,100,1.0,,,sfx_scn_hairtouch,,,,1,think,,,,,,,,
d_nikke_rouge_01_43,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_43,False,,100,100,1.0,,,,,,,1,think,,,,,,,,
d_nikke_rouge_01_44,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_44,True,,100,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_45,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_45,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_46,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_46,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_47,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_47,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_48,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_48,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_49,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_49,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_50,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_50,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_51,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_51,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_52,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_52,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_53,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_53,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_54,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_54,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_55,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_55,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_56,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_56,True,,10,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_57,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_57,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_58,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_58,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_59,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_59,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_60,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_60,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_61,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_61,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_62,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_62,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_63,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_63,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_64,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_64,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_65,d_nikke_rouge_01,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_65,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_66,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_66,True,,100,100,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_67,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_67,False,,black,black,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_68,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_68,False,,black,black,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_69,d_nikke_rouge_01,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_69,False,,black,black,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_70,d_nikke_rouge_01,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_70,False,NikkeRoom,black,black,1.0,none,,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_71,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_71,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_72,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_72,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_73,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_73,True,,10,10,1.0,,rouge,,,,,1,idle,,,,,,,,
d_nikke_rouge_01_74,d_nikke_rouge_01,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_74,False,,10,10,1.0,,,sfx_scn_coin,,,,1,idle,,,,,,,,
d_nikke_rouge_01_75,d_nikke_rouge_01,Narration,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_75,False,,10,10,1.0,,,sfx_scn_clap,,,,1,idle,,,,,,,,
d_nikke_rouge_01_76,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_76,False,,10,100,1.0,bgm_story_crawlinganxiety,rouge,,,,,1,no,,,,,,,,
d_nikke_rouge_01_77,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_77,True,,100,100,1.0,,rouge,,,,,1,no,,,,,,,,
