id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_yan_01_49,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_49,True,,S_150,S_150,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_50,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_50,True,,S_150,S_150,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_51,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_51,True,,S_150,S_150,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_52,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_52,True,,S_150,S_150,1.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_53,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_53,True,,S_150,S_150,1.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_54,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_54,True,,S_150,S_150,1.0,,,,,15,surprise,,,,,,,
d_nikke_yan_01_55,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_55,True,,S_150,S_150,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_56,d_nikke_yan_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_yan_01_56,False,CommanderRoom,5,1,2.0,bgm_story_whosdumber,,black,,1,delight,yan,,,,,,
d_nikke_yan_01_57,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_57,True,,1,1,1.0,,,,rapi,3,idle,,anis,1,void,neon,13,idle
d_nikke_yan_01_58,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_58,True,,1,1,1.0,,,,,3,idle,,,1,void,,13,idle
d_nikke_yan_01_59,d_nikke_yan_01,Self,anis,Self,Locale_NikkeEpisode:d_nikke_yan_01_59,False,,1,1,1.0,,,,,3,idle,,,1,void,,13,idle
d_nikke_yan_01_60,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_60,True,,1,10,1.0,,,,,3,idle,,,1,worry,,13,idle
d_nikke_yan_01_61,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_61,True,,10,10,1.0,,,,,3,idle,,,1,worry,,13,idle
d_nikke_yan_01_62,d_nikke_yan_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_yan_01_62,False,,10,10,1.0,,d_nikke_yan_01_64,,,3,idle,,,1,worry,,13,idle
d_nikke_yan_01_63,d_nikke_yan_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_yan_01_63,False,,10,10,1.0,,d_nikke_yan_01_66,,,3,idle,,,1,worry,,13,idle
d_nikke_yan_01_64,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_64,True,,10,10,1.0,,,,,3,idle,,,1,angry,,13,idle
d_nikke_yan_01_65,d_nikke_yan_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_01_65,True,,10,2,1.0,,d_nikke_yan_01_68,,,3,think,,,1,angry,,13,idle
d_nikke_yan_01_66,d_nikke_yan_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_01_66,True,,10,10,1.0,,,,,3,idle,,,1,worry,,13,idle
d_nikke_yan_01_67,d_nikke_yan_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_01_67,True,,10,2,1.0,,,,,3,think,,,1,worry,,13,idle
d_nikke_yan_01_68,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_68,False,,2,2,1.0,,,,,3,think,,,1,no,,13,idle
d_nikke_yan_01_69,d_nikke_yan_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_01_69,True,,2,12,1.0,,,,,3,think,,,1,no,,13,no
d_nikke_yan_01_70,d_nikke_yan_01,Self,neon,Self,Locale_NikkeEpisode:d_nikke_yan_01_70,False,,12,12,1.0,,,,,3,idle,,,1,no,,13,no
d_nikke_yan_01_71,d_nikke_yan_01,Self,neon,Self,Locale_NikkeEpisode:d_nikke_yan_01_71,False,,12,12,1.0,,,,,3,idle,,,1,no,,13,no
d_nikke_yan_01_72,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_72,True,,12,12,1.0,,,,,3,idle,,,1,angry,,13,no
d_nikke_yan_01_73,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_73,True,,12,12,1.0,,,,,3,idle,,,1,angry,,13,no
d_nikke_yan_01_74,d_nikke_yan_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_01_74,True,,12,12,1.0,,,,,3,idle,,,1,angry,,13,idle
d_nikke_yan_01_75,d_nikke_yan_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_01_75,True,,12,12,1.0,,,,,3,idle,,,1,angry,,13,worry
d_nikke_yan_01_76,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_76,True,,12,12,1.0,,,,,3,idle,,,1,worry,,13,worry
d_nikke_yan_01_77,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_77,True,,12,12,1.0,,,,,3,idle,,,1,worry,,13,worry
d_nikke_yan_01_78,d_nikke_yan_01,Self,anis,Self,Locale_NikkeEpisode:d_nikke_yan_01_78,False,,12,12,1.0,,,,,3,idle,,,1,worry,,13,worry
d_nikke_yan_01_79,d_nikke_yan_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_01_79,True,,12,10,0.5,,,,,3,idle,,,1,angry,,13,idle
d_nikke_yan_01_80,d_nikke_yan_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_01_80,True,,30,30,1.0,,,,,3,think,,,1,angry,,13,idle
d_nikke_yan_01_81,d_nikke_yan_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_01_81,True,,130,130,1.0,,,,,3,think,,,1,angry,,13,angry
d_nikke_yan_01_82,d_nikke_yan_01,Self,neon,Self,Locale_NikkeEpisode:d_nikke_yan_01_82,False,,130,130,1.0,,,,,3,think,,,1,angry,,13,angry
