id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,fade,jump_target,set_camera_shake,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_rapunzel_05_11,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_11,True,,1,delight,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_12,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_12,True,,1,shy,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_13,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_13,True,,1,shy,1,1,1.0,,,,d_nikke_rapunzel_05_15,,,,,,,,,
d_nikke_rapunzel_05_14,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_14,True,,1,shy,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_15,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_15,True,,4,idle,1,4,1.2,,CityForest_03_d,,,,,,,,,,,
d_nikke_rapunzel_05_16,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_16,True,,4,idle,4,4,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_17,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_17,True,,4,idle,4,4,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_18,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_18,False,,4,idle,4,4,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_19,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_19,True,,4,pain,4,4,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_20,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_20,True,,7,delight,4,7,1.2,,CityForest_04,,,,,,,,,,,
d_nikke_rapunzel_05_21,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_21,True,,7,delight,7,7,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_22,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_22,False,,7,delight,7,7,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_23,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_23,False,,1,idle,black,black,1.0,ambient_scn_wind,,black,,,rapunzel,,,,,,,
d_nikke_rapunzel_05_24,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_24,True,,,,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_25,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_25,True,,,,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_26,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_26,True,,,,black,black,1.0,,FlowerGarden,,,,,,,,,,,
d_nikke_rapunzel_05_27,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_27,True,,,,5,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_28,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_28,True,rapunzel,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_29,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_29,True,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_30,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_30,True,,1,no,1,15,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_31,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_31,False,,1,no,15,15,1.0,,,,,Low_2,,sfx_scn_rapturerun,,,,,,
d_nikke_rapunzel_05_32,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_32,False,,1,no,15,15,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_33,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_33,False,,1,no,15,15,1.0,,,,,Low_2,,sfx_scn_rapturerun,,,,,,
d_nikke_rapunzel_05_34,d_nikke_rapunzel_05,Self,,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_34,False,,1,no,15,15,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_35,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_35,False,,1,no,15,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_36,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_36,True,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_37,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_37,True,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_38,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_38,True,,1,no,1,10,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_39,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_39,True,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_40,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_40,False,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_41,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_41,True,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_42,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_42,True,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_43,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_43,False,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_44,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_44,False,,1,no,10,1,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_45,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_45,True,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_46,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_46,False,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_47,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_47,False,,1,no,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_48,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_48,False,,1,no,1,19,2.0,,,,,Low_2,,sfx_scn_rapturerun,,,,,,
d_nikke_rapunzel_05_49,d_nikke_rapunzel_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_rapunzel_05_49,False,,14,no,19,19,1.0,,,,,,rapunzel,sfx_scn_wind,,,,,,
d_nikke_rapunzel_05_50,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_50,False,,,,19,19,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_51,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_51,False,,,,19,19,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_52,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_52,False,,,,19,14,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_53,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_53,False,,,,14,14,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_54,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_54,False,rapunzel,14,no,14,14,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_55,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_55,False,,14,no,14,14,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_56,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_56,True,,14,idle,14,14,1.0,bgm_story_thepilgrim,,,,,,,,,,,,
d_nikke_rapunzel_05_57,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_57,False,,14,idle,14,14,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_58,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_58,False,,1,idle,14,1,1.2,,,,,,,,,,,,,
d_nikke_rapunzel_05_59,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_59,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_60,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_60,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_61,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_61,False,,1,idle,1,1,1.0,,,,,,rapunzel,,,,,,,
d_nikke_rapunzel_05_62,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_62,False,,,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_63,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_63,False,,,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_64,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_64,True,rapunzel,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_65,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_65,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_66,d_nikke_rapunzel_05,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_05_66,False,,1,idle,1,1,1.0,,,,d_nikke_rapunzel_05_68,,,,,,,,,
d_nikke_rapunzel_05_67,d_nikke_rapunzel_05,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_05_67,False,,1,idle,1,1,1.0,,,,d_nikke_rapunzel_05_68,,,,,,,,,
d_nikke_rapunzel_05_68,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_68,False,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_69,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_69,False,,1,idle,1,1,1.0,,,,,,rapunzel,,,,,,,
d_nikke_rapunzel_05_70,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_70,False,,,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_71,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_71,True,rapunzel,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_72,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_72,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_73,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_73,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_74,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_74,False,,1,no,1,10,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_75,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_75,True,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_76,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_76,False,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_77,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_77,True,,1,no,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_78,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_78,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_79,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_79,True,,1,idle,1,1,1.0,bgm_distress,Desert_02,black,,,,,,,,,,
d_nikke_rapunzel_05_80,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_80,False,,1,idle,1,16,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_81,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_81,False,,1,idle,16,16,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_82,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_82,True,,1,idle,16,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_83,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_83,False,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_84,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_84,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_85,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_85,False,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_86,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_86,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_87,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_87,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_88,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_88,False,,1,idle,1,14,1.0,,,,,,rapunzel,,,,,,,
d_nikke_rapunzel_05_89,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_89,True,,,,14,14,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_90,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_90,False,rapunzel,1,idle,14,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_91,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_91,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_92,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_92,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_93,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_93,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_94,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_94,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_95,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_95,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_96,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_96,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_97,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_97,True,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_98,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_98,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_99,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_99,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_100,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_100,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_101,d_nikke_rapunzel_05,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_101,False,,1,idle,10,10,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_102,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_102,False,,1,delight,10,100,2.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_103,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_103,True,,1,delight,100,100,1.0,,,,,,,,anis,15,idle,neon,17,delight
d_nikke_rapunzel_05_104,d_nikke_rapunzel_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapunzel_05_104,True,,1,delight,15,15,1.0,,,,,,,,,15,idle,,17,delight
d_nikke_rapunzel_05_105,d_nikke_rapunzel_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rapunzel_05_105,True,,1,delight,15,16,1.0,,,,,,rapunzel,,,15,idle,,17,delight
d_nikke_rapunzel_05_106,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_106,False,,,,16,1,1.0,,,,,,,,,15,idle,,17,delight
d_nikke_rapunzel_05_107,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_107,False,,,,1,100,2.0,,,,,,,,,15,idle,,17,idle
d_nikke_rapunzel_05_108,d_nikke_rapunzel_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_05_108,False,,,,black,black,1.0,,,,,,,,,15,idle,,17,idle
