id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_sora_03_36,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_36,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_37,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_37,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_38,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_38,True,,100,10,1.0,,,,,1,idle
d_nikke_sora_03_39,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_39,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_40,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_40,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_41,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_41,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_42,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_42,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_43,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_43,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_44,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_44,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_45,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_45,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_46,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_46,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_47,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_47,False,,10,100,1.0,,,,,1,idle
d_nikke_sora_03_48,d_nikke_sora_03,Choice,sora,,Locale_NikkeEpisode:d_nikke_sora_03_48,False,,100,100,1.0,,,d_nikke_sora_03_50,,1,idle
d_nikke_sora_03_49,d_nikke_sora_03,Choice,sora,,Locale_NikkeEpisode:d_nikke_sora_03_49,False,,100,100,1.0,,,d_nikke_sora_03_63,,1,idle
d_nikke_sora_03_50,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_50,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_51,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_51,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_52,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_52,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_53,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_53,False,,100,10,0.5,,,,,1,idle
d_nikke_sora_03_54,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_54,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_55,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_55,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_56,d_nikke_sora_03,Narration,sora,,Locale_NikkeEpisode:d_nikke_sora_03_56,False,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_57,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_57,True,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_58,d_nikke_sora_03,Narration,sora,,Locale_NikkeEpisode:d_nikke_sora_03_58,False,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_59,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_59,True,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_60,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_60,True,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_61,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_61,True,,10,10,1.0,,,,,1,shy
d_nikke_sora_03_62,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_62,False,,10,10,1.0,,,d_nikke_sora_03_66,,1,shy
d_nikke_sora_03_63,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_63,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_64,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_64,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_65,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_65,True,,100,10,1.0,,,d_nikke_sora_03_66,,1,idle
d_nikke_sora_03_66,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_66,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_67,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_67,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_68,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_68,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_69,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_69,True,,10,10,1.0,none,,,,1,idle
d_nikke_sora_03_70,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_70,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_71,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_71,True,,10,10,1.0,,,,,1,shy
