id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,fade,jump_target,play_sound
d_nikke_mary_02_11,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_11,True,,S_100,S_100,1.0,,pepper,pepper,,1,shy,Grey,,,,
d_nikke_mary_02_12,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_12,True,,S_100,S_100,1.0,,pepper,pepper,,1,shy,Grey,,,,
d_nikke_mary_02_13,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_13,True,,S_100,S_10,0.5,,pepper,pepper,,1,angry,Grey,,,,
d_nikke_mary_02_14,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_14,,,S_10,S_10,1.0,,pepper,,,1,angry,Grey,,,,
d_nikke_mary_02_15,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_15,True,,S_10,S_10,1.0,none,pepper,pepper,,1,good,Grey,,,,
d_nikke_mary_02_16,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_16,True,Corridor,black,black,1.0,,pepper,pepper,,1,good,,pepper,,,
d_nikke_mary_02_17,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_17,True,,1,S_10,1.0,bgm_story_whosdumber,mary,mary,mary,1,worry,,,,,
d_nikke_mary_02_18,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_18,False,,S_10,S_10,1.0,,mary,,,1,worry,,,,,
d_nikke_mary_02_19,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_19,True,,S_10,S_10,1.0,,mary,mary,,1,void,,,,,
d_nikke_mary_02_20,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_20,True,,S_10,S_10,1.0,,mary,mary,,1,void,,,,,
d_nikke_mary_02_21,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_21,,,S_10,S_10,1.0,,mary,,,1,void,,,,,
d_nikke_mary_02_22,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_22,,,S_10,S_10,1.0,,mary,,,1,void,,,,,
d_nikke_mary_02_23,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_23,True,,S_10,S_100,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_24,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_24,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_25,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_25,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_26,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_26,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_27,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_27,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_28,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_28,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_29,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_29,,Hospital,16,1,2.0,none,mary,,,1,idle,,mary,black,,
d_nikke_mary_02_30,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_30,True,,1,1,1.0,,mary,mary,mary,1,idle,,,,,
d_nikke_mary_02_31,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_31,,,1,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_32,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_32,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_33,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_33,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_34,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_34,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_35,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_35,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_36,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_36,False,,S_10,S_100,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_37,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_37,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_38,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_38,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_39,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_39,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_40,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_40,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_41,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_41,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_42,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_42,True,,S_100,S_10,2.0,bgm_story_languor,mary,mary,,1,idle,,,,,
d_nikke_mary_02_43,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_43,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_44,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_44,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_45,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_45,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_46,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_46,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_47,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_47,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_48,d_nikke_mary_02,Choice,Locale_NikkeEpisode:d_nikke_mary_02_48,,,S_10,S_10,1.0,,mary,,,1,idle,,,,d_nikke_mary_02_50,
d_nikke_mary_02_49,d_nikke_mary_02,Choice,Locale_NikkeEpisode:d_nikke_mary_02_49,,,S_10,S_10,1.0,,mary,,,1,idle,,,,d_nikke_mary_02_56,
d_nikke_mary_02_50,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_50,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_51,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_51,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_52,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_52,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_53,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_53,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_54,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_54,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_55,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_55,,,S_10,S_10,1.0,,mary,,,1,idle,,,,d_nikke_mary_02_62,
d_nikke_mary_02_56,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_56,False,,S_10,S_100,0.5,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_57,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_57,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_58,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_58,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_59,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_59,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_60,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_60,True,,S_100,S_10,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_61,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_61,,,S_10,S_10,1.0,,mary,,,1,idle,,,,d_nikke_mary_02_62,
d_nikke_mary_02_62,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_62,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_63,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_63,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_64,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_64,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_65,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_65,,,S_10,S_100,2.0,,mary,,,1,idle,,mary,,,
d_nikke_mary_02_66,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_66,True,,S_100,S_100,1.0,,mary,mary,mary,1,idle,,,,,
d_nikke_mary_02_67,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_67,False,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_68,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_68,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_69,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_69,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_70,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_70,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_71,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_71,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_72,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_72,,,S_100,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_73,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_73,False,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_74,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_74,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_75,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_75,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_76,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_76,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_77,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_77,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_78,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_78,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_79,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_79,False,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_80,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_80,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_81,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_81,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_82,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_82,True,,S_10,S_100,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_83,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_83,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_84,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_84,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_85,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_85,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_86,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_86,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_87,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_87,True,,S_100,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_88,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_88,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_89,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_89,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_90,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_90,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_91,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_91,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_92,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_92,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_93,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_93,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_94,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_94,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_95,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_95,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_96,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_96,,,S_10,S_10,1.0,none,mary,,,1,idle,,,,,
d_nikke_mary_02_97,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_97,False,,S_10,S_10,0.5,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_98,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_98,True,,S_10,S_10,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_99,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_99,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,sfx_scn_phonevibration
d_nikke_mary_02_100,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_100,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_101,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_101,,,S_10,S_100,2.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_102,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_102,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_103,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_103,,,S_100,1,1.0,,,,,1,idle,,mary,,,
d_nikke_mary_02_104,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_104,False,,1,1,1.0,,,,,1,idle,,,,,
d_nikke_mary_02_105,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_105,,,1,1,1.0,,,,,1,idle,,,,,
d_nikke_mary_02_106,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_106,,Corridor,17,1,2.0,,,,,1,idle,,,black_without_dialogue,,
d_nikke_mary_02_107,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_107,True,,1,1,2.0,bgm_risk,mary,mary,mary,1,idle,,,,,
d_nikke_mary_02_108,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_108,True,,1,1,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_109,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_109,True,,1,1,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_110,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_110,True,,1,1,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_111,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_111,True,,1,1,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_112,d_nikke_mary_02,Narration,Locale_NikkeEpisode:d_nikke_mary_02_112,,,1,1,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_113,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_113,False,,1,S_10,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_114,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_114,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_115,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_115,False,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_116,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_116,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_117,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_117,False,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_118,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_118,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_119,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_119,False,,S_10,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_120,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_120,True,,S_100,S_100,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_121,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_121,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_122,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_122,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_123,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_123,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_124,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_124,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_125,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_125,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_126,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_126,False,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_127,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_127,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_128,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_128,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_129,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_129,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_130,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_130,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_131,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_131,,,S_100,S_100,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_132,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_132,True,,S_100,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_133,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_133,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_134,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_134,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_135,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_135,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_136,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_136,False,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_137,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_137,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_138,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_138,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_139,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_139,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_140,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_140,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_141,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_141,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_142,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_142,False,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_143,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_143,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_144,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_144,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_145,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_145,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_146,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_146,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_147,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_147,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_148,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_148,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_149,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_149,True,,S_10,S_10,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_150,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_150,,,S_10,S_10,1.0,,mary,,,1,idle,,,,,
d_nikke_mary_02_151,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_151,False,,S_10,S_100,2.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_152,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_152,True,,S_100,S_100,1.0,,mary,mary,,1,idle,,,,,
d_nikke_mary_02_153,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_153,True,,black,black,1.0,,mary,mary,,1,idle,,,,,
