id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade
d_nikke_mast_02_29,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_29,False,,1,1,1.0,,,,,1,idle,
d_nikke_mast_02_30,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_30,False,,1,1,1.0,,,,,1,idle,
d_nikke_mast_02_31,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_31,False,,1,1,1.0,,,,,1,idle,
d_nikke_mast_02_32,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_32,False,,1,1,1.0,,,,,1,idle,
d_nikke_mast_02_33,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_33,True,,1,10,1.3,,mast,mast,,1,delight,
d_nikke_mast_02_34,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_34,True,,10,10,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_35,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_35,True,,10,100,1.3,,mast,mast,,1,delight,
d_nikke_mast_02_36,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_36,True,,100,100,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_37,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_37,False,,100,100,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_38,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_38,False,,100,100,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_39,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_39,False,,100,1,0.8,,mast,mast,,1,surprise,
d_nikke_mast_02_40,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_40,False,,1,1,1.0,,mast,interviewer,,1,surprise,
d_nikke_mast_02_41,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_41,True,,1,1,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_42,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_42,False,,1,1,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_43,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_43,True,,1,10,1.6,,mast,mast,,1,delight,
d_nikke_mast_02_44,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_44,True,,10,10,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_45,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_45,True,,10,100,1.6,,mast,mast,,1,delight,
d_nikke_mast_02_46,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_46,True,,100,100,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_47,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_47,False,,100,100,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_48,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_48,False,,100,100,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_49,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_49,True,,100,10,1.0,,mast,mast,,1,surprise,
d_nikke_mast_02_50,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_50,True,,10,10,1.0,,mast,mast,,1,surprise,
d_nikke_mast_02_51,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_51,False,,10,10,1.0,,mast,interviewer,,1,surprise,
d_nikke_mast_02_52,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_52,True,,10,10,1.0,,mast,mast,,1,surprise,
d_nikke_mast_02_53,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_53,True,CommanderRoom,10,10,1.0,,mast,mast,,1,sad,black
d_nikke_mast_02_54,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_54,True,,10,10,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_55,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_55,True,,10,1,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_56,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_56,False,,1,1,1.0,,mast,,,1,sad,
d_nikke_mast_02_57,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_57,True,,1,1,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_58,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_58,True,,1,1,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_59,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_59,True,,1,1,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_60,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_60,False,,1,1,1.0,,mast,,,1,sad,
d_nikke_mast_02_61,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_61,True,,1,1,1.0,,mast,mast,,1,sad,
d_nikke_mast_02_62,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_62,False,,1,1,1.0,,mast,,,1,sad,
d_nikke_mast_02_63,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_63,False,,1,1,1.0,,mast,mast,,1,angry,
d_nikke_mast_02_64,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_64,True,,1,1,1.0,,mast,mast,,1,angry,
d_nikke_mast_02_65,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_65,True,,1,1,1.0,,mast,mast,,1,angry,
d_nikke_mast_02_66,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_66,True,,1,1,1.0,,mast,mast,,1,angry,
d_nikke_mast_02_67,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_67,True,,1,1,1.0,,mast,mast,,1,angry,
d_nikke_mast_02_68,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_68,False,,1,1,1.0,,mast,,,1,angry,
d_nikke_mast_02_69,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_69,False,,1,10,0.6,none,mast,mast,,1,shy,
d_nikke_mast_02_70,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_70,True,,10,10,1.0,,mast,mast,,1,shy,
d_nikke_mast_02_71,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_71,True,,10,10,1.0,,mast,mast,,1,shy,
d_nikke_mast_02_72,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_72,True,,10,10,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_73,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_73,True,,10,10,1.0,event_bgm_goldenship,mast,mast,,1,idle,
d_nikke_mast_02_74,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_74,True,,10,10,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_75,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_75,True,,10,10,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_76,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_76,False,,10,10,1.0,,mast,,,1,idle,
d_nikke_mast_02_77,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_77,True,,10,100,0.6,,mast,mast,,1,idle,
d_nikke_mast_02_78,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_78,True,,100,100,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_79,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_79,False,,100,100,1.0,,mast,,,1,idle,
d_nikke_mast_02_80,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_80,True,,100,100,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_81,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_81,True,,100,100,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_82,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_82,True,,100,100,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_83,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_83,False,,100,100,1.0,,mast,,,1,idle,
d_nikke_mast_02_84,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_84,True,,100,10,1.0,,mast,mast,,1,delight2,
d_nikke_mast_02_85,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_85,True,,10,10,1.0,,mast,mast,,1,delight2,
d_nikke_mast_02_86,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_86,True,,10,10,1.0,,mast,mast,,1,delight2,
d_nikke_mast_02_87,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_87,False,,10,10,1.0,,mast,,,1,delight2,
d_nikke_mast_02_88,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_88,False,,10,10,1.0,,mast,,,1,delight2,
d_nikke_mast_02_89,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_89,False,,10,100,1.3,,mast,,,1,delight2,
d_nikke_mast_02_90,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_90,False,,100,100,1.0,,mast,,,1,delight2,
