id,group_id,speech_window,scenario_localkey,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_background,conversation_id,play_sound,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,jump_target,set_filter_02,set_camera_shake
d_nikke_mary_05_38,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_38,S_10,S_30,2.0,,pepper,pepper,,,,True,,1,idle,,,3,shy,,,,,
d_nikke_mary_05_39,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_39,S_10,S_100,0.5,,pepper,,,,,,,1,idle,,,3,shy,,pepper,,,
d_nikke_mary_05_40,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_40,S_100,S_100,1.0,,pepper,pepper,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_41,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_41,S_100,S_100,1.0,,pepper,pepper,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_42,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_42,S_100,S_100,1.0,,mary,mary,,,,True,,1,shy,,,,,,,,,
d_nikke_mary_05_43,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_43,S_100,S_100,1.0,,mary,mary,,,,True,,1,shy,,,,,,,,,
d_nikke_mary_05_44,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_44,S_100,S_100,1.0,,mary,mary,,,,True,,1,shy,,,,,,,,,
d_nikke_mary_05_45,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_45,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_46,d_nikke_mary_05,Choice,Locale_NikkeEpisode:d_nikke_mary_05_46,S_100,S_100,1.0,,mary,,,,,,,1,idle,,,,,,,d_nikke_mary_05_48,,
d_nikke_mary_05_47,d_nikke_mary_05,Choice,Locale_NikkeEpisode:d_nikke_mary_05_47,S_100,S_100,1.0,,mary,,,,,,,1,idle,,,,,,,d_nikke_mary_05_55,,
d_nikke_mary_05_48,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_48,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_49,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_49,S_100,S_100,1.0,,pepper,pepper,,,,False,,1,idle,,pepper,3,surprise,,,,,
d_nikke_mary_05_50,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_50,S_100,2,0.5,,pepper,,,,,,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_51,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_51,2,2,1.0,,pepper,pepper,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_52,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_52,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_53,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_53,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_54,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_54,2,S_30,0.5,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,d_nikke_mary_05_62,,
d_nikke_mary_05_55,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_55,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_56,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_56,S_100,S_100,1.0,,pepper,pepper,,,,False,,1,idle,,pepper,3,surprise,,,,,
d_nikke_mary_05_57,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_57,S_100,2,0.5,,pepper,,,,,,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_58,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_58,2,2,1.0,,pepper,pepper,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_59,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_59,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_60,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_60,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_61,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_61,2,S_30,0.5,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,d_nikke_mary_05_62,,
d_nikke_mary_05_62,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_62,S_30,S_30,1.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_63,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_63,S_30,S_30,1.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_64,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_64,S_30,S_300,0.5,,pepper,pepper,,,,True,,1,idle,,,3,idle,,,,,
d_nikke_mary_05_65,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_65,S_300,2,2.0,,pepper,,,,,,,1,idle,,,6,idle,,pepper,,,
d_nikke_mary_05_66,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_66,2,S_10,2.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_67,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_67,S_10,S_10,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_68,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_68,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_69,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_69,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_70,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_70,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_71,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_71,S_10,S_10,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_72,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_72,S_10,S_100,2.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_73,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_73,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_74,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_74,S_100,S_100,1.0,,mary,,,,,False,,1,idle,,,,,,,,,
d_nikke_mary_05_75,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_75,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_76,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_76,S_100,S_10,2.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_77,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_77,S_10,S_10,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_78,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_78,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_79,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_79,S_10,S_10,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_80,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_80,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_81,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_81,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_82,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_82,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_83,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_83,S_10,S_10,1.0,none,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_84,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_84,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_85,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_85,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_86,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_86,black,black,1.0,bgm_story_crawlinganxiety,pepper,pepper,none,,,True,pepper,1,shy,mary,,,,,,,Grey,
d_nikke_mary_05_87,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_87,S_10,S_10,1.0,,pepper,pepper,Corridor,,,True,,1,shy,,,,,,,,Grey,
d_nikke_mary_05_88,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_88,S_10,S_10,1.0,,pepper,pepper,,,,True,,1,shy,,,,,,,,Grey,
d_nikke_mary_05_89,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_89,S_10,S_10,1.0,,pepper,pepper,,,,True,,1,shy,,,,,,,,Grey,
d_nikke_mary_05_90,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_90,S_10,S_100,2.0,,pepper,pepper,,,,True,,1,shy,,,,,,,,Grey,
d_nikke_mary_05_91,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_91,black,black,1.0,,pepper,pepper,,,,True,,1,shy,,,,,,,,Grey,
d_nikke_mary_05_92,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_92,black,black,1.0,,pepper,pepper,none,,,True,,1,shy,pepper,,,,,,,Grey,Low_2
d_nikke_mary_05_93,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_93,S_10,S_10,1.0,,mary,,Hospital,,,,mary,1,idle,,,,,,,,,
d_nikke_mary_05_94,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_94,S_10,S_10,1.0,none,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_95,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_95,S_10,S_100,1.0,bgm_story_leisuretime,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_96,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_96,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_97,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_97,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_98,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_98,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_99,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_99,S_100,S_100,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_100,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_100,S_100,S_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_101,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_101,S_100,XS_100,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_102,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_102,XS_100,XS_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_103,d_nikke_mary_05,Self,Locale_NikkeEpisode:d_nikke_mary_05_103,XS_100,XS_100,1.0,,mary,,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_104,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_104,XS_100,XS_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_105,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_105,XS_100,XS_100,1.0,,mary,mary,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_106,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_106,XS_100,XS_100,1.0,,mary,,none,,,,,1,idle,mary,,,,,,,,
d_nikke_mary_05_107,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_107,black,black,1.0,,mary,mary,,,,True,,,,,,,,,,,,
