id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_tove_01_33,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_33,True,,S_10,S_10,1.0,,,tove,,,1,think
treasurestory_tove_01_34,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_34,False,,S_10,S_10,1.3,sfx_scn_keys,,,,,1,think
treasurestory_tove_01_35,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_35,False,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_36,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_36,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_37,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_37,True,,S_10,S_100,1.3,,,tove,,,1,idle
treasurestory_tove_01_38,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_38,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_39,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_39,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_40,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_40,False,,black,black,1.0,,none,,,,1,idle
treasurestory_tove_01_41,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_41,True,,S_100,S_100,1.0,,,tove,,,1,special
treasurestory_tove_01_42,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_42,False,,black,black,1.0,,,,,,1,special
treasurestory_tove_01_43,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_43,True,,S_100,S_10,1.0,,,tove,,,1,no
treasurestory_tove_01_44,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_44,False,,S_10,S_10,1.0,sfx_scn_firestarter,,,,,1,no
treasurestory_tove_01_45,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_45,True,,S_10,S_10,1.0,,,tove,,,1,no
treasurestory_tove_01_46,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_46,True,,S_10,S_10,1.0,,,tove,,,1,no
treasurestory_tove_01_47,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_47,True,,S_10,S_10,1.0,,,tove,,,1,no
