id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/1/hide_char_id,play_sound
d_nikke_k_03_36,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_36,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_37,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_37,True,,1,idle,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_38,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_38,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_39,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_39,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_40,d_nikke_k_03,Monologue,d_w,Locale_NikkeEpisode:d_nikke_k_03_40,False,,1,idle,,13,special,,12,12,1.0,,,,,
d_nikke_k_03_41,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_41,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_42,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_42,True,,1,idle,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_43,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_43,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_44,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_44,False,,1,idle,,13,special,,12,130,1.3,,d_w,,,
d_nikke_k_03_45,d_nikke_k_03,Monologue,d_w,Locale_NikkeEpisode:d_nikke_k_03_45,False,,1,idle,,13,special,,black,black,1.0,,,,d_w,
d_nikke_k_03_46,d_nikke_k_03,Narration,k,Locale_NikkeEpisode:d_nikke_k_03_46,False,,1,idle,,,,,black,black,1.0,none,,,,sfx_scn_dooropen
d_nikke_k_03_47,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_47,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_48,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_48,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_49,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_49,False,,1,idle,,,,,S_10,S_10,1.0,,,d_nikke_k_03_51,,
d_nikke_k_03_50,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_50,False,,1,idle,,,,,S_10,S_10,1.0,,,d_nikke_k_03_51,,
d_nikke_k_03_51,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_51,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_52,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_52,True,,1,idle,,,,,S_10,S_10,1.0,bgm_story_orangepop,k,,,
d_nikke_k_03_53,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_53,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_54,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_54,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_55,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_55,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_56,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_56,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_57,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_57,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_58,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_58,True,,1,think,,,,,S_10,S_100,1.3,,k,,,
d_nikke_k_03_59,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_59,False,,1,think,,,,,S_100,S_100,1.0,,,,,
d_nikke_k_03_60,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_60,False,,1,think,,,,,S_100,S_100,1.0,,,,,
d_nikke_k_03_61,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_61,True,,1,think,,,,,S_100,S_100,1.0,,k,,,
d_nikke_k_03_62,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_62,False,,1,think,,,,,S_100,S_100,1.0,,,,,
d_nikke_k_03_63,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_63,False,,1,think,,,,,S_100,S_100,1.0,,,,,
d_nikke_k_03_64,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_64,False,,1,think,,,,,S_100,S_100,1.0,,,d_nikke_k_03_66,,
d_nikke_k_03_65,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_65,False,,1,think,,,,,S_100,S_100,1.0,,,d_nikke_k_03_67,,
d_nikke_k_03_66,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_66,True,,1,idle,,,,,S_100,S_10,1.0,,k,d_nikke_k_03_70,,
d_nikke_k_03_67,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_67,True,,1,idle,,,,,S_100,S_10,1.0,,k,,,
d_nikke_k_03_68,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_68,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_69,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_69,False,,1,idle,,,,,S_10,S_10,1.0,,,d_nikke_k_03_70,,
d_nikke_k_03_70,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_70,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_71,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_71,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_72,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_72,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_73,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_73,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_74,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_74,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_75,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_75,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_76,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_76,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_77,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_77,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_78,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_78,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_79,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_79,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_80,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_80,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_81,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_81,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_82,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_82,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_83,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_83,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_84,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_84,True,,1,idle,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_85,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_85,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_86,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_86,False,,1,idle,,,,,S_10,S_10,1.0,,,,,
d_nikke_k_03_87,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_87,True,,1,surprise,,,,,S_10,S_10,1.0,,k,,,
d_nikke_k_03_88,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_88,False,,1,surprise,,,,,S_10,S_100,1.3,,,,,
d_nikke_k_03_89,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_89,False,,1,surprise,,,,,black,black,1.0,,,,,
