id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,conversation_id,play_sound,highlight,speaker,characters/0/hide_char_id,fade,jump_target
d_nikke_d_01_61,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_61,True,,1,idle,,100,10,1.0,,,,,,d,d,,,
d_nikke_d_01_62,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_62,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_63,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_63,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_64,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_64,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_65,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_65,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_66,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_66,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_67,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_67,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_68,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_68,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_69,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_69,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_70,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_70,True,,1,idle,,10,100,1.0,,,,,,d,d,,,
d_nikke_d_01_71,d_nikke_d_01,Choice,Locale_NikkeEpisode:d_nikke_d_01_71,False,,1,idle,,100,100,1.0,,,,,,d,,,,d_nikke_d_01_73
d_nikke_d_01_72,d_nikke_d_01,Choice,Locale_NikkeEpisode:d_nikke_d_01_72,False,,1,idle,,100,100,1.0,,,,,,d,,,,d_nikke_d_01_76
d_nikke_d_01_73,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_73,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_74,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_74,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_75,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_75,True,,1,idle,,100,100,1.0,,,,,,d,d,,,d_nikke_d_01_78
d_nikke_d_01_76,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_76,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_77,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_77,False,,1,idle,,100,100,1.0,,,,,,d,,,,d_nikke_d_01_78
d_nikke_d_01_78,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_78,True,,1,idle,,100,1,2.0,,,,,,d,d,,,
d_nikke_d_01_79,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_79,True,,1,idle,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_80,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_80,True,,1,idle,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_81,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_81,True,,1,idle,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_82,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_82,True,,1,idle,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_83,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_83,True,,1,idle,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_84,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_84,False,,1,idle,,1,1,1.0,,,,,sfx_scn_autodooropen,d,,,,
d_nikke_d_01_85,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_85,False,,1,idle,,1,1,1.0,,,,,,,,,,
d_nikke_d_01_86,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_86,False,,1,idle,,1,1,1.0,,,,,,,,d,,
d_nikke_d_01_87,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_87,False,,,,,black,black,1.0,,,,,,,,,,
