id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_nikke_RedHood_03_26,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_26,True,,70,70,1.0,,,,,,5,idle,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_27,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_27,True,,70,70,1.0,,,,,,5,idle,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_28,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_28,True,,70,50,1.0,,,,,,5,go,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_29,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_29,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_30,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_30,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_31,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_31,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_32,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_32,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_33,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_33,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_34,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_34,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_35,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_35,True,,50,50,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_36,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_36,True,,50,50,1.0,,,,,,5,think,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_37,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_37,True,,50,50,1.0,,,,,,5,idle,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_38,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_38,True,,50,50,1.0,,,,,,5,idle,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_39,d_nikke_RedHood_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_RedHood_03_39,True,,S_90,S_90,1.0,,,,,,5,idle,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_40,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_40,True,,50,50,1.0,,,,,,5,smile,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_41,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_41,True,,70,70,1.0,,,,,,5,smile,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_42,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_42,False,,70,50,1.0,,,,,,5,smile_02,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_43,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_43,True,,50,50,1.0,,,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_44,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_44,True,,50,500,1.0,,,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_45,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_45,True,,500,500,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_46,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_46,True,,500,500,1.0,,,,,,5,go,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_47,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_47,True,,500,500,1.0,,,,,,5,think,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_48,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_48,True,,500,500,1.0,,,,,,5,think,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_49,d_nikke_RedHood_03,Self,,Self,Locale_NikkeEpisode:d_nikke_RedHood_03_49,False,,500,500,1.0,,,,,,5,think,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_50,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_50,True,,500,500,1.0,,,,,,5,think,,7,idle,,9,idle,rapunzel_o,1,angry,,dorothy,13,surprise,,hongryeon_o,15,angry,,liliweiss,19,angry,,snowwhite_o,17,angry,
d_nikke_RedHood_03_51,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_51,True,WasteLand_01,500,L_10,1.0,,Grey,Vignetting,,,5,go,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_52,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_52,True,,L_10,130,1.0,,Grey,Vignetting,,,5,go,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_53,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_53,True,,130,150,1.0,,Grey,Vignetting,,,5,think,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_54,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_54,True,,150,S_170,1.0,,Grey,Vignetting,,,5,think,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_55,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_55,True,,S_170,190,1.0,,Grey,Vignetting,,,5,go,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_56,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_56,True,,190,190,1.0,,Grey,Vignetting,,,5,go,,7,idle,,9,idle,,1,angry,,,13,surprise,,,15,angry,,,19,angry,,,17,angry,
d_nikke_RedHood_03_57,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_57,True,,190,S_170,1.0,,Grey,Vignetting,,,5,go,,7,idle,,9,idle,,1,smile,,,13,idle,,,15,delight,,,19,idle,,,17,idle,
d_nikke_RedHood_03_58,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_58,True,,S_170,150,1.0,,Grey,Vignetting,,,5,idle,,7,idle,,9,idle,,1,smile,,,13,idle,,,15,delight,,,19,idle,,,17,idle,
d_nikke_RedHood_03_59,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_59,True,,150,130,1.0,,Grey,Vignetting,,,5,smile,,7,idle,,9,idle,,1,smile,,,13,idle,,,15,delight,,,19,idle,,,17,idle,
d_nikke_RedHood_03_60,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_60,True,,130,L_10,1.0,,Grey,Vignetting,,,5,idle,,7,idle,,9,idle,,1,smile,,,13,idle,,,15,delight,,,19,idle,,,17,idle,
d_nikke_RedHood_03_61,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_61,True,,black,black,1.0,,Grey,Vignetting,,,5,idle,,7,idle,,9,idle,,1,smile,,,13,idle,,,15,delight,,,19,idle,,,17,idle,
d_nikke_RedHood_03_62,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_62,True,Desert_02_n,50,50,1.0,,,,black,,5,idle,,7,idle,,9,idle,,1,smile,rapunzel_o,,13,idle,dorothy,,15,delight,hongryeon_o,,19,idle,liliweiss,,17,idle,snowwhite_o
d_nikke_RedHood_03_63,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_63,True,,50,50,1.0,,,,,,5,smile,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_64,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_64,False,,8,8,1.0,,,,,,5,smile,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_65,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_65,True,,8,8,1.0,,,,,,5,smile,,7,worry,,9,idle,,,,,,,,,,,,,,,,,,,,
