id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
treasurestory_milk_01_11,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_11,True,,130,1300,1.0,,frima,frima,,,13,delight,,1,idle,,3,no
treasurestory_milk_01_12,treasurestory_milk_01,Choice,Locale_NikkeEpisode:treasurestory_milk_01_12,False,,1300,1300,1.0,,frima,,treasurestory_milk_01_14,,13,delight,,1,idle,,3,no
treasurestory_milk_01_13,treasurestory_milk_01,Choice,Locale_NikkeEpisode:treasurestory_milk_01_13,False,,1300,1300,1.0,,frima,,treasurestory_milk_01_15,,13,delight,,1,idle,,3,no
treasurestory_milk_01_14,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_14,True,,S_30,S_30,1.0,,milk,milk,treasurestory_milk_01_16,,13,delight,,1,idle,,3,no
treasurestory_milk_01_15,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_15,True,,S_30,S_30,1.0,,milk,milk,treasurestory_milk_01_16,,13,delight,,1,idle,,3,no
treasurestory_milk_01_16,treasurestory_milk_01,Monologue,Locale_NikkeEpisode:treasurestory_milk_01_16,False,,black,black,1.0,,milk,,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_17,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_17,False,,S_50,S_50,1.0,,milk,,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_18,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_18,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_19,treasurestory_milk_01,Choice,Locale_NikkeEpisode:treasurestory_milk_01_19,False,,S_50,S_50,1.0,,milk,,treasurestory_milk_01_21,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_20,treasurestory_milk_01,Choice,Locale_NikkeEpisode:treasurestory_milk_01_20,False,,S_50,S_50,1.0,,milk,,treasurestory_milk_01_21,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_21,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_21,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_22,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_22,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_23,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_23,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_24,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_24,False,,S_50,S_50,1.0,,milk,,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_25,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_25,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_26,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_26,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_27,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_27,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_28,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_28,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_29,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_29,False,,S_50,S_50,1.0,,milk,,,,13,idle,,1,idle,,5,good
treasurestory_milk_01_30,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_30,True,,S_50,S_500,1.0,,milk,milk,,,13,idle,,1,idle,,5,delight
treasurestory_milk_01_31,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_31,True,,S_500,S_50,1.5,,milk,milk,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_32,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_32,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_33,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_33,False,,S_50,S_50,1.0,,milk,,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_34,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_34,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,idle,,5,angry
treasurestory_milk_01_35,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_35,False,,S_50,12,2.0,,sugar,sugar,,,13,idle,,1,idle,,5,angry
treasurestory_milk_01_36,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_36,True,,12,12,1.0,,sugar,sugar,,,13,idle,,1,idle,,5,angry
treasurestory_milk_01_37,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_37,False,,12,12,1.0,,frima,frima,,,13,think,,1,idle,,5,idle
treasurestory_milk_01_38,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_38,True,,12,XS_10,1.0,,sugar,sugar,,,13,think,,1,idle,,5,delight
treasurestory_milk_01_39,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_39,True,,S_50,S_50,1.0,,milk,milk,,,13,think,,1,idle,,5,delight
treasurestory_milk_01_40,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_40,True,,S_50,S_50,1.0,,milk,milk,,,13,think,,1,idle,,5,delight
treasurestory_milk_01_41,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_41,True,,S_50,S_50,1.0,,milk,milk,,,13,think,,1,idle,,5,delight
treasurestory_milk_01_42,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_42,True,,S_50,S_50,1.0,,milk,milk,,,13,think,,1,idle,,5,delight
treasurestory_milk_01_43,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_43,False,,12,12,1.0,,frima,frima,,,13,think,,1,idle,,5,idle
treasurestory_milk_01_44,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_44,True,,12,12,1.0,,sugar,sugar,,,13,think,,1,idle,,5,idle
treasurestory_milk_01_45,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_45,True,,12,12,1.0,,frima,frima,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_46,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_46,True,,12,12,1.0,,sugar,sugar,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_47,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_47,True,,12,12,1.0,,sugar,sugar,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_48,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_48,True,,12,130,1.0,,frima,frima,,,13,idle,,1,idle,,5,idle
treasurestory_milk_01_49,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_49,True,,130,XS_10,1.0,,sugar,sugar,,,13,idle,,1,angry,,5,idle
treasurestory_milk_01_50,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_50,True,,S_50,S_50,1.0,,milk,milk,,,13,idle,,1,angry,,5,good
treasurestory_milk_01_51,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_51,True,,S_50,5,1.0,,milk,milk,,,13,idle,,1,angry,,5,delight
treasurestory_milk_01_52,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_52,False,,5,5,1.0,,milk,,,,13,idle,,1,angry,,5,delight
treasurestory_milk_01_53,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_53,False,,5,12,1.3,,milk,,,,13,idle,,1,angry,,5,delight
treasurestory_milk_01_54,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_54,True,,12,12,1.0,,sugar,sugar,,,13,idle,,1,angry,,5,idle
treasurestory_milk_01_55,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_55,True,,12,12,1.0,,frima,frima,,,13,angry,,1,angry,,5,idle
treasurestory_milk_01_56,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_56,False,,12,12,1.0,,frima,,,,13,angry,,1,angry,,5,idle
treasurestory_milk_01_57,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_57,True,,12,2,1.3,,milk,milk,,,13,angry,,1,angry,,3,angry
treasurestory_milk_01_58,treasurestory_milk_01,Monologue,Locale_NikkeEpisode:treasurestory_milk_01_58,False,,2,2,1.0,,milk,,,,13,angry,,1,angry,,3,angry
