id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_k_04_49,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_49,False,,S_100,S_100,1.0,,,,,1,surprise
d_nikke_k_04_50,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_50,False,,S_100,S_10,1.0,,k,,,1,shy
d_nikke_k_04_51,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_51,False,,S_10,S_10,1.0,,,,,1,shy
d_nikke_k_04_52,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_52,False,,S_10,S_10,1.0,,,,,1,shy
d_nikke_k_04_53,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_53,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_54,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_54,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_55,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_55,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_56,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_56,True,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_57,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_57,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_58,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_58,True,,S_10,S_100,1.3,,k,,,1,surprise
d_nikke_k_04_59,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_59,False,,black,black,1.0,,,,,1,surprise
d_nikke_k_04_60,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_60,False,,black,black,1.0,,,,,1,surprise
d_nikke_k_04_61,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_61,False,,black,black,1.0,,,,,1,think
d_nikke_k_04_62,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_62,True,,S_100,S_10,1.3,,k,,,1,think
d_nikke_k_04_63,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_63,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_64,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_64,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_65,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_65,True,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_66,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_66,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_67,d_nikke_k_04,Narration,k,Locale_NikkeEpisode:d_nikke_k_04_67,False,,black,black,1.0,,,sfx_scn_bodyfallblanket,,1,surprise
d_nikke_k_04_68,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_68,False,,black,black,1.0,,,,,1,surprise
d_nikke_k_04_69,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_69,False,,black,black,1.0,,,,,1,surprise
d_nikke_k_04_70,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_70,False,,S_10,S_100,1.3,,k,,,1,surprise
d_nikke_k_04_71,d_nikke_k_04,Narration,k,Locale_NikkeEpisode:d_nikke_k_04_71,False,,S_100,S_100,1.0,,,sfx_scn_snackbite,,1,surprise
d_nikke_k_04_72,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_72,False,,S_100,S_100,1.0,,,,,1,surprise
d_nikke_k_04_73,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_73,False,,S_100,S_100,1.0,,,,,1,surprise
d_nikke_k_04_74,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_74,True,,S_100,S_100,1.0,,k,,,1,think
d_nikke_k_04_75,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_75,False,,S_100,S_100,1.0,,,,,1,think
d_nikke_k_04_76,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_76,True,,S_100,S_10,0.7,none,k,,,1,angry
d_nikke_k_04_77,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_77,False,,S_10,S_10,1.0,,,,,1,angry
d_nikke_k_04_78,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_78,False,,S_10,S_10,1.0,,,,,1,angry
d_nikke_k_04_79,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_79,False,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_80,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_80,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_81,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_81,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_82,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_82,True,,S_10,S_10,1.0,bgm_story_monochrome,k,,,1,think
d_nikke_k_04_83,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_83,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_84,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_84,False,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_85,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_85,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_86,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_86,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_87,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_87,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_88,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_88,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_89,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_89,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_90,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_90,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_91,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_91,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_92,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_92,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_93,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_93,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_94,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_94,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_95,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_95,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_96,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_96,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_97,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_97,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_98,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_98,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_99,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_99,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_100,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_100,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_101,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_101,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_102,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_102,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_103,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_103,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_104,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_104,False,,S_10,S_10,1.0,,,,,1,think
