id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_filter_01,set_filter_02,fade,characters/0/hide_char_id,play_sound,jump_target
d_nikke_noir_05_52,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_52,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_53,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_53,True,,1,idle,,L_10,L_100,0.6,,noir,,,,,,,,,,
d_nikke_noir_05_54,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_54,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,
d_nikke_noir_05_55,d_nikke_noir_05,Choice,noir,Locale_NikkeEpisode:d_nikke_noir_05_55,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,d_nikke_noir_05_57
d_nikke_noir_05_56,d_nikke_noir_05,Choice,noir,Locale_NikkeEpisode:d_nikke_noir_05_56,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,d_nikke_noir_05_60
d_nikke_noir_05_57,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_57,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_58,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_58,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_59,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_59,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,d_nikke_noir_05_63
d_nikke_noir_05_60,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_60,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_61,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_61,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_62,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_62,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,d_nikke_noir_05_63
d_nikke_noir_05_63,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_63,False,,1,surprise,,L_100,L_100,1.0,,,,,,,,,,,,
d_nikke_noir_05_64,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_64,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_65,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_65,True,,1,idle,,L_100,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_66,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_66,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_67,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_67,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_68,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_68,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_69,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_69,True,,1,shy,,L_10,1,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_70,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_70,False,,1,shy,,1,1,1.0,,,,,,,,,,,,
d_nikke_noir_05_71,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_71,False,,1,surprise,,1,L_10,0.6,,noir,,,,,,,,,,
d_nikke_noir_05_72,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_72,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_73,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_73,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_74,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_74,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_75,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_75,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_76,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_76,False,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_77,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_77,True,,1,delight,,L_10,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_78,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_78,False,,1,delight,,L_100,L_100,1.0,,,,,,,,,,,,
d_nikke_noir_05_79,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_79,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_80,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_80,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_81,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_81,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_82,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_82,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,,
d_nikke_noir_05_83,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_83,True,,1,surprise,,L_100,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_84,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_84,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_85,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_85,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_86,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_86,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_87,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_87,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_88,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_88,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_89,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_89,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_90,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_90,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_91,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_91,True,,1,idle,,L_10,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_92,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_92,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_93,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_93,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_94,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_94,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_95,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_95,True,,1,idle,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_96,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_96,True,,1,surprise,,L_100,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_97,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_97,True,,1,surprise,,L_100,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_98,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_98,False,,1,surprise,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_99,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_99,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_100,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_100,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_101,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_101,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_102,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_102,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_103,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_103,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_104,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_104,False,,1,shy,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_105,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_105,False,,1,shy,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_106,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_106,False,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_107,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_107,True,,1,idle,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_108,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_108,True,,1,delight,,L_10,L_100,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_109,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_109,False,,1,delight,,black,black,1.0,,,,,,,,,,,,
d_nikke_noir_05_110,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_110,False,,1,delight,,black,black,1.0,,,,,,,,,,,,
d_nikke_noir_05_111,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_111,False,,1,delight,,black,black,1.0,,,,,,,,,,,,
d_nikke_noir_05_112,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_112,False,,1,surprise,,black,black,1.0,,,,,,,,,,,,
d_nikke_noir_05_113,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_113,False,,1,idle,,black,black,1.0,,,,,,,,,,,,
d_nikke_noir_05_114,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_114,False,,1,delight,,black,black,1.0,,,,,,,,,,,,
