id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,speaker,characters/4/hide_char_id,jump_target
d_nikke_crown_01_11,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_11,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_12,d_nikke_crown_01,Self,anis,Locale_NikkeEpisode:d_nikke_crown_01_12,False,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,,,
d_nikke_crown_01_13,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_13,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_14,d_nikke_crown_01,Monologue,neon,Locale_NikkeEpisode:d_nikke_crown_01_14,False,,6,6,1.0,bgm_intotheswarm,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,,,
d_nikke_crown_01_15,d_nikke_crown_01,Self,neon,Locale_NikkeEpisode:d_nikke_crown_01_15,False,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,,,
d_nikke_crown_01_16,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_16,False,,3,XXS_30,0.7,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,chime,,
d_nikke_crown_01_17,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_17,False,,1,10,0.7,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,crown,,
d_nikke_crown_01_18,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_18,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_19,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_19,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_20,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_20,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_21,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_21,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_22,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_22,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_23,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_23,True,,6,6,1.0,,,,7,void,,5,surprise,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_24,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_24,True,,6,6,1.0,,,,7,void,,5,surprise,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_25,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_25,True,,6,6,1.0,,,,7,worry,,5,surprise,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_26,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_26,True,,6,6,1.0,,,,7,worry,,5,surprise,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_27,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_27,True,,6,6,1.0,,,,7,worry,,5,surprise,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_28,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_28,True,,6,6,1.0,,,,7,angry,,5,surprise,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_29,d_nikke_crown_01,Self,anis,Locale_NikkeEpisode:d_nikke_crown_01_29,False,,6,6,1.0,,,,7,angry,,5,surprise,,3,idle,,1,idle,,9,idle,,,
d_nikke_crown_01_30,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_30,True,,9,90,1.0,,,,7,angry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_31,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_31,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_32,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_32,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_33,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_33,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_34,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_34,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_35,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_35,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_36,d_nikke_crown_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_crown_01_36,True,,90,90,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,redhood,,
d_nikke_crown_01_37,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_37,True,,70,70,1.0,,,,7,angry,,5,angry,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_38,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_38,True,,70,70,1.0,,,,7,angry,,5,angry,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_39,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_39,True,,S_50,S_50,1.0,,,,7,angry,,5,angry,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_40,d_nikke_crown_01,Self,neon,Locale_NikkeEpisode:d_nikke_crown_01_40,False,,S_50,S_50,1.0,,,,7,angry,,5,angry,,3,idle,,1,idle,,9,idle,,,
d_nikke_crown_01_41,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_41,True,,S_50,S_50,1.0,,,,7,angry,,5,no,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_42,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_42,True,,S_50,6,1.0,,,,7,angry,,5,no,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_43,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_43,True,,6,6,1.0,,,,7,void,,5,no,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_44,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_44,True,,6,6,1.0,,,,7,void,,5,surprise,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_45,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_45,True,,6,6,1.0,,,,7,worry,,5,surprise,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_46,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_46,True,,6,6,1.0,,,,7,worry,,5,surprise,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_47,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_47,True,,6,6,1.0,,,,7,worry,,5,idle,,3,idle,,1,idle,,9,idle,neon,,
d_nikke_crown_01_48,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_48,True,,6,70,0.7,,,,7,angry,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_49,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_49,True,,70,70,1.0,,,,7,sad,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_50,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_50,True,,70,70,1.0,,,,7,sad,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_51,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_51,True,,70,70,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_52,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_52,True,,70,70,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,anis,,
d_nikke_crown_01_53,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_53,True,,2,2,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,9,idle,crown,redhood,
d_nikke_crown_01_54,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_54,True,,2,2,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,,,chime,,
d_nikke_crown_01_55,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_55,True,,2,2,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_56,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_56,True,,2,2,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,,,chime,,
d_nikke_crown_01_57,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_57,True,,2,2,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_58,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_58,True,,2,2,1.0,,,,7,void,,5,idle,,3,smile,,1,idle,,,,chime,,
d_nikke_crown_01_59,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_59,True,,2,2,1.0,,,,7,void,,5,idle,,3,smile,,1,idle,,,,chime,,
d_nikke_crown_01_60,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_60,False,,6,6,1.0,,,,7,void,,5,idle,,3,smile,,1,idle,,,,anis,,
d_nikke_crown_01_61,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_61,True,,6,6,1.0,,,,7,void,,5,idle,,3,idle,,1,idle,,,,neon,,
d_nikke_crown_01_62,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_62,True,,6,6,1.0,,,,7,no,,5,idle,,3,idle,,1,idle,,,,anis,,
d_nikke_crown_01_63,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_63,True,,2,2,1.0,,,,7,no,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_64,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_64,True,,2,2,1.0,,,,7,no,,5,idle,,3,idle,,1,idle,,,,neon,,
d_nikke_crown_01_65,d_nikke_crown_01,Speech,chime,Locale_NikkeEpisode:d_nikke_crown_01_65,True,,2,2,1.0,,,,7,worry,,5,idle,,3,angry,,1,idle,,,,chime,,
d_nikke_crown_01_66,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_66,True,,70,70,1.0,,,,7,worry,,5,idle,,3,angry,,1,idle,,,,anis,,
d_nikke_crown_01_67,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_67,True,,10,10,1.0,,,,7,worry,,5,idle,,3,angry,,1,think,,,,crown,,
d_nikke_crown_01_68,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_68,True,,10,10,1.0,,,,7,worry,,5,idle,,3,angry,,1,idle,,,,crown,,
d_nikke_crown_01_69,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_69,True,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_70,d_nikke_crown_01,Choice,crown,Locale_NikkeEpisode:d_nikke_crown_01_70,False,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,d_nikke_crown_01_72
d_nikke_crown_01_71,d_nikke_crown_01,Choice,crown,Locale_NikkeEpisode:d_nikke_crown_01_71,False,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,d_nikke_crown_01_72
d_nikke_crown_01_72,d_nikke_crown_01,Speech,anis,Locale_NikkeEpisode:d_nikke_crown_01_72,True,,6,6,1.0,,,,7,idle,,5,delight,,3,idle,,1,idle,,,,anis,,
d_nikke_crown_01_73,d_nikke_crown_01,Speech,neon,Locale_NikkeEpisode:d_nikke_crown_01_73,True,,6,6,1.0,,,,7,idle,,5,delight,,3,idle,,1,idle,,,,neon,,
d_nikke_crown_01_74,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_74,True,,10,10,1.0,,,,7,idle,,5,delight,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_75,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_75,True,,10,10,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_76,d_nikke_crown_01,Speech,crown,Locale_NikkeEpisode:d_nikke_crown_01_76,True,,10,100,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,crown,,
d_nikke_crown_01_77,d_nikke_crown_01,Self,crown,Locale_NikkeEpisode:d_nikke_crown_01_77,False,,100,100,1.0,,,,7,idle,,5,idle,,3,idle,,1,idle,,,,,,
