id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade
d_nikke_milk_03_43,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_43,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_44,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_44,False,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_45,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_45,False,,1,idle,,S_10,S_10,0.5,,,
d_nikke_milk_03_46,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_46,True,,1,angry,,S_10,S_10,1.0,,,
d_nikke_milk_03_47,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_47,True,,1,angry,,S_10,S_100,1.0,,,
d_nikke_milk_03_48,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_48,True,,1,angry,,S_100,S_100,1.0,,,
d_nikke_milk_03_49,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_49,True,,1,angry,,S_100,S_100,1.0,,,
d_nikke_milk_03_50,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_50,False,,1,angry,,S_100,S_100,1.0,,,
d_nikke_milk_03_51,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_51,False,,1,angry,,S_100,S_100,0.5,,,
d_nikke_milk_03_52,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_52,False,,1,angry,,S_100,S_100,1.0,,,
d_nikke_milk_03_53,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_53,False,,1,shy,,S_100,S_100,1.0,,,
d_nikke_milk_03_54,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_54,False,,1,shy,,S_100,S_100,1.0,,,
d_nikke_milk_03_55,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_55,True,,1,angry,,S_100,S_100,1.0,,,
d_nikke_milk_03_56,d_nikke_milk_03,Narration,milk,Narration,Locale_NikkeEpisode:d_nikke_milk_03_56,False,,1,surprise,,black,black,1.0,none,,
d_nikke_milk_03_57,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_57,False,,1,surprise,,1,1,1.0,,,
d_nikke_milk_03_58,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_58,True,,1,surprise,,1,1,1.0,bgm_story_lastbullet,,
d_nikke_milk_03_59,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_59,True,,1,surprise,,1,1,1.0,,,
d_nikke_milk_03_60,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_60,False,,1,surprise,,1,1,1.0,,,
d_nikke_milk_03_61,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_61,True,,1,no,,1,S_10,0.5,,,
d_nikke_milk_03_62,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_62,False,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_63,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_63,False,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_64,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_64,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_65,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_65,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_66,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_66,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_67,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_67,False,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_68,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_68,False,,1,no,,S_10,S_100,0.5,,,
d_nikke_milk_03_69,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_69,True,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_70,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_70,False,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_71,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_71,False,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_72,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_72,False,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_73,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_73,True,,1,no,,S_100,S_10,1.0,,,
d_nikke_milk_03_74,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_74,False,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_75,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_75,True,,1,angry,,S_10,S_10,0.5,,Low_2,
d_nikke_milk_03_76,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_76,False,,1,angry,,S_10,S_10,1.0,none,,
d_nikke_milk_03_77,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_77,True,,1,angry,,S_10,S_10,1.0,,,
d_nikke_milk_03_78,d_nikke_milk_03,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_78,False,,1,angry,,S_10,1,1.0,,,
d_nikke_milk_03_79,d_nikke_milk_03,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_79,False,,1,angry,,1,1,1.0,,,
d_nikke_milk_03_80,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_80,True,,1,no,CommanderRoom,1,1,1.0,bgm_story_breakaway,,black
d_nikke_milk_03_81,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_81,False,,1,no,,1,1,1.0,,,
d_nikke_milk_03_82,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_82,False,,1,idle,,1,S_10,1.0,,,
d_nikke_milk_03_83,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_83,False,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_84,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_84,False,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_85,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_85,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_86,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_86,False,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_87,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_87,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_88,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_88,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_89,d_nikke_milk_03,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_89,False,,1,no,,black,black,1.0,,,
d_nikke_milk_03_90,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_90,True,,1,angry,,S_10,S_10,1.0,,,
d_nikke_milk_03_91,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_91,True,,1,angry,,S_10,S_10,1.0,,,
d_nikke_milk_03_92,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_92,True,,1,good,,S_10,S_100,0.5,,,
d_nikke_milk_03_93,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_93,True,,1,good,,S_100,S_100,1.0,,,
d_nikke_milk_03_94,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_94,True,,1,good,,S_100,S_100,1.0,,,
d_nikke_milk_03_95,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_95,True,,1,good,,S_100,S_100,1.0,,,
d_nikke_milk_03_96,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_96,True,,1,good,,S_100,S_100,1.0,,,
d_nikke_milk_03_97,d_nikke_milk_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_97,False,,1,good,,black,black,1.0,,,
d_nikke_milk_03_98,d_nikke_milk_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_98,False,,1,good,,black,black,1.0,,,
d_nikke_milk_03_99,d_nikke_milk_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_milk_03_99,False,,1,good,,black,black,1.0,,,
