id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,play_sound,jump_target,set_camera_shake,characters/0/hide_char_id
d_nikke_nero_03_20,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_20,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_21,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_21,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_22,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_22,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_23,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_23,False,,1,13,1.0,,,,,1,sad,,sfx_scn_3step,,,
d_nikke_nero_03_24,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_24,False,,13,13,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_25,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_25,True,,13,1,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_26,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_26,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_27,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_27,True,,1,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_28,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_28,False,,L_10,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_29,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_29,False,,L_10,L_100,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_30,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_30,False,,L_100,L_100,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_31,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_31,False,,L_100,L_100,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_32,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_32,False,,L_100,L_100,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_33,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_33,True,,L_100,L_10,1.0,,nero,nero,,1,idle,,,,,
d_nikke_nero_03_34,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_34,True,,L_10,L_10,1.0,,nero,nero,,1,idle,,,,,
d_nikke_nero_03_35,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_35,True,,L_10,L_10,1.0,,nero,nero,,1,idle,,,,,
d_nikke_nero_03_36,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_36,False,,L_10,L_10,1.0,,,,,1,idle,,,,,
d_nikke_nero_03_37,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_37,True,,L_10,L_10,1.0,,nero,nero,,1,idle,,,,,
d_nikke_nero_03_38,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_38,False,,L_10,L_10,1.0,,,,,1,idle,,,,,
d_nikke_nero_03_39,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_39,False,,L_10,L_130,1.0,,,,,13,idle,,,,,
d_nikke_nero_03_40,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_40,False,,L_130,L_130,1.0,,,,,13,idle,,sfx_scn_splash,,,
d_nikke_nero_03_41,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_41,True,,L_130,L_130,1.0,,nero,nero,,13,idle,,,,,
d_nikke_nero_03_42,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_42,True,,L_130,L_130,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_43,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_43,False,,L_130,L_130,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_44,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_44,False,,L_130,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_45,d_nikke_nero_03,Choice,Locale_NikkeEpisode:d_nikke_nero_03_45,False,,L_1300,L_1300,1.0,,,,,13,sad,,,d_nikke_nero_03_47,,
d_nikke_nero_03_46,d_nikke_nero_03,Choice,Locale_NikkeEpisode:d_nikke_nero_03_46,False,,L_1300,L_1300,1.0,,,,,13,sad,,,d_nikke_nero_03_52,,
d_nikke_nero_03_47,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_47,True,,L_1300,L_1300,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_48,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_48,True,,L_1300,L_1300,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_49,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_49,False,,L_1300,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_50,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_50,False,,L_1300,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_51,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_51,False,,L_1300,L_1300,1.0,,nero,nero,,13,sad,,,d_nikke_nero_03_52,,
d_nikke_nero_03_52,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_52,False,,L_1300,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_53,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_53,False,,L_1300,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_54,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_54,False,,L_1300,L_1300,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_55,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_55,True,,L_1300,L_130,1.0,,nero,nero,,13,angry,,,,,
d_nikke_nero_03_56,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_56,False,,L_130,L_130,1.0,,,,,13,angry,,,,,
d_nikke_nero_03_57,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_57,False,,L_130,L_150,1.0,,,,,15,angry,,sfx_scn_5step,,,
d_nikke_nero_03_58,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_58,False,,L_150,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_59,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_59,False,,L_150,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_60,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_60,True,,L_150,L_150,1.0,,nero,nero,,15,angry,,,,,
d_nikke_nero_03_61,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_61,False,,L_150,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_62,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_62,True,,L_150,L_150,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_63,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_63,True,,L_150,L_150,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_64,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_64,True,,L_150,L_150,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_65,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_65,False,,L_150,L_150,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_66,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_66,False,,L_150,L_150,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_67,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_67,False,,L_150,L_150,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_68,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_68,True,,L_150,L_150,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_69,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_69,True,,L_150,L_1500,1.0,,nero,nero,,15,idle,,,,,
d_nikke_nero_03_70,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_70,False,,L_1500,L_1500,1.0,,,,,15,idle,,,,,
d_nikke_nero_03_71,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_71,True,,L_1500,L_150,1.0,,nero,nero,,15,idle,,,,,
d_nikke_nero_03_72,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_72,False,,L_150,L_150,1.0,,,,,15,idle,,,,,
d_nikke_nero_03_73,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_73,False,,L_150,L_150,1.0,none,,,,15,idle,,,,,
d_nikke_nero_03_74,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_74,False,,L_150,L_150,1.0,,,,,15,idle,,,,,
d_nikke_nero_03_75,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_75,False,,L_150,L_150,1.0,bgm_story_herecomestrouble,,,,15,idle,,,,,
d_nikke_nero_03_76,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_76,True,,L_150,L_150,1.0,,nero,nero,,15,idle,,,,,
d_nikke_nero_03_77,d_nikke_nero_03,Choice,Locale_NikkeEpisode:d_nikke_nero_03_77,False,,L_150,L_150,1.0,,,,,15,idle,,,d_nikke_nero_03_79,,
d_nikke_nero_03_78,d_nikke_nero_03,Choice,Locale_NikkeEpisode:d_nikke_nero_03_78,False,,L_150,L_150,1.0,,,,,15,idle,,,d_nikke_nero_03_79,,
d_nikke_nero_03_79,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_79,False,,L_150,L_150,1.0,,,,,15,idle,,sfx_scn_waterslide,,,
d_nikke_nero_03_80,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_80,True,,L_150,L_130,1.0,,nero,nero,,13,sad,,,,Low_2,
d_nikke_nero_03_81,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_81,True,,L_130,L_130,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_82,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_82,False,,L_130,L_130,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_83,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_83,False,,L_130,L_130,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_84,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_84,True,,L_130,L_130,1.0,,nero,nero,,13,sad,,,,Low_2,
d_nikke_nero_03_85,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_85,True,,L_130,L_130,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_86,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_86,True,,L_130,L_130,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_87,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_87,False,,L_130,L_130,1.0,,,,,13,sad,,,,,
d_nikke_nero_03_88,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_88,True,,L_130,L_130,1.0,,nero,nero,,13,angry,,,,,
d_nikke_nero_03_89,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_89,False,,L_130,L_130,1.0,,,,,13,angry,,sfx_scn_waterslide,,,
d_nikke_nero_03_90,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_90,False,,L_130,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_91,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_91,False,,L_150,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_92,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_92,False,,L_150,L_150,1.0,,,,,15,angry,,,,,
d_nikke_nero_03_93,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_93,True,,L_150,L_150,1.0,,nero,nero,,15,angry,,,,,
d_nikke_nero_03_94,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_94,False,,L_150,L_150,1.0,none,,,,15,angry,,,,,
d_nikke_nero_03_95,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_95,False,,L_150,15,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_96,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_96,False,,15,15,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_97,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_97,False,,15,15,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_98,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_98,True,,15,15,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_99,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_99,True,,15,15,1.0,bgm_story_shapeofhope,nero,nero,,15,sad,,,,,
d_nikke_nero_03_100,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_100,False,,15,15,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_101,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_101,True,,15,L_150,1.0,,nero,nero,,15,sad,,,,,
d_nikke_nero_03_102,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_102,False,,L_150,L_150,1.0,,,,,15,sad,,,,,
d_nikke_nero_03_103,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_103,False,,L_150,L_150,1.0,,,,,15,sad,,sfx_scn_waterslide,,,
d_nikke_nero_03_104,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_104,True,,L_150,L_130,1.0,,nero,nero,,13,sad,,,,,
d_nikke_nero_03_105,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_105,False,,L_130,L_130,1.0,,,,,13,sad,,sfx_scn_waterslide,,,
d_nikke_nero_03_106,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_106,True,,L_130,L_10,1.0,none,nero,nero,,1,sad,,,,,
d_nikke_nero_03_107,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_107,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_108,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_108,False,,L_10,L_10,1.0,bgm_story_herecomestrouble,,,,1,sad,,,,,
d_nikke_nero_03_109,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_109,False,,black,black,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_110,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_110,False,,black,black,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_111,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_111,True,,1,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_112,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_112,True,,L_10,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_113,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_113,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_114,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_114,True,,L_10,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_115,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_115,False,,L_10,L_10,1.0,,,,,1,sad,,sfx_scn_down,,,nero
d_nikke_nero_03_116,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_116,False,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_nero_03_117,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_117,False,,L_10,L_10,1.0,,,,,,,,sfx_scn_fillacup,,,
d_nikke_nero_03_118,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_118,False,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_nero_03_119,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_119,True,,L_10,L_10,0.5,,nero,nero,,,,,,,,
d_nikke_nero_03_120,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_120,False,,L_10,L_100,1.0,,,,nero,1,sad,,,,,
d_nikke_nero_03_121,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_121,False,,L_100,L_100,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_122,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_122,True,,L_100,L_100,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_123,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_123,True,,L_100,L_10,2.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_124,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_124,False,,black,black,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_125,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_125,False,,black,black,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_126,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_126,False,,black,black,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_127,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_127,False,,black,black,1.0,,,,,1,sad,,,,,
