id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_flora_04_22,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_22,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_23,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_23,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_24,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_24,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_25,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_25,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_26,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_26,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_27,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_27,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_28,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_28,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_29,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_29,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_30,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_30,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_31,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_31,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_32,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_32,False,,30,30,1.0,,,,,3,sad
d_nikke_flora_04_33,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_33,False,,30,30,1.0,,,,,3,sad
d_nikke_flora_04_34,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_34,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_35,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_35,True,,30,300,1.0,,,flora,,3,sad
d_nikke_flora_04_36,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_36,True,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_37,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_37,True,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_38,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_38,False,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_39,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_39,False,,300,300,1.0,,,,,3,sad
d_nikke_flora_04_40,d_nikke_flora_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_04_40,False,,17,170,1.0,,,,,3,sad
d_nikke_flora_04_41,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_41,True,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_42,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_42,True,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_43,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_43,True,,300,300,1.0,,,flora,,3,sad
d_nikke_flora_04_44,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_44,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_45,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_45,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_46,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_46,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_47,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_47,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_48,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_48,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_49,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_49,True,,300,300,1.0,,,flora,,3,idle
d_nikke_flora_04_50,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_50,False,,300,300,1.0,,,,,3,idle
d_nikke_flora_04_51,d_nikke_flora_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_04_51,False,,300,30,1.0,,,,,3,idle
d_nikke_flora_04_52,d_nikke_flora_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_04_52,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_04_53,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_53,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_54,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_54,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_55,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_55,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_56,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_56,False,,30,30,1.0,,none,,,3,delight
d_nikke_flora_04_57,d_nikke_flora_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_04_57,False,,17,170,1.0,,bgm_story_backtonormal,,,3,delight
d_nikke_flora_04_58,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_58,True,,30,30,1.0,,,flora,,3,shy
d_nikke_flora_04_59,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_59,True,,30,30,1.0,,,flora,,3,shy
d_nikke_flora_04_60,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_60,False,,30,30,1.0,,,,,3,shy
d_nikke_flora_04_61,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_61,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_62,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_62,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_63,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_63,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_64,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_64,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_65,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_65,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_04_66,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_66,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_04_67,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_67,True,,30,30,1.0,,,flora,,3,idle
d_nikke_flora_04_68,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_68,True,,30,17,1.0,,,flora,,3,idle
d_nikke_flora_04_69,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_69,True,,17,17,1.0,,,flora,,3,idle
d_nikke_flora_04_70,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_70,True,,17,17,1.0,,,flora,,3,idle
d_nikke_flora_04_71,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_71,True,,17,30,1.0,,,flora,,3,idle
d_nikke_flora_04_72,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_72,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_04_73,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_73,False,,30,30,1.0,,,,,3,idle
d_nikke_flora_04_74,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_74,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_75,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_75,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_76,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_76,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_77,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_77,True,,30,30,1.0,,,flora,,3,shy
d_nikke_flora_04_78,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_78,True,,30,30,1.0,,,flora,,3,shy
d_nikke_flora_04_79,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_79,False,,30,30,1.0,,,,,3,shy
d_nikke_flora_04_80,d_nikke_flora_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_flora_04_80,False,,17,170,1.0,,,,,3,shy
d_nikke_flora_04_81,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_81,False,,170,170,1.0,,,,,3,shy
d_nikke_flora_04_82,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_82,False,,170,170,1.0,,,,,3,shy
d_nikke_flora_04_83,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_83,False,,170,170,1.0,,,,,3,shy
d_nikke_flora_04_84,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_84,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_85,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_85,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_86,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_86,False,,30,30,1.0,,,,,3,delight
d_nikke_flora_04_87,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_87,False,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_88,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_88,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_89,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_89,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_90,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_90,True,,30,30,1.0,,,flora,,3,shy
