id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/1/hide_char_id,jump_target
d_nikke_aria_04_69,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_69,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_70,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_70,False,,1,think,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_71,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_71,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_72,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_72,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_73,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_73,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_74,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_74,False,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_75,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_75,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_76,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_76,False,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_77,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_77,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_78,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_78,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_79,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_79,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_80,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_80,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_81,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_81,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_82,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_82,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_83,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_83,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_84,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_84,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_85,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_85,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_86,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_86,False,,1,idle,,13,idle,,113,100,1.0,,,aria,,
d_nikke_aria_04_87,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_87,True,,1,idle,,13,idle,,100,100,1.0,,,aria,barmaster,
d_nikke_aria_04_88,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_88,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_89,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_89,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_90,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_90,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_91,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_91,True,,1,idle,,,,,100,100,1.0,,,aria,,
