id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,fade,jump_target
d_nikke_rapunzel_03_66,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_66,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_67,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_67,True,,1,delight,,10,10,1.0,,,,,
d_nikke_rapunzel_03_68,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_68,False,,1,delight,,10,10,1.0,,,,,
d_nikke_rapunzel_03_69,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_69,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_70,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_70,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_71,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_71,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_72,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_72,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_73,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_73,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_74,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_74,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_75,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_75,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_76,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_76,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_77,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_77,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_78,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_78,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_79,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_79,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_80,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_80,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_81,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_81,True,,1,no,,10,1,2.0,,,,,
d_nikke_rapunzel_03_82,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_82,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_83,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_83,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_84,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_84,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_85,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_85,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_86,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_86,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_87,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_87,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_88,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_88,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_89,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_89,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_90,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_90,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_91,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_91,True,,1,no,,1,10,2.0,,,,,
d_nikke_rapunzel_03_92,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_92,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_93,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_93,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_94,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_94,True,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_95,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_95,True,,1,no,,10,10,1.0,,,,,
