id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ce_02_02_05_12,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_12,True,,30,30,1.0,,,,,,1,idle,,,3,angry,
d_nikke_ce_02_02_05_13,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_13,True,,30,30,1.0,none,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_14,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_14,False,,black,black,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_15,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_15,False,,black,black,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_16,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_16,False,,1,10,0.5,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_17,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_17,True,,10,10,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_18,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_18,False,,black,black,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_19,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_19,False,,15,15,1.0,event_bgm_ce002_story_1,,white_without_dialogue,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_20,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_20,False,,15,15,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_21,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_21,False,,black,black,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_22,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_22,False,,15,1500,0.3,,,,Red,,1,idle,,,3,think,
d_nikke_ce_02_02_05_23,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_23,True,,1500,2,0.3,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_24,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_24,False,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_25,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_25,False,,black,black,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_26,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_26,False,,black,black,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_27,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_27,True,,1,10,0.5,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_28,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_28,False,,10,150,0.3,,sfx_scn_bird,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_29,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_29,False,,150,1,0.3,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_30,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_30,True,,1,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_31,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_31,True,,10,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_32,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_32,True,,10,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_33,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_33,True,,10,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_34,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_34,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_35,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_35,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_36,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_36,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_37,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_37,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_38,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_38,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_39,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_39,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_40,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_40,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_41,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_41,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_42,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_42,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_43,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_43,True,,2,2,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_ce_02_02_05_44,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_44,True,,2,2,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_ce_02_02_05_45,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_45,True,,2,2,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_ce_02_02_05_46,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_46,True,,2,2,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_ce_02_02_05_47,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_47,False,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_48,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_48,True,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_49,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_49,True,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_50,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_50,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_51,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_51,True,,2,2,1.0,,,,,,1,idle,,,3,delight,
d_nikke_ce_02_02_05_52,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_52,False,,2,2,1.0,,,,,,1,idle,,,3,delight,
d_nikke_ce_02_02_05_53,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_53,False,,2,2,1.0,,,,,,1,idle,p12,,3,delight,ce_02_02
