id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_03_14,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_14,False,,black,black,1.0,,,,2,no,,,12,idle
d_nikke_ce006_02_03_15,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_15,False,,black,black,1.0,sfx_scn_movingrobot,,,2,no,,,12,idle
d_nikke_ce006_02_03_16,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_16,False,,black,black,1.0,sfx_scn_hugestonelift,,,2,no,,,12,idle
d_nikke_ce006_02_03_17,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_17,False,,black,black,1.0,sfx_scn_movingrobot,,,2,no,,,12,idle
d_nikke_ce006_02_03_18,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_18,False,,black,black,1.0,sfx_scn_fragment,,,2,no,,,15,idle
d_nikke_ce006_02_03_19,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_19,True,,20,20,1.0,,,,2,no,ce006_02,,15,idle
d_nikke_ce006_02_03_20,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_20,False,,20,20,1.0,,,,2,no,com,,15,idle
d_nikke_ce006_02_03_21,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_21,False,,20,20,1.0,sfx_scn_hugestonelift,,,2,no,,,15,idle
d_nikke_ce006_02_03_22,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_22,False,,20,20,1.0,sfx_scn_movingrobot,,,2,no,,,15,idle
d_nikke_ce006_02_03_23,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_23,True,,20,20,1.0,,,,2,no,ce006_02,,15,idle
d_nikke_ce006_02_03_24,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_24,True,,150,150,1.0,,,,2,no,com,,15,idle
d_nikke_ce006_02_03_25,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_25,True,,150,150,1.0,,,,2,no,com,,15,idle
d_nikke_ce006_02_03_26,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_26,True,,20,20,1.0,,,,2,no,ce006_02,,15,idle
d_nikke_ce006_02_03_27,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_27,True,,150,150,1.0,,,,2,no,com,,15,idle
d_nikke_ce006_02_03_28,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_28,True,,20,20,1.0,,,,2,no,ce006_02,,15,idle
d_nikke_ce006_02_03_29,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_29,False,,20,1,1.3,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_30,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_30,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_31,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_31,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_32,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_32,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_33,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_33,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_34,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_34,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_35,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_35,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_36,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_36,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_37,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_37,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_38,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_38,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_39,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_39,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_40,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_40,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_41,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_41,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_42,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_42,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_43,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_43,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_44,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_44,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_45,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_45,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_46,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_46,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_47,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_47,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_48,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_48,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_49,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_49,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_50,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_50,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_51,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_51,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_52,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_52,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_53,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_53,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_54,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_54,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_55,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_55,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_56,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_56,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_57,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_57,True,,1,20,1.3,,,,2,smile,ce006_02,,12,idle
d_nikke_ce006_02_03_58,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_58,True,,20,20,1.0,,,,2,smile,ce006_02,,12,idle
d_nikke_ce006_02_03_59,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_59,True,,20,20,1.0,,,,2,smile,ce006_02,,12,idle
d_nikke_ce006_02_03_60,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_60,False,,20,20,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_61,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_61,True,,20,20,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_62,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_62,True,,20,120,1.3,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_63,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_63,True,,120,120,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_64,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_64,True,,120,120,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_65,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_65,True,,120,1,1.3,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_66,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_66,False,,1,1,1.0,,,,2,no,ce006_02,,12,idle
d_nikke_ce006_02_03_67,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_67,True,,1,1,1.0,,,,2,idle,ce006_02,,12,idle
d_nikke_ce006_02_03_68,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_68,False,,1,1,1.0,,,,2,idle,com,,12,idle
d_nikke_ce006_02_03_69,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_69,True,,1,1,1.0,,,,2,idle,ce006_02,,12,idle
d_nikke_ce006_02_03_70,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_70,True,,1,1,1.0,,,,2,idle,ce006_02,,12,idle
d_nikke_ce006_02_03_71,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_71,False,,1,1,1.0,,,,2,idle,com,,12,idle
d_nikke_ce006_02_03_72,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_72,True,,1,1,1.0,,,,2,idle,com,,12,idle
d_nikke_ce006_02_03_73,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_73,True,,1,1,1.0,,,,2,smile,ce006_02,,12,idle
d_nikke_ce006_02_03_74,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_74,True,,1,1,1.0,,,,2,smile,com,,12,idle
d_nikke_ce006_02_03_75,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_75,True,,1,1,1.0,,,,2,smile,com,,12,idle
d_nikke_ce006_02_03_76,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_76,True,,1,1,1.0,,,,2,no,ce006_02,,12,idle
