id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,characters/0/hide_char_id,play_sound,fade
treasurestory_tove_05_24,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_24,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_25,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_25,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_26,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_26,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_27,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_27,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_28,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_28,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_29,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_29,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_30,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_30,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_31,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_31,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_32,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_32,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_33,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_33,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_34,treasurestory_tove_05,Choice,tove,Locale_NikkeEpisode:treasurestory_tove_05_34,False,,S_10,S_10,1.0,,,1,think,,treasurestory_tove_05_36,,,
treasurestory_tove_05_35,treasurestory_tove_05,Choice,tove,Locale_NikkeEpisode:treasurestory_tove_05_35,False,,S_10,S_10,1.0,,,1,think,,treasurestory_tove_05_38,,,
treasurestory_tove_05_36,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_36,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_37,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_37,True,,S_10,S_10,1.0,,,1,idle,tove,treasurestory_tove_05_40,,,
treasurestory_tove_05_38,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_38,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_39,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_39,True,,S_10,S_10,1.0,,,1,idle,tove,treasurestory_tove_05_40,,,
treasurestory_tove_05_40,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_40,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_41,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_41,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_42,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_42,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_43,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_43,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_44,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_44,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_45,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_45,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_46,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_46,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_47,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_47,True,,S_10,S_100,1.3,,,1,idle,tove,,,,
treasurestory_tove_05_48,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_48,True,,S_100,S_100,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_49,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_49,True,,S_100,S_100,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_50,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_50,False,,black,black,1.0,,,1,idle,,,tove,sfx_scn_walkturf,
treasurestory_tove_05_51,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_51,False,RuinIndoor,1,1,1.0,,,,,,,,,black
treasurestory_tove_05_52,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_52,False,,1,1,1.0,,,,,,,,,
treasurestory_tove_05_53,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_53,True,,1,1,1.0,,tove,1,idle,tove,,,,
treasurestory_tove_05_54,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_54,False,,1,1,1.0,,,1,idle,,,,,
treasurestory_tove_05_55,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_55,True,,1,1,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_56,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_56,True,,1,S_10,1.3,,,1,idle,tove,,,,
treasurestory_tove_05_57,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_57,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_58,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_58,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_59,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_59,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_60,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_60,True,,S_10,S_100,1.3,,,1,surprise,tove,,,,
treasurestory_tove_05_61,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_61,False,,black,black,1.0,,,1,idle,,,,,
treasurestory_tove_05_62,treasurestory_tove_05,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_05_62,False,,black,black,1.0,,,1,idle,,,,sfx_scn_find,
treasurestory_tove_05_63,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_63,True,,S_100,S_10,1.3,,,1,idle,tove,,,,
treasurestory_tove_05_64,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_64,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_65,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_65,True,,S_10,S_10,1.0,,,1,special,tove,,,,
treasurestory_tove_05_66,treasurestory_tove_05,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_05_66,False,,black,black,1.0,none,,1,special,,,,sfx_scn_find,
treasurestory_tove_05_67,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_67,True,,S_10,S_10,1.0,,,1,special,tove,,,,
treasurestory_tove_05_68,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_68,True,,S_10,S_10,1.0,,,1,surprise,tove,,,,
treasurestory_tove_05_69,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_69,True,,S_10,S_100,1.3,,,1,shy,tove,,,,
treasurestory_tove_05_70,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_70,False,,S_100,S_100,1.0,,,1,shy,,,,,
treasurestory_tove_05_71,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_71,True,,S_100,S_100,1.0,,,1,shy,tove,,,,
