id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,conversation_id,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target
d_nikke_frima_02_30,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_30,False,,2,2,1.0,,,,frima,,,,,,,,,,,3,sleep_01,
d_nikke_frima_02_31,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_31,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,3,surprise,
d_nikke_frima_02_32,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_32,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,3,idle,
d_nikke_frima_02_33,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_33,False,,2,2,1.0,,,,frima,,,,,,,,,,,3,idle,
d_nikke_frima_02_34,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_34,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,3,idle,
d_nikke_frima_02_35,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_35,False,,2,2,1.0,sfx_scn_sofasheet,,,frima,,,,,,,,,,,3,idle,
d_nikke_frima_02_36,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_36,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_37,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_37,False,,2,20,1.0,,,,frima,frima,,,,,,,,,,2,think,
d_nikke_frima_02_38,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_38,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,think,
d_nikke_frima_02_39,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_39,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_40,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_40,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_41,d_nikke_frima_02,Choice,Locale_NikkeEpisode:d_nikke_frima_02_41,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,d_nikke_frima_02_43
d_nikke_frima_02_42,d_nikke_frima_02,Choice,Locale_NikkeEpisode:d_nikke_frima_02_42,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,d_nikke_frima_02_44
d_nikke_frima_02_43,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_43,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,d_nikke_frima_02_49
d_nikke_frima_02_44,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_44,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_45,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_45,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_46,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_46,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_47,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_47,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,angry,
d_nikke_frima_02_48,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_48,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,d_nikke_frima_02_49
d_nikke_frima_02_49,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_49,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_50,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_50,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_51,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_51,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,no,
d_nikke_frima_02_52,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_52,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,no,
d_nikke_frima_02_53,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_53,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_54,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_54,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_55,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_55,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_56,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_56,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_57,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_57,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_58,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_58,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_59,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_59,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_60,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_60,True,,20,2,1.0,,,,frima,frima,,,,,,,,,,2,no,
d_nikke_frima_02_61,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_61,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,no,
d_nikke_frima_02_62,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_62,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_63,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_63,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_64,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_64,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_65,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_65,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_66,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_66,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_67,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_67,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_68,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_68,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_69,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_69,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_70,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_70,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_71,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_71,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_72,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_72,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_73,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_73,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_74,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_74,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_75,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_75,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_76,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_76,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_77,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_77,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_78,d_nikke_frima_02,Choice,Locale_NikkeEpisode:d_nikke_frima_02_78,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,d_nikke_frima_02_80
d_nikke_frima_02_79,d_nikke_frima_02,Choice,Locale_NikkeEpisode:d_nikke_frima_02_79,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,d_nikke_frima_02_94
d_nikke_frima_02_80,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_80,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_81,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_81,False,,2,20,0.5,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_82,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_82,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_83,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_83,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,surprise,
d_nikke_frima_02_84,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_84,True,,20,20,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_85,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_85,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,surprise,
d_nikke_frima_02_86,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_86,True,,20,200,0.5,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_87,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_87,False,,200,200,1.0,,,,frima,,,,,,,,,,,2,surprise,
d_nikke_frima_02_88,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_88,False,,200,2,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_89,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_89,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_90,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_90,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,angry,
d_nikke_frima_02_91,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_91,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_92,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_92,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_93,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_93,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,no,d_nikke_frima_02_110
d_nikke_frima_02_94,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_94,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,no,
d_nikke_frima_02_95,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_95,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_96,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_96,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_97,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_97,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_98,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_98,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_99,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_99,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_100,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_100,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_101,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_101,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_102,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_102,False,,black,black,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_103,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_103,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_104,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_104,True,,2,20,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_105,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_105,True,,20,200,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_106,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_106,False,,200,200,1.0,,,,frima,,,,,,,,,,,2,surprise,
d_nikke_frima_02_107,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_107,False,,200,200,1.0,,,,frima,frima,,,,,,,,,,2,surprise,
d_nikke_frima_02_108,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_108,False,,200,2,1.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_109,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_109,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,no,d_nikke_frima_02_110
d_nikke_frima_02_110,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_110,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,no,
d_nikke_frima_02_111,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_111,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,no,
d_nikke_frima_02_112,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_112,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_113,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_113,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_114,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_114,False,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_115,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_115,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_116,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_116,False,,2,20,2.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_117,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_117,False,,20,200,2.0,,,,frima,frima,,,,,,,,,,2,angry,
d_nikke_frima_02_118,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_118,False,,200,200,1.0,,,,frima,,,,,,,,,,,2,angry,
d_nikke_frima_02_119,d_nikke_frima_02,Narration,Locale_NikkeEpisode:d_nikke_frima_02_119,False,,200,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_120,d_nikke_frima_02,Monologue,Locale_NikkeEpisode:d_nikke_frima_02_120,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_121,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_121,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_122,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_122,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_123,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_123,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_124,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_124,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_125,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_125,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_126,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_126,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_127,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_127,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_128,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_128,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_129,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_129,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_130,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_130,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_131,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_131,True,,2,2,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_132,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_132,False,,2,2,1.0,,,,frima,,,,,,,,,,,2,idle,
d_nikke_frima_02_133,d_nikke_frima_02,Speech,Locale_NikkeEpisode:d_nikke_frima_02_133,True,,2,20,1.0,,,,frima,frima,,,,,,,,,,2,idle,
d_nikke_frima_02_134,d_nikke_frima_02,Self,Locale_NikkeEpisode:d_nikke_frima_02_134,False,,20,20,1.0,,,,frima,,,,,,,,,,,2,idle,
