id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_tia_04_17,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_17,False,,10,100,1.0,,,,1,delight,,,,,,,,
d_nikke_tia_04_18,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_18,True,,100,100,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_19,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_19,True,,100,100,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_20,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_20,True,,100,100,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_21,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_21,False,,100,100,1.0,,,,1,delight,,,,,,,,
d_nikke_tia_04_22,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_22,True,,100,100,1.0,,tia,,1,shy,,,,,,,,
d_nikke_tia_04_23,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_23,True,,100,100,1.0,,tia,,1,shy,,,,,,,,
d_nikke_tia_04_24,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_24,True,,100,100,1.0,,tia,,1,shy,,,,,,,,
d_nikke_tia_04_25,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_25,True,,black,black,1.0,,tia,,1,shy,,,,,,,,
d_nikke_tia_04_26,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_26,False,,black,black,1.0,,,,1,shy,,,,,,,,
d_nikke_tia_04_27,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_27,False,,100,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_28,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_28,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_29,d_nikke_tia_04,Choice,,Locale_NikkeEpisode:d_nikke_tia_04_29,False,,10,10,1.0,,,,1,idle,d_nikke_tia_04_31,,,,,,,
d_nikke_tia_04_30,d_nikke_tia_04,Choice,,Locale_NikkeEpisode:d_nikke_tia_04_30,False,,10,10,1.0,,,,1,idle,d_nikke_tia_04_35,,,,,,,
d_nikke_tia_04_31,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_31,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_32,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_32,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_33,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_33,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_34,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_34,True,,10,10,1.0,,tia,,1,idle,d_nikke_tia_04_38,,,,,,,
d_nikke_tia_04_35,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_35,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_36,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_36,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_37,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_37,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_38,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_38,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_39,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_39,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_40,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_40,True,,10,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_41,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_41,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_42,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_42,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_43,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_43,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_44,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_44,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_45,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_45,True,,1,1,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_46,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_46,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_47,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_47,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_48,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_48,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_49,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_49,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_50,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_50,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_51,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_51,False,,1,1,1.0,,,,1,delight,,tia,,,,,,
d_nikke_tia_04_52,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_52,False,,black,black,1.0,none,,,,,,,,,,,,
d_nikke_tia_04_53,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_53,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_54,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_54,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_tia_04_55,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_55,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_56,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_56,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_tia_04_57,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_57,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_58,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_58,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_59,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_59,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_60,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_60,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_61,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_61,False,,black,black,1.0,,,,,,,,sfx_scn_autodooropen,,,,,
d_nikke_tia_04_62,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_62,True,,1,1,1.0,bgm_story_whosdumber,tia,tia,1,idle,,,,,,,,
d_nikke_tia_04_63,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_63,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_64,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_64,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_65,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_65,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_66,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_66,False,,1,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_67,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_67,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_68,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_68,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_69,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_69,True,,10,10,1.0,,tia,,1,think,,,,,,,,
d_nikke_tia_04_70,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_70,True,,10,10,1.0,,tia,,1,think,,,,,,,,
d_nikke_tia_04_71,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_71,False,,10,10,1.0,,,,1,think,,,,,,,,
d_nikke_tia_04_72,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_72,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_73,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_73,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_74,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_74,False,,black,black,1.0,,,,1,idle,,,sfx_scn_3shutter,,,,,
d_nikke_tia_04_75,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_75,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_76,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_76,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_77,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_77,True,,10,10,1.0,,tia,,1,idle,,,,,,,,
d_nikke_tia_04_78,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_78,False,,black,black,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_79,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_79,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_80,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_80,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_81,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_81,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_82,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_82,True,,1,1,1.0,,tia,,1,worry,,,,,,,,
d_nikke_tia_04_83,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_83,True,,1,1,1.0,,tia,,1,worry,,,,,,,,
d_nikke_tia_04_84,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_84,False,,1,1,1.0,,,,1,worry,,,,,,,,
d_nikke_tia_04_85,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_85,False,,black,black,1.0,none,,,1,idle,,,,,,,,
d_nikke_tia_04_86,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_86,False,,1,1,1.0,,,,1,idle,,,sfx_scn_autodooropen,,,,,
d_nikke_tia_04_87,d_nikke_tia_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_tia_04_87,True,,1,2,1.0,bgm_story_backtonormal,anchor,,1,idle,,,,anchor,3,idle,,
d_nikke_tia_04_88,d_nikke_tia_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_tia_04_88,True,,2,2,1.0,,anchor,,1,idle,,,,,3,idle,,
d_nikke_tia_04_89,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_89,True,,2,2,1.0,,tia,,1,idle,,,,,3,idle,,
d_nikke_tia_04_90,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_90,False,,2,2,1.0,,,,1,idle,,,,,3,idle,,
d_nikke_tia_04_91,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_91,True,,2,2,1.0,,tia,,1,idle,,,,,3,idle,,
d_nikke_tia_04_92,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_92,False,,2,2,1.0,,,,1,idle,,,,,3,idle,,
d_nikke_tia_04_93,d_nikke_tia_04,Speech,anchor,Locale_NikkeEpisode:d_nikke_tia_04_93,True,,2,2,1.0,,anchor,,1,idle,,,,,3,idle,,
d_nikke_tia_04_94,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_94,True,,2,2,1.0,,tia,,1,idle,,,,,3,idle,,
d_nikke_tia_04_95,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_95,False,,2,2,1.0,,,,1,idle,,,,,3,idle,,
d_nikke_tia_04_96,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_96,False,,2,2,1.0,,,,1,idle,,,,,3,idle,,
d_nikke_tia_04_97,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_97,True,,2,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_98,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_98,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_99,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_99,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_100,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_100,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_101,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_101,False,,1,1,1.0,,,,1,think,,,,,3,idle,,
d_nikke_tia_04_102,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_102,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_103,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_103,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_104,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_104,True,,1,1,1.0,,tia,,1,think,,,,,3,idle,,
d_nikke_tia_04_105,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_105,False,,1,1,1.0,,,,1,think,,,,,3,idle,,
d_nikke_tia_04_106,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_106,True,,1,1,1.0,,tia,,1,sad,,,,,3,idle,,
d_nikke_tia_04_107,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_107,False,,black,black,1.0,,,,1,sad,,tia,sfx_scn_autodooropen,,3,idle,,
d_nikke_tia_04_108,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_108,True,,1,1,1.0,,tia,,,,,,,,3,idle,,
d_nikke_tia_04_109,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_109,False,,1,1,1.0,,,,,,,,,,3,idle,,
d_nikke_tia_04_110,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_110,False,,black,black,1.0,,,,,,,,,,3,idle,,
d_nikke_tia_04_111,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_111,False,,black,black,1.0,,,,,,,,,,3,idle,,
d_nikke_tia_04_112,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_112,False,,black,black,1.0,none,,,,,,,,,3,idle,,
d_nikke_tia_04_113,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_113,False,,1,1,1.0,,,,,,,,,,3,idle,anchor,black
d_nikke_tia_04_114,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_114,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_115,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_115,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_tia_04_116,d_nikke_tia_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_tia_04_116,False,,black,black,1.0,,,,,,,,sfx_scn_autodooropen,,,,,
d_nikke_tia_04_117,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_117,True,,1,1,1.0,bgm_story_shapeofhope,tia,tia,1,idle,,,,,,,,
d_nikke_tia_04_118,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_118,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_119,d_nikke_tia_04,Self,Self,Locale_NikkeEpisode:d_nikke_tia_04_119,False,,1,1,1.0,,,,1,idle,,,,,,,,
d_nikke_tia_04_120,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_120,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_121,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_121,True,,1,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_122,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_122,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_123,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_123,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_124,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_124,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_125,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_125,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_126,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_126,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_127,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_127,True,,10,10,1.0,,tia,,1,sad,,,,,,,,
d_nikke_tia_04_128,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_128,True,,10,10,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_129,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_129,True,,10,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_130,d_nikke_tia_04,Speech,tia,Locale_NikkeEpisode:d_nikke_tia_04_130,True,,1,1,1.0,,tia,,1,delight,,,,,,,,
d_nikke_tia_04_131,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_131,False,,1,1,1.0,,,,1,delight,,tia,,,,,,
d_nikke_tia_04_132,d_nikke_tia_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_tia_04_132,False,,1,1,1.0,,,,,,,,,,,,,
