id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_nikke_bready_02_42,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_42,True,,S_200,S_200,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_43,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_43,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_44,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_44,False,,S_200,S_200,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_45,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_45,True,,S_200,S_20,1.3,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_46,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_46,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_47,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_47,False,,S_20,S_20,1.0,,,bready,,,2,idle,,,,,
d_nikke_bready_02_48,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_48,False,,black,black,1.3,sfx_scn_chewingoddfood,,bready,,,2,idle,,,,,
d_nikke_bready_02_49,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_49,False,,black,black,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_50,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_50,False,,black,black,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_51,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_51,True,,S_1300,S_1300,1.0,,,bready,bready,,2,shy,,,,,
d_nikke_bready_02_52,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_52,True,,S_1300,S_1300,1.0,,,bready,bready,,2,shy,,,,,
d_nikke_bready_02_53,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_53,False,,S_1300,S_1300,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_54,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_54,False,,S_1300,S_1300,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_55,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_55,False,,S_1300,S_1300,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_56,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_56,True,,S_1300,S_200,2.0,,,bready,bready,,2,shy,,,,,
d_nikke_bready_02_57,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_57,False,,S_200,S_200,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_58,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_58,False,,black,black,1.0,,,bready,,,2,shy,,,,,
d_nikke_bready_02_59,d_nikke_bready_02,Monologue,Locale_NikkeEpisode:d_nikke_bready_02_59,False,,black,black,1.0,,,bready,,bready,2,shy,,,,,
d_nikke_bready_02_60,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_60,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_61,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_61,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_62,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_62,True,,S_20,S_20,1.0,,,bready,bready,,2,delight,,,,,
d_nikke_bready_02_63,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_63,False,,S_20,S_20,1.0,,,bready,,,2,delight,,,,,
d_nikke_bready_02_64,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_64,False,,S_20,2,1.3,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_65,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_65,True,,2,2,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_66,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_66,True,,2,2,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_67,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_67,True,,2,2,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_68,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_68,False,,2,2,1.0,,,bready,,,2,idle,,,,,
d_nikke_bready_02_69,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_69,True,,2,2,1.0,,,bready,bready,,2,idle,,,,,
d_nikke_bready_02_70,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_70,False,,2,2,1.0,sfx_scn_autodooropen,none,bready,,,2,idle,bready,,,,
d_nikke_bready_02_71,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_71,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_72,d_nikke_bready_02,Self,Locale_NikkeEpisode:d_nikke_bready_02_72,False,,2,2,1.0,,,bready,,,,,,,,,
d_nikke_bready_02_73,d_nikke_bready_02,Narration,Locale_NikkeEpisode:d_nikke_bready_02_73,False,Kitchen,black,black,1.0,sfx_scn_autodooropen,,bready,,bready,2,sad,,crust,12,idle,black
d_nikke_bready_02_74,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_74,True,,1,1,1.0,,bgm_story_overjoy,crust,crust,,2,sad,,,12,idle,
d_nikke_bready_02_75,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_75,True,,1,1,1.0,,,bready,bready,,2,sad,,,12,idle,
d_nikke_bready_02_76,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_76,True,,1,1,1.0,,,bready,bready,,2,sad,,,12,idle,
d_nikke_bready_02_77,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_77,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,think,
d_nikke_bready_02_78,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_78,True,,1,1,1.0,,,bready,bready,,2,sad,,,12,think,
d_nikke_bready_02_79,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_79,True,,1,1,1.0,,,bready,bready,,2,sad,,,12,think,
d_nikke_bready_02_80,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_80,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,sad,
d_nikke_bready_02_81,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_81,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,sad,
d_nikke_bready_02_82,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_82,True,,1,1,1.0,,,bready,bready,,2,sad,,,12,sad,
d_nikke_bready_02_83,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_83,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,think,
d_nikke_bready_02_84,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_84,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,idle,
d_nikke_bready_02_85,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_85,True,,1,1,1.0,,,crust,crust,,2,sad,,,12,idle,
d_nikke_bready_02_86,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_86,True,,1,S_20,1.3,,,bready,bready,,2,sad,,,12,idle,
d_nikke_bready_02_87,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_87,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,12,idle,
d_nikke_bready_02_88,d_nikke_bready_02,Speech,Locale_NikkeEpisode:d_nikke_bready_02_88,True,,S_20,S_20,1.0,,,bready,bready,,2,idle,,,12,idle,
