id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_clay_05_11,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_11,True,,100,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_12,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_12,True,,100,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_13,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_13,True,,100,10,1.0,,,,,,1,sad,,,,
d_nikke_clay_05_14,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_14,True,,10,10,1.0,,,,,,1,sad,,,,
d_nikke_clay_05_15,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_15,False,,10,10,1.0,,,,,,1,sad,,,,
d_nikke_clay_05_16,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_16,True,,10,10,1.0,,,,,,1,special,,,,
d_nikke_clay_05_17,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_17,True,,10,10,1.0,,,,,,1,special,,,,
d_nikke_clay_05_18,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_18,False,,10,10,1.0,,,,,,1,special,,,,
d_nikke_clay_05_19,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_19,False,,10,10,1.0,,,,,,1,special,,,,
d_nikke_clay_05_20,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_20,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_21,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_21,False,NikkeRoom,10,10,1.0,bgm_story_leisuretime,black,,,,1,idle,,,,
d_nikke_clay_05_22,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_22,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_23,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_23,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_24,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_24,False,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_25,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_25,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_26,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_26,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_27,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_27,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_28,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_28,True,,10,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_29,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_29,True,,100,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_30,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_30,True,,100,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_31,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_31,False,,100,100,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_32,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_32,True,,100,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_33,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_33,True,,10,10,1.0,,,,,,1,surprise,,,,
d_nikke_clay_05_34,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_34,False,,10,10,1.0,,,,,,1,surprise,,,,
d_nikke_clay_05_35,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_35,False,,10,10,1.0,,,,,,1,surprise,,,,
d_nikke_clay_05_36,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_36,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_37,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_37,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_38,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_38,False,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_39,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_39,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_40,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_40,False,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_41,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_41,True,,10,10,1.0,,,,,,1,shy,,,,
d_nikke_clay_05_42,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_42,True,,10,100,1.0,,,,,,1,shy,,,,
d_nikke_clay_05_43,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_43,False,,100,100,1.0,,,,,,1,shy,,,,
d_nikke_clay_05_44,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_44,True,,100,10,1.0,,,,,,1,shy,,,,
d_nikke_clay_05_45,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_45,False,,10,10,1.0,,,,,,1,shy,,,,
d_nikke_clay_05_46,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_46,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_47,d_nikke_clay_05,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_05_47,False,,black,black,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_48,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_48,False,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_49,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_49,False,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_50,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_50,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_51,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_51,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_52,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_52,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_53,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_53,True,,10,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_54,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_54,True,,100,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_55,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_55,True,,100,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_56,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_56,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_57,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_57,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_58,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_58,True,,10,10,1.0,,black,,,,1,delight,,,,
d_nikke_clay_05_59,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_59,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_60,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_60,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_61,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_61,True,,10,10,1.0,,,,,,1,idle,,,,
d_nikke_clay_05_62,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_62,True,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_63,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_63,False,,10,10,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_64,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_64,True,,10,100,1.0,,,,,,1,surprise,,,,
d_nikke_clay_05_65,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_65,True,,100,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_66,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_66,True,,100,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_67,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_67,False,,100,100,1.0,,,,,,1,special,,,,
d_nikke_clay_05_68,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_68,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_69,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_69,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_70,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_70,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_71,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_71,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_72,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_72,False,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_73,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_73,True,,100,100,1.0,,,,,,1,delight,,,,
d_nikke_clay_05_74,d_nikke_clay_05,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_05_74,False,Park,black,black,1.0,,,,,,,,clay,,,
d_nikke_clay_05_75,d_nikke_clay_05,Speech,audienceman,audienceman,Locale_NikkeEpisode:d_nikke_clay_05_75,False,,120,120,1.0,bgm_story_girlstalk,black,sfx_scn_bigcrowdcheer,Low_2,,,,,,,
d_nikke_clay_05_76,d_nikke_clay_05,Speech,audienceman,audiencewoman,Locale_NikkeEpisode:d_nikke_clay_05_76,False,,20,20,1.0,,,,,,,,,,,
d_nikke_clay_05_77,d_nikke_clay_05,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_05_77,False,SchoolCorridor,black,black,1.0,,,,,clay,2,special,,bay,12,sad
d_nikke_clay_05_78,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_78,True,,1,1,1.0,,,,,,2,special,,,12,sad
d_nikke_clay_05_79,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_79,True,,1,1,1.0,,,,,,2,special,,,12,sad
d_nikke_clay_05_80,d_nikke_clay_05,Self,,,Locale_NikkeEpisode:d_nikke_clay_05_80,False,,1,1,1.0,,,,,,2,special,,,12,sad
d_nikke_clay_05_81,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_81,True,,1,1,1.0,,,,,,2,delight,,,12,sad
d_nikke_clay_05_82,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_82,True,,1,1,1.0,,,,,,2,delight,,,12,idle
d_nikke_clay_05_83,d_nikke_clay_05,Self,bay,,Locale_NikkeEpisode:d_nikke_clay_05_83,False,,1,1,1.0,,,,,,2,delight,,,12,idle
d_nikke_clay_05_84,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_84,True,,1,1,1.0,,,,,,2,delight,,,12,surprise
d_nikke_clay_05_85,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_85,True,,1,1,1.0,,,,,,2,delight,,,12,surprise
d_nikke_clay_05_86,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_86,True,,1,1,1.0,,,,,,2,delight,,,12,idle
d_nikke_clay_05_87,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_87,True,,1,20,1.0,,,,,,2,idle,,,12,idle
d_nikke_clay_05_88,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_88,True,,20,20,1.0,,,,,,2,idle,,,12,idle
d_nikke_clay_05_89,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_89,True,,20,20,1.0,,,,,,2,idle,,,12,idle
d_nikke_clay_05_90,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_90,True,,20,120,1.0,,,,,,2,idle,,,12,delight
d_nikke_clay_05_91,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_91,True,,120,120,1.0,,,,,,2,idle,,,12,delight
d_nikke_clay_05_92,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_92,True,,120,120,1.0,,,,,,2,idle,,,12,delight
d_nikke_clay_05_93,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_93,True,,120,1,1.0,,,,,,2,sad,,,12,delight
d_nikke_clay_05_94,d_nikke_clay_05,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_05_94,True,,black,black,1.0,,,,Low_2,,2,sad,,,12,delight
d_nikke_clay_05_95,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_95,True,,1,1,1.0,,,,,,2,sad,,,12,worry_02
d_nikke_clay_05_96,d_nikke_clay_05,Speech,bay,bay,Locale_NikkeEpisode:d_nikke_clay_05_96,True,,1,1,1.0,,,,,,2,sad,,,12,worry_02
d_nikke_clay_05_97,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_97,True,,1,1,1.0,,,,,,2,delight,,,12,worry_02
d_nikke_clay_05_98,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_98,True,,1,20,1.0,,,,,,2,idle,,,12,worry_02
d_nikke_clay_05_99,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_99,True,,20,20,1.0,,,,,,2,idle,,,12,worry_02
d_nikke_clay_05_100,d_nikke_clay_05,Self,clay,,Locale_NikkeEpisode:d_nikke_clay_05_100,False,,20,20,1.0,,,,,,2,idle,,,12,worry_02
d_nikke_clay_05_101,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_101,True,,20,20,1.0,,,,,,2,delight,,,12,worry_02
d_nikke_clay_05_102,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_102,True,,20,20,1.0,,,,,,2,shy,,,12,worry_02
d_nikke_clay_05_103,d_nikke_clay_05,Self,clay,,Locale_NikkeEpisode:d_nikke_clay_05_103,False,,20,20,1.0,,,,,,2,shy,,,12,worry_02
d_nikke_clay_05_104,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_104,False,,20,200,1.0,,,,,,2,special,,,12,worry_02
d_nikke_clay_05_105,d_nikke_clay_05,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_05_105,True,,200,200,1.0,,,,,,2,delight,,,12,worry_02
