id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,set_camera_shake
d_nikke_elegg_01_15,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_15,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_16,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_16,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_17,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_17,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_18,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_18,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_19,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_19,True,1,idle,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_20,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_20,True,1,idle,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_21,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_21,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_22,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_22,True,1,surprise,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_23,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_23,False,1,idle,,S_10,S_10,1.0,,,sugar,,,,,,,,,
d_nikke_elegg_01_24,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_24,True,1,surprise,,S_10,S_10,1.0,,,sugar,sugar,,,,,,,,
d_nikke_elegg_01_25,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_25,False,1,idle,ShoppingMall,black,black,1.0,,,sugar,,rupee,sugar,yan,3,etc,,,
d_nikke_elegg_01_26,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_26,True,1,idle,,2,2,1.0,bgm_story_herecomestrouble,,yan,yan,,,,3,etc,black,,
d_nikke_elegg_01_27,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_27,True,1,idle,,2,S_30,1.0,,,yan,yan,,,,3,idle,,,
d_nikke_elegg_01_28,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_28,True,1,surprise,,S_30,L_10,0.7,,,rupee,rupee,,,,3,idle,,,
d_nikke_elegg_01_29,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_29,True,1,surprise,,L_10,L_10,1.0,,,rupee,rupee,,,,3,idle,,,
d_nikke_elegg_01_30,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_30,True,1,surprise,,L_10,2,1.0,,,yan,yan,,,,3,surprise,,,
d_nikke_elegg_01_31,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_31,False,1,surprise,,2,2,1.0,,,yan,,,,,3,surprise,,,
d_nikke_elegg_01_32,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_32,False,1,idle,Station,black,black,1.0,,,,,,rupee,,3,surprise,,yan,
d_nikke_elegg_01_33,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_33,True,1,idle,,1,1,1.0,,,diesel,diesel,diesel,,,,,,,
d_nikke_elegg_01_34,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_34,True,1,worry,,1,10,1.0,,,diesel,diesel,,,,,,,,
d_nikke_elegg_01_35,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_35,True,1,worry,,10,10,1.0,,,diesel,diesel,,,,,,,,
d_nikke_elegg_01_36,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_36,True,1,worry,,10,10,1.0,,,diesel,diesel,,,,,,,,
d_nikke_elegg_01_37,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_37,True,1,worry,,10,10,1.0,,,diesel,diesel,,,,,,,,
d_nikke_elegg_01_38,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_38,True,1,worry,,10,10,1.0,,,diesel,diesel,,,,,,,,
d_nikke_elegg_01_39,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_39,False,1,worry,,10,10,1.0,,,,,,,,,,,,
d_nikke_elegg_01_40,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_40,False,1,,,black,black,1.0,,,,,,diesel,,,,,,
d_nikke_elegg_01_41,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_41,False,1,,NikkeRoom,black,black,1.0,,,,,,,,,,,,
d_nikke_elegg_01_42,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_42,False,1,,,black,black,1.0,,,,,,,,,,,,
d_nikke_elegg_01_43,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_43,False,1,,,1,1,1.0,,,,,,,,,,black,,
d_nikke_elegg_01_44,d_nikke_elegg_01,Narration,Locale_NikkeEpisode:d_nikke_elegg_01_44,False,1,,,1,1,1.0,,sfx_scn_sonicexplode,,,,,,,,,,Low_2
d_nikke_elegg_01_45,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_45,False,1,,,1,1,1.0,,,,,,,,,,,,
d_nikke_elegg_01_46,d_nikke_elegg_01,Narration,Locale_NikkeEpisode:d_nikke_elegg_01_46,False,1,,,1,1,1.0,,sfx_scn_sonicexplode,,,,,,,,,,Low_2
d_nikke_elegg_01_47,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_47,False,1,,,1,1,1.0,,,,,,,,,,,,
d_nikke_elegg_01_48,d_nikke_elegg_01,Narration,Locale_NikkeEpisode:d_nikke_elegg_01_48,False,1,,CommanderRoom,1,1,1.0,bgm_story_orangepop,sfx_scn_autodooropen,,,,,,,,black,,
d_nikke_elegg_01_49,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_49,True,1,idle,,1,1,1.0,,,elegg,elegg,elegg,,,,,,,
d_nikke_elegg_01_50,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_50,True,1,idle,,1,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_51,d_nikke_elegg_01,Monologue,Locale_NikkeEpisode:d_nikke_elegg_01_51,False,1,idle,,S_10,S_10,1.0,,,,,,,,,,,,
d_nikke_elegg_01_52,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_52,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_53,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_53,True,1,delight,,S_10,S_100,0.7,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_54,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_54,True,1,delight,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_55,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_55,True,1,delight,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_56,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_56,True,1,idle,,S_100,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_57,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_57,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_58,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_58,True,1,delight,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_59,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_59,False,1,idle,,S_10,S_10,1.0,,,elegg,,,,,,,,,
d_nikke_elegg_01_60,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_60,True,1,surprise,,S_10,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_61,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_61,True,1,surprise,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_62,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_62,False,1,idle,,S_100,S_100,1.0,,,elegg,,,,,,,,,
d_nikke_elegg_01_63,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_63,True,1,idle,,S_100,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_64,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_64,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_65,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_65,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_66,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_66,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_67,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_67,False,1,idle,,S_10,S_10,1.0,,,elegg,,,,,,,,,
d_nikke_elegg_01_68,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_68,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_69,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_69,True,1,idle,,S_10,S_10,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_70,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_70,True,1,idle,,S_10,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_71,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_71,True,1,idle,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_72,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_72,False,1,idle,,S_100,S_100,1.0,,,elegg,,,,,,,,,
d_nikke_elegg_01_73,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_73,True,1,idle,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_74,d_nikke_elegg_01,Self,Locale_NikkeEpisode:d_nikke_elegg_01_74,False,1,idle,,S_100,S_100,1.0,,,elegg,,,,,,,,,
d_nikke_elegg_01_75,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_75,True,1,idle,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_76,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_76,True,1,idle,,S_100,S_100,1.0,,,elegg,elegg,,,,,,,,
d_nikke_elegg_01_77,d_nikke_elegg_01,Speech,Locale_NikkeEpisode:d_nikke_elegg_01_77,True,1,delight,,S_100,S_100,0.7,,,elegg,elegg,,,,,,,,
