id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_sin_03_16,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_16,False,,100,100,1.0,,d_nikke_sin_03_21,,,,1,shy,,,,,
d_nikke_sin_03_17,d_nikke_sin_03,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_sin_03_17,True,JailCorridor,1,1,1.0,,,Grey,black,,1,shy,sin,mana,1,idle,
d_nikke_sin_03_18,d_nikke_sin_03,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_sin_03_18,True,,1,1,1.0,,,Grey,,,1,shy,,,1,idle,
d_nikke_sin_03_19,d_nikke_sin_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_sin_03_19,False,Jail,100,100,1.0,,,,black,sin,1,shy,,,1,idle,mana
d_nikke_sin_03_20,d_nikke_sin_03,Self,,Self,Locale_NikkeEpisode:d_nikke_sin_03_20,False,,100,100,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_21,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_21,True,,100,100,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_22,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_22,False,,100,100,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_23,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_23,True,,100,10,2.0,,,,,,1,idle,,,,,
d_nikke_sin_03_24,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_24,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_25,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_25,False,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_26,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_26,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_27,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_27,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_28,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_28,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_29,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_29,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_30,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_30,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_31,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_31,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_32,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_32,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_33,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_33,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_34,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_34,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_35,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_35,True,,10,10,1.0,,,,,,1,smile,,,,,
d_nikke_sin_03_36,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_36,False,,10,10,1.0,,,,,,1,smile,,,,,
d_nikke_sin_03_37,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_37,True,,10,10,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_38,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_38,True,,10,10,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_39,d_nikke_sin_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_sin_03_39,False,JailCorridor,1,1,1.0,none,,,black,,1,idle,sin,,,,
d_nikke_sin_03_40,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_40,True,,1,1,1.0,bgm_story_kneeldownfools,,,,sin,1,smile,,,,,
d_nikke_sin_03_41,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_41,True,,1,12,1.0,,,,,,1,delight,,thinprisoner,13,idle,
d_nikke_sin_03_42,d_nikke_sin_03,Speech,thinprisoner,thinprisoner,Locale_NikkeEpisode:d_nikke_sin_03_42,True,,12,12,1.5,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_43,d_nikke_sin_03,Speech,thinprisoner,thinprisoner,Locale_NikkeEpisode:d_nikke_sin_03_43,True,,12,12,1.0,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_44,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_44,True,,12,10,2.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_45,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_45,True,,10,10,1.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_46,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_46,True,,10,10,1.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_47,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_47,True,,10,10,1.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_48,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_48,False,,10,10,1.0,,d_nikke_sin_03_50,,,,1,shy,,,13,idle,
d_nikke_sin_03_49,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_49,False,,10,10,1.0,,d_nikke_sin_03_50,,,,1,shy,,,13,idle,
d_nikke_sin_03_50,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_50,True,,10,100,1.0,,,,,,1,smile,,,13,idle,
d_nikke_sin_03_51,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_51,True,,100,100,1.0,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_52,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_52,True,,100,100,1.0,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_53,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_53,True,,100,100,1.0,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_54,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_54,False,,100,100,1.0,,,,,,1,delight,,,13,idle,
d_nikke_sin_03_55,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_55,True,,100,10,2.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_56,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_56,True,,10,10,1.0,,,,,,1,shy,,,13,idle,
d_nikke_sin_03_57,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_57,False,,10,10,1.0,,d_nikke_sin_03_59,,,,1,shy,,,13,idle,
d_nikke_sin_03_58,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_58,False,,10,10,1.0,,d_nikke_sin_03_59,,,,1,shy,,,13,idle,
d_nikke_sin_03_59,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_59,True,,10,10,1.0,,,,,,1,idle,,,13,idle,
d_nikke_sin_03_60,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_60,True,,10,10,1.0,,,,,,1,smile,,,13,idle,
d_nikke_sin_03_61,d_nikke_sin_03,Narration,sin,Narration,Locale_NikkeEpisode:d_nikke_sin_03_61,False,JailCorridor,1,1,1.0,,,,black,,1,idle,sin,,13,idle,thinprisoner
d_nikke_sin_03_62,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_62,True,,1,1,1.0,,,,,sin,1,smile,,fatprisoner,3,idle,
d_nikke_sin_03_63,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_63,True,,1,2,1.5,,,,,,1,delight,,,3,idle,
d_nikke_sin_03_64,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_64,True,,2,2,1.0,,,,,,1,delight,,,3,idle,
d_nikke_sin_03_65,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_65,False,,2,2,1.0,,,,,,1,delight,,,3,idle,
d_nikke_sin_03_66,d_nikke_sin_03,Speech,fatprisoner,fatprisoner,Locale_NikkeEpisode:d_nikke_sin_03_66,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_67,d_nikke_sin_03,Speech,fatprisoner,fatprisoner,Locale_NikkeEpisode:d_nikke_sin_03_67,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_68,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_68,True,,2,2,1.0,,,,,,1,surprise,,,3,idle,
d_nikke_sin_03_69,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_69,True,,2,2,1.0,,,,,,1,surprise,,,3,idle,
d_nikke_sin_03_70,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_70,True,,2,2,1.0,,,,,,1,shy,,,3,idle,
d_nikke_sin_03_71,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_71,True,,2,2,1.0,,,,,,1,shy,,,3,idle,
d_nikke_sin_03_72,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_72,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_73,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_73,True,,2,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_74,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_74,False,,10,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_75,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_75,True,,10,10,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_76,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_76,True,,10,10,1.0,,,,,,1,shy,,,3,idle,
d_nikke_sin_03_77,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_77,False,,10,10,1.0,,,,,,1,shy,,,3,idle,
d_nikke_sin_03_78,d_nikke_sin_03,Speech,fatprisoner,fatprisoner,Locale_NikkeEpisode:d_nikke_sin_03_78,True,,10,30,2.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_79,d_nikke_sin_03,Speech,fatprisoner,fatprisoner,Locale_NikkeEpisode:d_nikke_sin_03_79,True,,30,30,1.0,,,,,,1,idle,,,3,idle,
d_nikke_sin_03_80,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_80,True,,10,10,1.0,,,,,,1,delight,,,3,idle,
d_nikke_sin_03_81,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_81,True,,10,10,1.0,,,,,,1,delight,,,3,idle,
d_nikke_sin_03_82,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_82,True,,10,100,1.0,,,,,,1,smile,,,3,idle,
d_nikke_sin_03_83,d_nikke_sin_03,Narration,sin,Narration,Locale_NikkeEpisode:d_nikke_sin_03_83,False,Jail,1,1,1.0,,,,black,,1,smile,sin,,3,idle,fatprisoner
d_nikke_sin_03_84,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_84,True,,10,10,0.5,,,,,sin,1,surprise,,,,,
d_nikke_sin_03_85,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_85,True,,10,10,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_86,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_86,True,,10,10,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_87,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_87,True,,10,10,1.0,,,,,,1,smile,,,,,
d_nikke_sin_03_88,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_88,False,,10,10,1.0,,,,,,1,smile,,,,,
d_nikke_sin_03_89,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_89,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_90,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_90,True,,10,1,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_91,d_nikke_sin_03,Narration,sin,Narration,Locale_NikkeEpisode:d_nikke_sin_03_91,False,JailCorridor,1,1,1.0,,,,black,,1,delight,sin,,,,
d_nikke_sin_03_92,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_92,True,,1,1,1.0,,,,,sin,1,surprise,,,,,
d_nikke_sin_03_93,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_93,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_94,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_94,True,,1,1,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_95,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_95,True,,1,10,0.4,,,,,,1,surprise,,,,,
d_nikke_sin_03_96,d_nikke_sin_03,Self,sin,Self,Locale_NikkeEpisode:d_nikke_sin_03_96,False,,10,10,1.0,,,,,,1,surprise,,,,,
d_nikke_sin_03_97,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_97,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_98,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_98,True,,10,10,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_99,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_99,False,,10,10,1.0,,d_nikke_sin_03_101,,,,1,shy,,,,,
d_nikke_sin_03_100,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_100,False,,10,10,1.0,,d_nikke_sin_03_101,,,,1,shy,,,,,
d_nikke_sin_03_101,d_nikke_sin_03,Narration,sin,Narration,Locale_NikkeEpisode:d_nikke_sin_03_101,False,MachineRoom,1,1,1.0,,,,black,,1,shy,sin,,,,
d_nikke_sin_03_102,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_102,True,,1,1,1.0,,,,,sin,1,smile,,,,,
d_nikke_sin_03_103,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_103,False,,1,1,1.0,,d_nikke_sin_03_106,,,,1,smile,,,,,
d_nikke_sin_03_104,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_104,False,,1,1,1.0,,d_nikke_sin_03_106,,,,1,smile,,,,,
d_nikke_sin_03_105,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_105,False,,1,1,1.0,,d_nikke_sin_03_106,,,,1,smile,,,,,
d_nikke_sin_03_106,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_106,True,,1,1,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_107,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_107,True,,1,1,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_108,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_108,True,,1,10,2.0,,,,,,1,idle,,,,,
d_nikke_sin_03_109,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_109,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_110,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_110,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_111,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_111,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_sin_03_112,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_112,False,,10,10,1.0,,d_nikke_sin_03_115,,,,1,idle,,,,,
d_nikke_sin_03_113,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_113,False,,10,10,1.0,,d_nikke_sin_03_116,,,,1,idle,,,,,
d_nikke_sin_03_114,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_114,False,,10,10,1.0,,d_nikke_sin_03_117,,,,1,idle,,,,,
d_nikke_sin_03_115,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_115,True,,10,10,1.0,,d_nikke_sin_03_118,,,,1,delight,,,,,
d_nikke_sin_03_116,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_116,True,,10,10,1.0,,d_nikke_sin_03_118,,,,1,delight,,,,,
d_nikke_sin_03_117,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_117,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_sin_03_118,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_118,True,,10,1,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_119,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_119,True,,1,1,1.0,,,,,,1,shy,,,,,
d_nikke_sin_03_120,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_120,False,,1,1,1.0,,d_nikke_sin_03_123,,,,1,shy,,,,,
d_nikke_sin_03_121,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_121,False,,1,1,1.0,,d_nikke_sin_03_123,,,,1,shy,,,,,
d_nikke_sin_03_122,d_nikke_sin_03,Choice,sin,,Locale_NikkeEpisode:d_nikke_sin_03_122,False,,1,1,1.0,,d_nikke_sin_03_123,,,,1,shy,,,,,
d_nikke_sin_03_123,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_123,True,,1,10,0.7,,,,,,1,smile,,,,,
d_nikke_sin_03_124,d_nikke_sin_03,Speech,sin,sin,Locale_NikkeEpisode:d_nikke_sin_03_124,True,,10,100,0.7,,,,,,1,smile,,,,,
