id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_nikke_noise_02_21,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_21,True,,1,idle,,100,10,1.0,,
d_nikke_noise_02_22,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_22,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_23,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_23,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_24,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_24,True,,1,idle,,10,10,1.0,none,
d_nikke_noise_02_25,d_nikke_noise_02,Choice,,,Locale_NikkeEpisode:d_nikke_noise_02_25,False,,1,idle,,10,10,1.0,,d_nikke_noise_02_27
d_nikke_noise_02_26,d_nikke_noise_02,Choice,,,Locale_NikkeEpisode:d_nikke_noise_02_26,False,,1,idle,,10,10,1.0,,d_nikke_noise_02_27
d_nikke_noise_02_27,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_27,False,,1,angry,,10,1,1.0,bgm_story_herecomestrouble,
d_nikke_noise_02_28,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_28,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_29,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_29,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_30,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_30,False,,1,angry,,1,1,1.0,,
d_nikke_noise_02_31,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_31,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_32,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_32,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_33,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_33,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_34,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_34,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_35,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_35,True,,1,sad,,1,100,1.0,,
d_nikke_noise_02_36,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_36,False,,1,sad,,100,100,1.0,,
d_nikke_noise_02_37,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_37,True,,1,idle,,100,100,1.0,none,
d_nikke_noise_02_38,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_38,True,,1,idle,,100,100,1.0,,
d_nikke_noise_02_39,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_39,True,,1,idle,,100,100,1.0,,
d_nikke_noise_02_40,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_40,True,,1,sad,,100,10,1.0,,
d_nikke_noise_02_41,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_41,True,,1,sad,,10,10,1.0,,
d_nikke_noise_02_42,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_42,True,,1,sad,,10,10,1.0,,
d_nikke_noise_02_43,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_43,False,,1,sad,,10,10,1.0,,
d_nikke_noise_02_44,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_44,True,,1,angry,,10,10,1.0,bgm_story_herecomestrouble,
d_nikke_noise_02_45,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_45,False,,1,angry,,10,10,1.0,,
d_nikke_noise_02_46,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_46,False,,1,angry,,10,10,1.0,,
d_nikke_noise_02_47,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_47,True,,1,angry,,10,100,1.0,,
d_nikke_noise_02_48,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_48,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_49,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_49,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_50,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_50,True,,1,angry,,100,100,1.0,,
d_nikke_noise_02_51,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_51,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_52,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_52,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_53,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_53,True,,1,angry,,100,1,1.0,,
d_nikke_noise_02_54,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_54,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_55,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_55,False,,1,angry,,1,1,1.0,,
d_nikke_noise_02_56,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_56,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_57,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_57,True,,1,sad,,1,1,1.0,,
d_nikke_noise_02_58,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_58,True,,1,idle,,1,1,1.0,,
d_nikke_noise_02_59,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_59,True,,1,idle,,1,1,1.0,,
d_nikke_noise_02_60,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_60,False,,1,idle,,1,1,1.0,,
d_nikke_noise_02_61,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_61,True,,1,angry,,1,100,1.0,,
d_nikke_noise_02_62,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_62,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_63,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_63,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_64,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_64,True,,1,shy,,100,10,1.0,,
d_nikke_noise_02_65,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_65,True,,1,shy,,10,10,1.0,,
d_nikke_noise_02_66,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_66,False,,1,think,,10,10,1.0,,
d_nikke_noise_02_67,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_67,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_68,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_68,False,,1,idle,,10,10,1.0,,
d_nikke_noise_02_69,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_69,False,,1,idle,,10,10,1.0,,
d_nikke_noise_02_70,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_70,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_71,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_71,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_72,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_72,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_73,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_73,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_74,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_74,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_75,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_75,True,,1,idle,,10,10,1.0,,
d_nikke_noise_02_76,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_76,False,,1,idle,,10,10,1.0,,
d_nikke_noise_02_77,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_77,True,,1,angry,,10,10,1.0,,
d_nikke_noise_02_78,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_78,True,,1,sad,,10,100,1.0,,
d_nikke_noise_02_79,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_79,True,,1,sad,,100,100,1.0,,
d_nikke_noise_02_80,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_80,False,,1,sad,,100,100,1.0,,
d_nikke_noise_02_81,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_81,True,,1,idle,,100,100,1.0,,
d_nikke_noise_02_82,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_82,False,,1,idle,,100,100,1.0,,
d_nikke_noise_02_83,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_83,True,,1,angry,,100,100,1.0,,
d_nikke_noise_02_84,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_84,True,,1,angry,,100,100,1.0,,
d_nikke_noise_02_85,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_85,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_86,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_86,False,,1,angry,,100,100,1.0,,
d_nikke_noise_02_87,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_87,False,,1,sad,,100,10,1.0,,
d_nikke_noise_02_88,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_88,True,,1,sad,,10,10,1.0,,
d_nikke_noise_02_89,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_89,False,,1,sad,,10,10,1.0,,
d_nikke_noise_02_90,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_90,True,,1,angry,,10,10,1.0,,
d_nikke_noise_02_91,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_91,False,,1,angry,,10,10,1.0,,
d_nikke_noise_02_92,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_92,False,,1,angry,,10,1,1.0,,
d_nikke_noise_02_93,d_nikke_noise_02,Self,,Self,Locale_NikkeEpisode:d_nikke_noise_02_93,False,,1,angry,,1,1,1.0,,
d_nikke_noise_02_94,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_94,False,,1,angry,,1,1,1.0,none,
d_nikke_noise_02_95,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_95,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_96,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_96,True,,1,angry,,1,1,1.0,,
d_nikke_noise_02_97,d_nikke_noise_02,Speech,noise,noise,Locale_NikkeEpisode:d_nikke_noise_02_97,True,,1,angry,,1,100,1.0,,
