id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target
treasurestory_milk_03_27,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_27,False,,S_300,S_300,1.0,,milk,,3,idle,,,
treasurestory_milk_03_28,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_28,True,,S_300,S_300,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_29,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_29,True,,S_300,S_30,1.0,,milk,,3,no,,milk,
treasurestory_milk_03_30,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_30,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_31,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_31,False,,S_30,S_30,1.0,bgm_intotheswarm,milk,,3,idle,,,
treasurestory_milk_03_32,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_32,True,,S_30,S_30,1.0,,milk,,3,good,,milk,
treasurestory_milk_03_33,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_33,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_34,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_34,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_35,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_35,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_36,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_36,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_37,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_37,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_38,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_38,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_39,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_39,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_40,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_40,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_41,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_41,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_42,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_42,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_43,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_43,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_44,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_44,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_45,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_45,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_46,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_46,True,,S_30,S_30,1.0,,milk,,3,idle,,milk,
treasurestory_milk_03_47,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_47,False,,S_30,S_30,1.0,,milk,,3,idle,,,
treasurestory_milk_03_48,treasurestory_milk_03,Monologue,Locale_NikkeEpisode:treasurestory_milk_03_48,False,,S_30,3,1.0,,milk,,3,idle,,,
treasurestory_milk_03_49,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_49,True,,3,3,1.0,,milk,,3,no,,milk,
treasurestory_milk_03_50,treasurestory_milk_03,Self,Locale_NikkeEpisode:treasurestory_milk_03_50,False,,3,3,1.0,,milk,,3,no,,,
treasurestory_milk_03_51,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_51,True,,3,3,1.0,,milk,,3,good,,milk,
treasurestory_milk_03_52,treasurestory_milk_03,Speech,Locale_NikkeEpisode:treasurestory_milk_03_52,True,,3,3,1.0,,milk,,3,good,,milk,
