id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,conversation_id
d_nikke_ce005_01_05_38,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_38,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_39,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_39,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_40,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_40,True,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_41,d_nikke_ce005_01_05,Self,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_41,False,,1,idle,,1,1,1.0,,,,
d_nikke_ce005_01_05_42,d_nikke_ce005_01_05,Narration,ce005_01,,Locale_NikkeEpisode:d_nikke_ce005_01_05_42,False,,1,idle,,1,1,1.0,,,white,
d_nikke_ce005_01_05_43,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_43,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_44,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_44,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_45,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_45,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_46,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_46,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_47,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_47,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_48,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_48,True,,1,shy,,1,1,1.0,,,,
d_nikke_ce005_01_05_49,d_nikke_ce005_01_05,Speech,ce005_01,ce005_01,Locale_NikkeEpisode:d_nikke_ce005_01_05_49,True,,1,delight,,1,1,1.0,,,,
