id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,conversation_id,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_exia_02_25,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_25,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_26,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_26,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_27,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_27,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_28,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_28,False,,10,10,1.0,,exia,,d_nikke_exia_02_30,,,,,1,idle,
d_nikke_exia_02_29,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_29,False,,10,10,1.0,,exia,,d_nikke_exia_02_33,,,,,1,idle,
d_nikke_exia_02_30,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_30,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_31,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_31,True,,10,10,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_32,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_32,False,,10,10,1.0,,exia,,d_nikke_exia_02_33,,,,,1,idle,
d_nikke_exia_02_33,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_33,True,,10,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_34,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_34,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_35,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_35,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_36,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_36,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_37,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_37,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_38,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_38,False,,S_100,S_100,1.0,,exia,,d_nikke_exia_02_40,,,,,1,delight,
d_nikke_exia_02_39,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_39,False,,S_100,S_100,1.0,,exia,,d_nikke_exia_02_41,,,,,1,delight,
d_nikke_exia_02_40,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_40,True,,S_100,10,1.0,,exia,exia,d_nikke_exia_02_45,,,,,1,good,
d_nikke_exia_02_41,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_41,True,,S_100,10,1.0,,exia,exia,,,,,,1,good,
d_nikke_exia_02_42,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_42,True,,10,10,1.0,,exia,exia,,,,,,1,good,
d_nikke_exia_02_43,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_43,True,,10,10,1.0,,exia,exia,,,,,,1,good,
d_nikke_exia_02_44,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_44,True,,10,10,1.0,,exia,exia,d_nikke_exia_02_45,,,,,1,good,
d_nikke_exia_02_45,d_nikke_exia_02,Narration,Locale_NikkeEpisode:d_nikke_exia_02_45,False,,10,10,1.0,,exia,,,m_nikke_exia_02_01,sfx_scn_phonevibration,,,1,good,
d_nikke_exia_02_46,d_nikke_exia_02,Monologue,Locale_NikkeEpisode:d_nikke_exia_02_46,False,,10,10,1.0,none,,,,m_nikke_exia_02_02,,,,1,good,exia
d_nikke_exia_02_47,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_47,False,,10,10,1.0,bgm_story_whosdumber,exia,exia,,,,,exia,1,surprise,
d_nikke_exia_02_48,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_48,True,,10,S_100,1.0,,exia,exia,,,,,,1,surprise,
d_nikke_exia_02_49,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_49,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_50,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_50,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_51,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_51,False,,S_100,S_100,1.0,,exia,,d_nikke_exia_02_53,,,,,1,idle,
d_nikke_exia_02_52,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_52,False,,S_100,S_100,1.0,,exia,,d_nikke_exia_02_57,,,,,1,idle,
d_nikke_exia_02_53,d_nikke_exia_02,Monologue,Locale_NikkeEpisode:d_nikke_exia_02_53,False,,5,5,1.0,,exia,,,m_nikke_exia_02_03,,,,1,idle,
d_nikke_exia_02_54,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_54,False,,10,10,1.0,,exia,exia,,,,,,1,surprise,
d_nikke_exia_02_55,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_55,True,,10,S_100,0.5,,exia,exia,,,,,,1,surprise,
d_nikke_exia_02_56,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_56,True,,S_100,S_100,1.0,,exia,exia,d_nikke_exia_02_57,,,,,1,delight,
d_nikke_exia_02_57,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_57,True,,S_100,S_100,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_58,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_58,True,Backstreet_n,15,1,1.5,bgm_story_fairytalesend_if,exia,exia,,,,black,,1,idle,
d_nikke_exia_02_59,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_59,True,,1,1,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_60,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_60,False,,1,1,1.0,,exia,,d_nikke_exia_02_62,,,,,1,idle,
d_nikke_exia_02_61,d_nikke_exia_02,Choice,Locale_NikkeEpisode:d_nikke_exia_02_61,False,,1,1,1.0,,exia,,d_nikke_exia_02_71,,,,,1,idle,
d_nikke_exia_02_62,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_62,True,,1,1,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_63,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_63,True,,1,1,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_64,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_64,False,,1,1,1.0,,exia,,,,,,,1,idle,
d_nikke_exia_02_65,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_65,True,,1,1,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_66,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_66,True,,1,1,1.0,,exia,exia,,,,,,1,idle,
d_nikke_exia_02_67,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_67,True,,1,10,0.5,,exia,exia,,,,,,1,surprise,
d_nikke_exia_02_68,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_68,True,,10,10,0.5,,exia,exia,,,,,,1,surprise,
d_nikke_exia_02_69,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_69,False,,10,10,1.0,,exia,,,,,,,1,surprise,
d_nikke_exia_02_70,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_70,True,,10,10,1.0,,exia,exia,d_nikke_exia_02_72,,,,,1,delight,
d_nikke_exia_02_71,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_71,True,,1,10,1.0,,exia,exia,d_nikke_exia_02_72,,,,,1,delight,
d_nikke_exia_02_72,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_72,False,,10,10,1.0,,exia,exia,,,,,,1,"expression_0,delight",
d_nikke_exia_02_73,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_73,True,,10,10,1.0,,exia,exia,,,,,,1,delight,
d_nikke_exia_02_74,d_nikke_exia_02,Self,Locale_NikkeEpisode:d_nikke_exia_02_74,False,,10,10,1.0,,exia,,,,,,,1,delight,
d_nikke_exia_02_75,d_nikke_exia_02,Speech,Locale_NikkeEpisode:d_nikke_exia_02_75,True,,10,S_100,1.0,,exia,exia,,,,,,1,good,
