id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,play_sound,set_filter_01,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
d_nikke_quency_02_22,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_22,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_23,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_23,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_24,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_24,False,,,,,1,5,1.0,,,,,,,,,,,
d_nikke_quency_02_25,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_25,False,,,,,5,5,1.0,,,,,,,,,,,
d_nikke_quency_02_26,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_26,False,,,,,5,5,1.0,,,,,,,,,,,
d_nikke_quency_02_27,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_27,False,,,,,5,1,1.0,,,,,,,,,,,
d_nikke_quency_02_28,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_28,False,,,,,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
d_nikke_quency_02_29,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_29,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_30,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_30,False,,,,,1,10,1.0,,,,,,,,,,,
d_nikke_quency_02_31,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_31,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_32,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_32,False,,,,,10,10,1.0,,d_nikke_quency_02_34,,,,,,,,,
d_nikke_quency_02_33,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_33,False,,,,,10,10,1.0,,d_nikke_quency_02_43,,,,,,,,,
d_nikke_quency_02_34,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_34,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_35,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_35,False,mana,1,idle,JailCorridor,black,black,1.0,,,,,,,,,,,
d_nikke_quency_02_36,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_36,True,,1,idle,,1,1,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_37,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_37,True,,1,idle,,1,1,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_38,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_38,False,,1,idle,,1,1,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_39,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_39,True,,1,idle,,1,10,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_40,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_40,True,,1,idle,,10,10,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_41,d_nikke_quency_02,Speech,mana,mana,Locale_NikkeEpisode:d_nikke_quency_02_41,True,,1,idle,,10,10,1.0,,,,,Grey,Vignetting,,,,,
d_nikke_quency_02_42,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_42,False,,1,idle,Jail,black,black,1.0,,d_nikke_quency_02_43,mana,,,,,,,,
d_nikke_quency_02_43,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_43,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_44,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_44,False,,,,,black,black,1.0,,,,,,,,,,,
d_nikke_quency_02_45,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_45,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_46,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_46,False,,,,,1,10,1.0,,,,,,,,,,,
d_nikke_quency_02_47,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_47,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_48,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_48,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_49,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_49,False,,,,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_50,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_50,False,,,,,10,1,1.0,,,,sfx_scn_curtainopen,,,,,,,
d_nikke_quency_02_51,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_51,False,,,,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_52,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_52,False,,,,,1,100,1.0,,,,,,,,,,,
d_nikke_quency_02_53,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_53,False,,,,,100,100,1.0,none,,,,,,,,,,
d_nikke_quency_02_54,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_54,False,,,,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_55,d_nikke_quency_02,Speech,adultman,collaborator,Locale_NikkeEpisode:d_nikke_quency_02_55,True,quency,1,idle,Backstreet,black,black,1.0,bgm_enemyclose,,,,,,adultman,13,idle,black,
d_nikke_quency_02_56,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_56,True,,1,idle,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_57,d_nikke_quency_02,Speech,adultman,collaborator,Locale_NikkeEpisode:d_nikke_quency_02_57,True,,1,idle,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_58,d_nikke_quency_02,Speech,adultman,collaborator,Locale_NikkeEpisode:d_nikke_quency_02_58,True,,1,idle,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_59,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_59,True,,1,idle,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_60,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_60,True,,1,idle,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_61,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_61,False,,1,idle,,113,10,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_62,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_62,True,,1,surprise,,10,10,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_63,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_63,False,,1,surprise,,10,10,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_64,d_nikke_quency_02,Speech,adultman,collaborator,Locale_NikkeEpisode:d_nikke_quency_02_64,True,,1,surprise,,10,113,1.0,none,,,,,,,13,idle,,
d_nikke_quency_02_65,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_65,True,,1,delight,,113,113,1.0,,,,,,,,13,idle,,
d_nikke_quency_02_66,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_66,True,,1,idle,,113,1,1.0,bgm_story_leisuretime,,,,,,,13,idle,,adultman
d_nikke_quency_02_67,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_67,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_68,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_68,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_69,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_69,True,,1,idle,,1,10,1.0,,,,,,,,,,,
d_nikke_quency_02_70,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_70,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_71,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_71,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_72,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_72,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_73,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_73,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_74,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_74,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_75,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_75,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_76,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_76,True,,1,idle,,10,1,1.0,,,,,,,,,,,
d_nikke_quency_02_77,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_77,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_78,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_78,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_79,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_79,False,,1,idle,,1,1,1.0,,d_nikke_quency_02_81,,,,,,,,,
d_nikke_quency_02_80,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_80,False,,1,idle,,1,1,1.0,,d_nikke_quency_02_81,,,,,,,,,
d_nikke_quency_02_81,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_81,True,,1,surprise,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_82,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_82,True,,1,surprise,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_83,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_83,False,,1,surprise,,1,1,1.0,,d_nikke_quency_02_85,,,,,,,,,
d_nikke_quency_02_84,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_84,False,,1,surprise,,1,1,1.0,,d_nikke_quency_02_86,,,,,,,,,
d_nikke_quency_02_85,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_85,True,,1,idle,,1,1,1.0,,d_nikke_quency_02_87,,,,,,,,,
d_nikke_quency_02_86,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_86,True,,1,idle,,1,1,1.0,,d_nikke_quency_02_87,,,,,,,,,
d_nikke_quency_02_87,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_87,True,,1,idle,,1,10,1.0,,,,,,,,,,,
d_nikke_quency_02_88,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_88,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_89,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_89,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_90,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_90,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_91,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_91,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_92,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_92,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_93,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_93,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_94,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_94,True,,1,delight,,10,100,0.5,,,,,,,,,,,
d_nikke_quency_02_95,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_95,False,,1,delight,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_96,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_96,False,,1,delight,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_97,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_97,True,,1,surprise,,100,100,1.0,,,,,,,,,,,
d_nikke_quency_02_98,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_98,False,,1,surprise,,100,100,1.0,,d_nikke_quency_02_100,,,,,,,,,
d_nikke_quency_02_99,d_nikke_quency_02,Choice,,,Locale_NikkeEpisode:d_nikke_quency_02_99,False,,1,surprise,,100,100,1.0,,d_nikke_quency_02_101,,,,,,,,,
d_nikke_quency_02_100,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_100,True,,1,idle,,100,100,1.0,,d_nikke_quency_02_102,,,,,,,,,
d_nikke_quency_02_101,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_101,True,,1,delight,,100,100,1.0,,d_nikke_quency_02_102,,,,,,,,,
d_nikke_quency_02_102,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_102,True,,1,delight,,100,10,1.0,,,,,,,,,,,
d_nikke_quency_02_103,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_103,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_104,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_104,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_105,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_105,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_106,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_106,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_107,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_107,False,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_108,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_108,True,,1,idle,,10,10,1.0,,,,,,,,,,,
d_nikke_quency_02_109,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_109,True,,1,surprise,,10,1,1.0,,,,,,,,,,,
d_nikke_quency_02_110,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_110,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_111,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_111,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_112,d_nikke_quency_02,Narration,,,Locale_NikkeEpisode:d_nikke_quency_02_112,False,,15,idle,,1,1,1.0,,,,sfx_scn_run,,,,,,,
d_nikke_quency_02_113,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_113,False,,15,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_quency_02_114,d_nikke_quency_02,Self,,,Locale_NikkeEpisode:d_nikke_quency_02_114,False,,15,idle,,1,15,1.0,,,,,,,,,,,
d_nikke_quency_02_115,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_115,True,,15,delight,,15,15,1.0,,,,,,,,,,,
d_nikke_quency_02_116,d_nikke_quency_02,Speech,quency,quency,Locale_NikkeEpisode:d_nikke_quency_02_116,True,,15,delight,,15,15,1.0,,,,,,,,,,,
d_nikke_quency_02_117,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_117,False,,15,delight,,15,15,1.0,,,quency,,,,,,,,
d_nikke_quency_02_118,d_nikke_quency_02,Monologue,,,Locale_NikkeEpisode:d_nikke_quency_02_118,False,,,,,15,15,1.0,,,,,,,,,,,
