id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,conversation_id,characters/0/hide_char_id,jump_target,set_filter_01
d_nikke_exia_01_26,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_26,True,CommanderRoom,1,1,1.0,,,,exia,exia,1,delight,,,,
d_nikke_exia_01_27,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_27,True,,1,1,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_28,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_28,True,,1,1,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_29,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_29,True,,1,1,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_30,d_nikke_exia_01,Self,exia,Locale_NikkeEpisode:d_nikke_exia_01_30,False,,1,1,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_31,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_31,False,CommanderRoom_n,black,black,1.0,,,,,,1,delight,,,,
d_nikke_exia_01_32,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_32,False,,1,1,1.0,,,,exia,,1,"expression_0,delight",,,,
d_nikke_exia_01_33,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_33,False,White,1,1,1.0,,sfx_scn_electricshock,Low_2,exia,,1,delight,,,,
d_nikke_exia_01_34,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_34,True,CommanderRoom_n,1,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_35,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_35,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_36,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_36,False,,10,10,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_38,
d_nikke_exia_01_37,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_37,False,,10,10,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_40,
d_nikke_exia_01_38,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_38,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_39,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_39,True,,10,10,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_46,
d_nikke_exia_01_40,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_40,True,,10,S_100,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_41,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_41,True,,S_100,S_100,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_42,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_42,True,,S_100,S_100,0.5,,,,exia,,1,idle,,,,
d_nikke_exia_01_43,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_43,False,,S_100,S_100,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_46,
d_nikke_exia_01_44,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_44,False,,S_100,S_100,1.0,,,,exia,,1,idle,,,d_nikke_exia_01_45,
d_nikke_exia_01_45,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_45,True,,10,10,1.0,,,,exia,,1,good,,,d_nikke_exia_01_46,
d_nikke_exia_01_46,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_46,False,CommanderRoom,black,black,1.0,none,,,,,1,good,,exia,,
d_nikke_exia_01_47,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_47,False,,10,10,1.0,bgm_story_whosdumber,,,exia,exia,1,etc,,,,
d_nikke_exia_01_48,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_48,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_49,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_49,False,,black,black,1.0,,sfx_scn_trip,Low_2,exia,,1,etc,,exia,,
d_nikke_exia_01_50,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_50,False,,6002,6002,1.0,,,,exia,,,,,,,
d_nikke_exia_01_51,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_51,False,,10,10,1.0,,,,exia,exia,1,etc,,,,
d_nikke_exia_01_52,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_52,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_53,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_53,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_54,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_54,False,,10,10,1.0,,,,exia,,1,etc,,,d_nikke_exia_01_56,
d_nikke_exia_01_55,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_55,False,,10,10,1.0,,,,exia,,1,etc,,,d_nikke_exia_01_59,
d_nikke_exia_01_56,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_56,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_57,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_57,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_58,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_58,False,,10,10,1.0,,,,exia,,1,etc,,,d_nikke_exia_01_65,
d_nikke_exia_01_59,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_59,False,none,10,10,1.0,,,,exia,,1,etc,,exia,,
d_nikke_exia_01_60,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_60,False,CommanderRoom,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_61,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_61,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_62,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_62,False,,10,10,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_63,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_63,False,,10,10,1.0,,,,exia,exia,1,etc,,,,
d_nikke_exia_01_64,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_64,False,,10,10,1.0,,,,exia,,1,etc,,,d_nikke_exia_01_65,
d_nikke_exia_01_65,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_65,False,,10,1,1.0,,,,exia,,1,etc,,exia,,
d_nikke_exia_01_66,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_66,False,,1,4,1.0,,,,exia,,,,,,,
d_nikke_exia_01_67,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_67,False,none,4,4,1.0,,sfx_scn_fanfare,,exia,,,,,,,
d_nikke_exia_01_68,d_nikke_exia_01,Monologue,,Locale_NikkeEpisode:d_nikke_exia_01_68,False,CommanderRoom,4,4,1.0,,,,exia,,,,,,,
d_nikke_exia_01_69,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_69,False,,4,1,0.5,,,,exia,exia,1,etc,,,,
d_nikke_exia_01_70,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_70,False,,1,1,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_71,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_71,False,,1,1,1.0,,,,exia,,1,etc,,,,
d_nikke_exia_01_72,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_72,True,,1,1,1.0,,,Low_2,exia,,1,sad,,,,
d_nikke_exia_01_73,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_73,False,,1,1,1.0,,,,exia,,1,sad,,,,
d_nikke_exia_01_74,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_74,False,,1,10,1.0,none,,,exia,,1,surprise,,,,
d_nikke_exia_01_75,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_75,True,,10,10,1.0,,,,exia,,1,surprise,,,,
d_nikke_exia_01_76,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_76,True,,10,10,1.0,bgm_story_stormbreakers,,,exia,,1,surprise,,,,
d_nikke_exia_01_77,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_77,True,,10,S_100,0.5,,,,exia,,1,surprise,,,,
d_nikke_exia_01_78,d_nikke_exia_01,Narration,exia,Locale_NikkeEpisode:d_nikke_exia_01_78,False,,S_100,S_100,1.0,,,,exia,,1,surprise,,,,
d_nikke_exia_01_79,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_79,True,,S_100,S_100,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_80,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_80,True,,S_100,S_100,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_81,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_81,True,,S_100,S_100,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_82,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_82,True,,S_100,S_100,1.0,,,,exia,,1,delight,,,,
d_nikke_exia_01_83,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_83,False,,black,black,1.0,none,,,exia,,1,delight,,exia,,
d_nikke_exia_01_84,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_84,False,,1,1,1.0,bgm_story_whosdumber,sfx_scn_fanfare,,exia,exia,1,good,,,,
d_nikke_exia_01_85,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_85,True,,1,1,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_86,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_86,True,,1,1,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_87,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_87,True,,1,1,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_88,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_88,False,,1,1,1.0,,,,exia,,1,good,,,d_nikke_exia_01_90,
d_nikke_exia_01_89,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_89,False,,1,1,1.0,,,,exia,,1,good,,,d_nikke_exia_01_90,
d_nikke_exia_01_90,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_90,True,,1,1,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_91,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_91,True,,1,1,1.0,,,,exia,,1,good,,,,
d_nikke_exia_01_92,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_92,False,,1,10,1.0,none,,,exia,,1,idle,,,,
d_nikke_exia_01_93,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_93,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_94,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_94,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_95,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_95,False,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_96,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_96,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_97,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_97,False,,10,10,1.0,,,,exia,,1,"expression_0,idle",,,,
d_nikke_exia_01_98,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_98,False,,10,10,1.0,bgm_mystery,,,exia,,1,surprise,,,,Grey
d_nikke_exia_01_99,d_nikke_exia_01,Self,,Locale_NikkeEpisode:d_nikke_exia_01_99,False,,10,10,1.0,,,,exia,,1,surprise,,,,Grey
d_nikke_exia_01_100,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_100,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_101,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_101,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_102,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_102,True,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_103,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_103,False,,10,10,1.0,,,,exia,,1,idle,,,,
d_nikke_exia_01_104,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_104,True,,10,10,1.0,,,,exia,,1,"expression_0,idle",,,,
d_nikke_exia_01_105,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_105,True,,10,10,1.0,,,,exia,,1,surprise,,,,Grey
d_nikke_exia_01_106,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_106,False,,10,10,1.0,,,,exia,,1,surprise,,,d_nikke_exia_01_108,Grey
d_nikke_exia_01_107,d_nikke_exia_01,Choice,,Locale_NikkeEpisode:d_nikke_exia_01_107,False,,10,10,1.0,,,,exia,,1,surprise,,,d_nikke_exia_01_109,Grey
d_nikke_exia_01_108,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_108,False,,10,S_100,1.0,,,,exia,,1,surprise,,,d_nikke_exia_01_111,
d_nikke_exia_01_109,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_109,False,,10,10,1.0,,,,exia,,1,surprise,,,,
d_nikke_exia_01_110,d_nikke_exia_01,Speech,exia,Locale_NikkeEpisode:d_nikke_exia_01_110,True,,10,S_100,0.5,,,,exia,,1,surprise,,,d_nikke_exia_01_111,
d_nikke_exia_01_111,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_111,False,,S_100,S_100,1.0,,sfx_scn_phonevibration,,exia,,1,surprise,,,,
d_nikke_exia_01_112,d_nikke_exia_01,Narration,,Locale_NikkeEpisode:d_nikke_exia_01_112,False,,S_100,S_100,1.0,,sfx_scn_phonevibration,,exia,,1,surprise,m_nikke_exia_01_02,,,
