id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_RedHood_01_11,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_11,False,,10,10,1.0,,Grey,Blur_High,,,,1,worry,,,,,,,
d_nikke_RedHood_01_12,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_12,False,,10,10,1.0,,Blur_High,,,,,1,worry,,,,,,,
d_nikke_RedHood_01_13,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_13,False,,10,10,1.0,,Blur_High,,,,,1,worry,,,,,,,
d_nikke_RedHood_01_14,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_14,True,,10,10,1.0,,Blur_High,,,redhood,,1,worry,,,,,,,
d_nikke_RedHood_01_15,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_15,False,,10,10,1.0,,Blur_High,,,,,1,worry,,,,,,,
d_nikke_RedHood_01_16,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_16,True,,10,10,1.0,,Blur_High,,,redhood,,1,worry,,,,,,,
d_nikke_RedHood_01_17,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_17,True,,10,10,1.0,,Blur_High,,,redhood,,1,worry,,,,,,,
d_nikke_RedHood_01_18,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_18,True,,10,10,1.0,,Blur_High,,,redhood,,1,worry,,,,,,,
d_nikke_RedHood_01_19,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_19,False,,10,10,1.0,,Blur_High,,,,,1,worry,,,,,,,
d_nikke_RedHood_01_20,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_20,True,,10,10,1.0,,Blur_High,,,redhood,,1,idle,,,,,,,
d_nikke_RedHood_01_21,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_21,False,,10,10,1.0,,Blur_High,,,,,1,idle,,,,,,,
d_nikke_RedHood_01_22,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_22,True,,10,10,1.0,,Blur_High,,,redhood,,1,idle,,,,,,,
d_nikke_RedHood_01_23,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_23,True,,10,10,1.0,,Blur_High,,,redhood,,1,idle,,,,,,,
d_nikke_RedHood_01_24,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_24,True,,10,10,1.0,,Blur_High,,,redhood,,1,smile,,,,,,,
d_nikke_RedHood_01_25,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_25,True,,10,10,1.0,,Blur_High,,,redhood,,1,smile_02,,,,,,,
d_nikke_RedHood_01_26,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_26,False,,10,10,1.0,,Blur_High,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_27,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_27,False,,10,10,1.0,,Blur_Middle,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_28,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_28,True,,10,10,1.0,,Blur_Middle,,,redhood,,1,smile_02,,,,,,,
d_nikke_RedHood_01_29,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_29,False,,10,10,1.0,,Blur_Middle,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_30,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_30,True,,10,10,1.0,,Blur_Middle,,,redhood,,1,smile,,,,,,,
d_nikke_RedHood_01_31,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_31,False,,10,10,1.0,,Blur_Middle,,sfx_scn_fire,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_32,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_32,False,,10,10,1.0,,Blur_Low,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_33,d_nikke_RedHood_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_RedHood_01_33,False,,10,10,1.0,,,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_34,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_34,True,,10,10,1.0,,,,,redhood,,1,smile_02,,,,,,,
d_nikke_RedHood_01_35,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_35,True,,10,10,1.0,,,,,redhood,,1,smile_02,,,,,,,
d_nikke_RedHood_01_36,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_36,True,,10,10,1.0,,,,,redhood,,1,smile,,,,,,,
d_nikke_RedHood_01_37,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_37,False,,10,10,1.0,,,,,,,1,smile_02,,,,,,,
d_nikke_RedHood_01_38,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_38,False,,10,10,1.0,,,,,redhood,,1,think,,,,,,,
d_nikke_RedHood_01_39,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_39,True,,10,10,1.0,,,,,redhood,,1,think,,,,,,,
d_nikke_RedHood_01_40,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_40,False,,10,10,1.0,,,,,,,1,think,,,,,,,
d_nikke_RedHood_01_41,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_41,True,,10,10,1.0,,,,,redhood,,1,think,,,,,,,
d_nikke_RedHood_01_42,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_42,False,,10,10,1.0,,,,,,,1,think,,,,,,,
d_nikke_RedHood_01_43,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_43,False,,10,10,1.0,,,,,redhood,,1,think,,,,,,,
d_nikke_RedHood_01_44,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_44,False,,10,10,1.0,,,,,,,1,think,,,,,,,
d_nikke_RedHood_01_45,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_45,False,,10,10,1.0,,,,,,,1,think,,,,,,,
d_nikke_RedHood_01_46,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_46,True,,10,10,1.0,,,,,redhood,,1,surprise,,,,,,,
d_nikke_RedHood_01_47,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_47,True,,10,10,1.0,,,,,redhood,,1,surprise,,,,,,,
d_nikke_RedHood_01_48,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_48,False,,10,10,1.0,,,,,,,1,surprise,,,,,,,
d_nikke_RedHood_01_49,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_49,True,,10,10,1.0,,,,,redhood,,1,idle,,,,,,,
d_nikke_RedHood_01_50,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_50,True,,10,2,1.0,,,,,anis,,1,idle,anis,3,void,,,,
d_nikke_RedHood_01_51,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_51,True,,2,2,1.0,,,,,redhood,,1,surprise,,3,void,,,,
d_nikke_RedHood_01_52,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_52,True,,2,2,1.0,,,,,anis,,1,surprise,,3,void,,,,
d_nikke_RedHood_01_53,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_53,False,,2,2,1.0,,,,,,,1,surprise,,3,void,,,,
d_nikke_RedHood_01_54,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_54,True,,2,30,1.0,,,,,anis,,1,surprise,,3,idle,,,,
d_nikke_RedHood_01_55,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_55,False,,30,30,1.0,,,,,anis,,1,surprise,,3,no,,,,
d_nikke_RedHood_01_56,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_56,True,,10,10,1.0,,,,,redhood,,1,smile,,3,no,,,,
d_nikke_RedHood_01_57,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_57,True,,10,10,1.0,,,,,redhood,,1,idle,,3,no,,,,
d_nikke_RedHood_01_58,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_58,True,,10,10,1.0,,,,,redhood,,1,idle,,3,void,,,,
d_nikke_RedHood_01_59,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_59,True,,3,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_60,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_60,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_61,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_61,True,,30,30,1.0,,,,,anis,,1,idle,,3,idle,,,,
d_nikke_RedHood_01_62,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_62,True,,30,30,1.0,,,,,anis,,1,idle,,3,idle,,,,
d_nikke_RedHood_01_63,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_63,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_64,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_64,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_65,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_65,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_66,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_66,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_67,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_67,True,,30,30,1.0,,,,,anis,,1,idle,,3,void,,,,
d_nikke_RedHood_01_68,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_68,True,,30,2,1.0,,,,,redhood,,1,think,,3,void,,,,
d_nikke_RedHood_01_69,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_69,True,,2,2,1.0,,,,,anis,,1,think,,3,void,,,,
d_nikke_RedHood_01_70,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_70,True,,2,2,1.0,,,,,anis,,1,think,,3,void,,,,
d_nikke_RedHood_01_71,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_71,False,,2,2,1.0,,,,,redhood,,1,think,,3,void,,,,
d_nikke_RedHood_01_72,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_72,True,,2,2,1.0,,,,,redhood,,1,surprise,,3,void,,,,
d_nikke_RedHood_01_73,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_73,False,,2,2,1.0,,,,,,,1,surprise,,3,void,,,,
d_nikke_RedHood_01_74,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_74,True,,2,2,1.0,,,,,redhood,,1,think,,3,void,,,,
d_nikke_RedHood_01_75,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_75,True,,2,2,1.0,,,,,redhood,,1,idle,,3,void,,,,
d_nikke_RedHood_01_76,d_nikke_RedHood_01,Self,Self,Locale_NikkeEpisode:d_nikke_RedHood_01_76,False,,2,2,1.0,,,,,,,1,idle,,3,void,,,,
d_nikke_RedHood_01_77,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_77,False,,2,2,1.0,,,,,redhood,,1,go,,3,void,,,,
d_nikke_RedHood_01_78,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_78,True,,2,2,1.0,,,,,anis,,1,go,,3,void,,,,
d_nikke_RedHood_01_79,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_79,True,,2,2,1.0,,,,,anis,,1,go,,3,idle,,,,
d_nikke_RedHood_01_80,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_80,True,,2,10,0.5,,,,,redhood,,1,surprise_02,,3,void,Low_2,,,
d_nikke_RedHood_01_81,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_81,True,,5,S_50,0.7,,,,,neon,,1,surprise_02,,3,void,Low_2,neon,5,worry
d_nikke_RedHood_01_82,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_82,True,,S_50,S_50,1.0,,,,,neon,,1,surprise_02,,3,void,Low_2,,5,worry
d_nikke_RedHood_01_83,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_83,True,,10,10,1.0,,,,,redhood,,1,sad_02,,3,void,,,5,worry
d_nikke_RedHood_01_84,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_84,True,,S_50,S_50,1.0,,,,,neon,,1,sad_02,,3,void,,,5,worry
d_nikke_RedHood_01_85,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_85,True,,10,10,1.0,,,,,redhood,,1,sad_02,,3,void,,,5,worry
d_nikke_RedHood_01_86,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_86,True,,10,4,1.0,,,,,neon,,1,sad_02,,3,void,,,5,no
d_nikke_RedHood_01_87,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_87,True,,4,4,1.0,,,,,anis,,1,sad_02,,3,idle,,,5,no
d_nikke_RedHood_01_88,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_88,True,,4,4,1.0,,,,,neon,,1,sad_02,,3,void,,,5,surprise
d_nikke_RedHood_01_89,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_89,True,,4,4,1.0,,,,,anis,,1,sad_02,,3,void,,,5,surprise
d_nikke_RedHood_01_90,d_nikke_RedHood_01,Speech,neon,Locale_NikkeEpisode:d_nikke_RedHood_01_90,True,,4,4,1.0,,,,,neon,,1,sad_02,,3,void,,,5,idle
d_nikke_RedHood_01_91,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_91,True,,4,4,1.0,,,,,anis,,1,sad_02,,3,idle,,,5,idle
d_nikke_RedHood_01_92,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_92,True,,4,2,1.0,,,,,redhood,,1,sad_02,,3,idle,,,5,idle
d_nikke_RedHood_01_93,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_93,True,,2,2,1.0,,,,,anis,,1,sad_02,,3,idle,,,5,idle
d_nikke_RedHood_01_94,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_94,True,,2,2,1.0,,,,,redhood,,1,go,,3,idle,,,5,idle
d_nikke_RedHood_01_95,d_nikke_RedHood_01,Speech,anis,Locale_NikkeEpisode:d_nikke_RedHood_01_95,False,,2,2,1.0,,,,,anis,,1,go,,3,void,,,5,idle
d_nikke_RedHood_01_96,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_96,True,,2,10,1.0,,,,,redhood,,1,think,,3,void,,,5,idle
d_nikke_RedHood_01_97,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_97,True,,10,10,1.0,,,,,redhood,,1,think,,3,void,,,5,idle
d_nikke_RedHood_01_98,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_98,False,,10,10,1.0,,,,,redhood,,1,think,,3,void,,,5,idle
d_nikke_RedHood_01_99,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_99,True,,10,100,1.0,,,,,redhood,,1,idle,,3,void,,,5,idle
d_nikke_RedHood_01_100,d_nikke_RedHood_01,Speech,redhood,Locale_NikkeEpisode:d_nikke_RedHood_01_100,True,,100,100,1.0,,,,,redhood,,1,smile,,3,void,,,5,idle
