id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade
d_nikke_ce004_02_03_11,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_11,True,,12,idle,,2,surprise,,200,200,1.0,,,,,,
d_nikke_ce004_02_03_12,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_12,True,,12,idle,,2,surprise,,black,black,1.0,,rupee,4,delight,,
d_nikke_ce004_02_03_13,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_13,True,,12,idle,,2,surprise,,3,3,1.0,bgm_story_shopperholic,,4,delight,,
d_nikke_ce004_02_03_14,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_14,True,,12,idle,,2,surprise,,3,3,1.0,,,4,delight,,
d_nikke_ce004_02_03_15,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_15,True,,12,idle,,2,surprise,,3,3,1.0,,,4,delight,,
d_nikke_ce004_02_03_16,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_16,True,,12,idle,,2,surprise,,3,3,1.0,,,4,delight,,
d_nikke_ce004_02_03_17,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_17,True,,12,idle,,2,surprise,,3,3,1.0,,,4,delight,,
d_nikke_ce004_02_03_18,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_18,True,,12,idle,,2,surprise,,3,L_40,1.0,,,4,idle,,
d_nikke_ce004_02_03_19,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_19,True,,12,idle,,2,surprise,,L_40,L_40,1.0,,,4,idle,,
d_nikke_ce004_02_03_20,d_nikke_ce004_02_03,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_03_20,True,,12,idle,,2,surprise,,120,120,1.0,,,4,idle,,
d_nikke_ce004_02_03_21,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_21,True,,12,idle,,2,surprise,,L_40,L_40,1.0,,,4,idle,,
d_nikke_ce004_02_03_22,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_22,True,,12,idle,,2,surprise,,L_40,L_40,1.0,,,4,idle,,
d_nikke_ce004_02_03_23,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_23,True,,12,idle,,2,idle,,L_40,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_24,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_24,True,,12,idle,,2,delight,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_25,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_25,True,,12,idle,,2,delight,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_26,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_26,True,,12,idle,,2,delight,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_27,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_27,True,,12,idle,,2,delight,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_28,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_28,True,,12,idle,,2,delight,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_29,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_29,True,,12,idle,,2,shy,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_30,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_30,True,,12,idle,,2,shy,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_31,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_31,True,,12,idle,,2,surprise,,3,1,1.0,,,4,idle,,
d_nikke_ce004_02_03_32,d_nikke_ce004_02_03,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_03_32,True,,12,surprise,,2,surprise,,1,1,1.0,,,4,idle,,
d_nikke_ce004_02_03_33,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_33,True,,12,surprise,,2,surprise,,1,20,1.0,,,4,idle,,
d_nikke_ce004_02_03_34,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_34,True,,12,surprise,,2,shy,,20,20,1.0,,,4,idle,,
d_nikke_ce004_02_03_35,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_35,True,,12,surprise,,2,shy,,20,20,1.0,,,4,idle,,
d_nikke_ce004_02_03_36,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_36,True,,12,surprise,,2,shy,,20,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_37,d_nikke_ce004_02_03,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_ce004_02_03_37,True,,12,surprise,,2,shy,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_38,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_38,True,,12,surprise,,2,surprise,,3,3,1.0,,,4,idle,,
d_nikke_ce004_02_03_39,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_39,True,,12,surprise,,2,surprise,,3,1,1.0,,,4,idle,rupee,
d_nikke_ce004_02_03_40,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_40,True,,12,surprise,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_41,d_nikke_ce004_02_03,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_03_41,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_42,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_42,True,,12,idle,,2,idle,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_43,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_43,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_44,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_44,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_45,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_45,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_46,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_46,True,,12,idle,,2,surprise,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_48,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_48,True,,12,idle,,2,idle,City_d,1,1,1.0,bgm_inark,,,,,black
d_nikke_ce004_02_03_49,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_49,True,,12,idle,,2,idle,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_50,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_50,True,,12,idle,,2,idle,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_51,d_nikke_ce004_02_03,Speech,ce004_02_s,ce004_02_s,Locale_NikkeEpisode:d_nikke_ce004_02_03_51,False,,12,idle,,2,idle,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_52,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_52,True,,12,idle,,2,delight,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_53,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_53,True,,12,idle,,2,delight,,1,1,1.0,,,,,,
d_nikke_ce004_02_03_54,d_nikke_ce004_02_03,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_ce004_02_03_54,True,,12,idle,,2,delight,,1,1,1.0,,,,,,
