id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_02_02_36,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_36,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_37,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_37,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_38,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_38,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_39,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_39,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_40,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_40,True,,2,2,1.0,,ce_02_02,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_41,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_41,False,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_42,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_42,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_43,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_43,True,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_44,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_44,False,,2,2,1.0,,,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_45,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_45,False,,2,2,1.0,,,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_46,d_nikke_ce_02_02_02,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_02_46,False,,2,2,1.0,,ce_02_02,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_47,d_nikke_ce_02_02_02,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_02_47,False,,2,2,1.0,,p12,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_48,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_48,False,,2,2,1.0,,,,,1,idle,,,3,idle
d_nikke_ce_02_02_02_49,d_nikke_ce_02_02_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_02_49,False,,2,2,1.0,,,,,1,idle,,,3,idle
